seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 1896.12, 4336.19, 1536.38, 1162.32, 1085.62, 1025.75, 940.252, 819.378, 718.056, 617.27, 507.034, 417.49, 2518.73, 3152.68, 2143.74, 2160.11, 129.687, 119.649, 266.013, 393.837, 211.877, 1870.62, 2119.91, 4683.05, 23147.6
867, 1904.61, 4378.53, 1565.2, 1098.04, 1084.53, 1031.27, 921.663, 812.676, 671.399, 583.764, 490.057, 380.654, 2330.61, 2677.29, 2599.54, 2322.65, 148.808, 157.346, 223.573, 364.261, 168.212, 2114.17, 1717.91, 4832.18, 23236
761, 1881.26, 4252.46, 1440.59, 1040.37, 1076.38, 1002.92, 835.589, 751.057, 706.731, 607.177, 441.01, 475.373, 2253.87, 2359.01, 2631.91, 2694.35, 109.01, 124.829, 193.646, 417.061, 162.814, 2096.73, 2173.92, 5224.01, 17126.1
829, 1839.14, 4427.48, 1475.96, 1038.34, 1040.83, 1067.41, 858.111, 735.837, 704.644, 613.921, 432.545, 377.891, 2315.03, 2710.39, 2710.85, 2644.02, 127.43, 122.587, 203.145, 536.087, 161.18, 2197.17, 2401.32, 6007.53, 23762.6
377, 1843.99, 4155.51, 1503.89, 1073.1, 1087.01, 957.245, 844.865, 797.748, 680.719, 586.578, 497.546, 408.799, 2472.23, 3155.83, 2472.45, 2716.1, 153.77, 115.238, 196.911, 398.615, 159.566, 2297.92, 2679.55, 5394.59, 24543.5
185, 1910.55, 4459.25, 1374.94, 1102.56, 945.272, 953.674, 863.378, 792.59, 662.846, 602.287, 476.167, 373.51, 2133.38, 2439.34, 2977.89, 2433.79, 104.402, 124.946, 226.658, 366.99, 224.506, 2071.5, 1859.81, 4780.4, 14264.7
41, 1908.69, 4460.81, 1416.57, 1052.39, 1054.05, 981.891, 829.694, 756.602, 741.211, 641.407, 472.547, 419.034, 2617.75, 3354.65, 2437.94, 2132.17, 166.594, 118.385, 197.486, 412.884, 248.771, 2277.9, 2397.82, 5010.03, 26881
198, 1878.2, 4170.16, 1334.63, 994.04, 946.24, 950.984, 850.146, 807.36, 684.879, 644.691, 445.389, 394.338, 2997.51, 2387.88, 2122.37, 2630.27, 188.187, 140.683, 165.574, 410.02, 174.255, 2322.6, 2188.66, 4858.31, 25916.8
989, 1833.93, 4408.14, 1548.36, 1076.97, 1028.16, 1014.6, 822.748, 780.908, 643.887, 677.747, 514.707, 468.906, 2376.7, 2402.28, 2916.67, 2837.49, 100.248, 121.067, 209.652, 468.098, 181.119, 1958.93, 2652.06, 6248.43, 21986.9
172, 1863.64, 4439.48, 1382.28, 1002.9, 1053.47, 963.198, 842.229, 767.453, 700.022, 618.787, 482.997, 386.375, 2374.09, 2735.3, 2554.91, 2746.88, 129.294, 128.395, 205.83, 385.412, 267.727, 2029.4, 1878.67, 5217.74, 16766.5
