seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 1.73479, 1.74611, 1.36056, 1.15599, 1.27881, 1.33925, 0.366966, 0.408158, 0.404263, 0.392682, 0.382871, 0.372159, 4.33062, 4.36303, 4.33561, 4.42461, 6.04471, 7.27896, 63.754, 22.7584, 14.7485, 143.04, 334.774, 197.502, 2673.05
1082, 2.9913, 1.80128, 1.31804, 1.21019, 1.2237, 1.20001, 0.366952, 0.409726, 0.40476, 0.392002, 0.381553, 0.370258, 4.27924, 4.3279, 4.33636, 4.45282, 83.1144, 39.524, 9.18292, 70.3344, 78.2523, 117.509, 139.511, 407.922, 3637.21
168, 2.27676, 2.07971, 1.26189, 1.22407, 1.29191, 1.18066, 0.363909, 0.406492, 0.40038, 0.389635, 0.379104, 0.367485, 4.31662, 4.3065, 4.25892, 4.32902, 11.6384, 6.94753, 74.5193, 7.8961, 22.0751, 333.235, 330.632, 391.476, 2232.35
143, 2.36407, 2.32082, 1.39836, 1.27708, 1.29374, 1.33009, 0.366702, 0.409848, 0.401357, 0.390312, 0.379535, 0.367826, 4.32847, 4.32943, 4.29138, 4.37109, 9.64476, 21.6145, 17.53, 11.9598, 2.77265, 376.689, 173.981, 266.933, 2617.89
182, 1.91977, 1.61004, 1.27873, 1.20188, 1.27439, 1.34681, 0.367797, 0.407679, 0.403079, 0.391499, 0.381138, 0.369734, 4.31748, 4.33359, 4.29683, 4.37619, 14.6028, 27.6323, 18.5126, 12.6138, 25.6078, 430.973, 105.66, 382.869, 2809.44
482, 1.75381, 1.4405, 1.31627, 1.3044, 1.13278, 1.21211, 0.36987, 0.408998, 0.406409, 0.393118, 0.383072, 0.371811, 4.31105, 4.36387, 4.36474, 4.47588, 2.48011, 5.43344, 32.8697, 27.4789, 14.9817, 126.968, 150.58, 596.151, 5924.26
87, 1.94109, 2.476, 1.40878, 1.31123, 1.35133, 1.29727, 0.368013, 0.409178, 0.402824, 0.391586, 0.381242, 0.369879, 4.30794, 4.31169, 4.28184, 4.37354, 46.7124, 19.9591, 31.2723, 39.3141, 7.3303, 92.8955, 173.849, 273.307, 783.243
766, 1.78105, 2.23623, 1.35748, 1.22271, 1.21421, 1.20495, 0.369067, 0.412884, 0.404964, 0.391857, 0.381432, 0.369882, 4.27167, 4.32452, 4.31253, 4.41142, 121.374, 10.0158, 20.7348, 33.68, 20.6392, 206.022, 450.587, 170.378, 3442.53
774, 1.89896, 1.80747, 1.3864, 1.20745, 1.30936, 1.20043, 0.366833, 0.40822, 0.403242, 0.390819, 0.380435, 0.368922, 4.26799, 4.2734, 4.2384, 4.31886, 9.75651, 6.51671, 30.4094, 10.5495, 43.7839, 302.32, 234.296, 189.412, 3834.74
229, 2.35205, 1.92139, 1.3548, 1.16578, 1.16157, 1.19876, 0.364702, 0.407649, 0.402849, 0.392306, 0.382445, 0.371382, 4.33177, 4.36443, 4.34119, 4.43483, 8.34968, 6.94849, 11.4529, 20.6036, 5.8068, 132.159, 165.184, 206.589, 2630.9
733, 1.7318, 2.40617, 1.33722, 1.29681, 1.2759, 1.40213, 0.366429, 0.41253, 0.406051, 0.393468, 0.383701, 0.372864, 4.3052, 4.36114, 4.35243, 4.45424, 129.77, 5.3938, 11.0504, 4.12262, 56.8998, 287.857, 437.548, 140.434, 2624.44
814, 2.45601, 2.57202, 1.29026, 1.33492, 1.28269, 1.22978, 0.366797, 0.410059, 0.404573, 0.392665, 0.382703, 0.371551, 4.29334, 4.31003, 4.28628, 4.37496, 12.9859, 21.3732, 5.75008, 7.88389, 4.53077, 144.853, 505.157, 282.438, 2358.12
1112, 2.44686, 2.52014, 1.43041, 1.28786, 1.23466, 1.24835, 0.367148, 0.410769, 0.40534, 0.392882, 0.382665, 0.371656, 4.28692, 4.3482, 4.34664, 4.45449, 100.98, 11.1938, 13.1135, 9.31206, 21.8261, 204.287, 464.19, 108.615, 4402.73
547, 1.81662, 1.90386, 1.52911, 1.29361, 1.26924, 1.2239, 0.365584, 0.406253, 0.401714, 0.389564, 0.378957, 0.367181, 4.2596, 4.27483, 4.25697, 4.35271, 93.9837, 21.9062, 25.7026, 91.2054, 67.7423, 175.107, 527.094, 453.932, 2248
845, 2.25924, 1.43754, 1.22555, 1.19858, 1.18088, 1.29591, 0.365214, 0.408874, 0.403215, 0.391134, 0.381439, 0.370398, 4.31292, 4.33881, 4.29713, 4.36644, 7.02886, 25.6054, 3.97108, 19.737, 24.269, 190.886, 631.213, 219.795, 3282.01
249, 2.1902, 2.28908, 1.70846, 1.20696, 1.16727, 1.29279, 0.366104, 0.410666, 0.404906, 0.39315, 0.383228, 0.372286, 4.33668, 4.36867, 4.35242, 4.45108, 51.9241, 3.50888, 13.9994, 23.3571, 17.3109, 296.328, 170.224, 327.308, 1698.46
