seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 2728.45, 2677.46, 2656.42, 2653.73, 2651.34, 2644.86, 299.155, 278.616, 314.572, 319.71, 332.416, 303.81, 3488.51, 3231.66, 3507.73, 3637.18, 46552, 42632.3, 50747.8, 44998.2, 42122.4, 84243.6, 105874, 144430, 207394
1082, 2670.04, 2649.87, 2645.89, 2647.9, 2644.63, 2644.02, 328.568, 284.011, 312.798, 318.815, 281.223, 307.623, 3451.29, 3680.12, 3287.65, 3729.7, 45482.8, 31148.3, 55556.3, 54204.1, 63375.2, 82491.5, 120753, 128460, 219724
168, 2771.89, 2690.77, 2666.84, 2653.52, 2650.6, 2647.64, 288.781, 288.556, 317.828, 317.933, 318.074, 277.167, 3794.14, 3321.03, 3720, 3429.01, 49104.1, 48034.2, 53743.8, 45789.4, 45018.3, 104799, 91969, 121829, 201116
143, 2736.7, 2691.72, 2670.38, 2662.79, 2642.67, 2642.82, 299.062, 299.219, 308.553, 291.504, 293.511, 310.394, 3544.27, 3331.86, 3155.91, 3629.74, 34947.4, 34190.3, 53630.8, 51127.2, 53473.1, 89809, 97478.9, 98633.7, 140342
182, 2745.57, 2691.89, 2674.65, 2659.9, 2654.74, 2643.16, 295.796, 299.931, 327.455, 281.145, 320.516, 290.865, 3435.77, 3699.43, 3409.35, 3417.12, 23665.3, 41656.6, 41104.2, 50084.5, 49535.4, 97637.5, 95019.4, 143514, 157055
482, 2643.65, 2644.78, 2648.34, 2644.34, 2647, 2640.87, 311.951, 296.41, 308.905, 321.779, 319.53, 307.577, 3436.09, 3531.13, 3394.76, 3482.04, 42163.7, 40167.7, 54850.1, 57183.9, 54416.5, 93704.1, 104868, 148076, 189405
87, 2719.85, 2669.26, 2653.44, 2659.03, 2654.36, 2649.08, 317.781, 299.442, 306.677, 299.252, 307.813, 296.186, 3250.75, 3680.91, 3450.34, 3443.34, 45662.2, 50365.6, 48359.9, 47152.6, 46043.7, 97533.3, 91582.5, 137868, 167046
766, 2689.12, 2668.73, 2648.71, 2650.76, 2656.81, 2648.37, 285.004, 278.721, 319.418, 306.351, 305.098, 301.845, 3400.02, 3308.14, 3979.23, 3262.92, 36946.8, 37448.6, 43701.8, 55882.1, 44357.2, 92790.8, 101445, 114385, 184976
774, 2732.9, 2682.2, 2661.35, 2648.11, 2643.75, 2647.25, 310.968, 283.947, 295.287, 296.84, 301.849, 316.847, 3335.45, 3176.2, 3678.11, 3412.89, 42682.1, 22769.2, 49328.3, 29043, 50151.2, 103131, 102344, 118666, 160843
229, 2693.82, 2659.68, 2652.54, 2643.33, 2646.82, 2645.09, 322.411, 252.857, 306.436, 328.766, 297.458, 307.537, 3310.52, 3764.41, 3392.03, 3576.72, 35608.2, 27806.6, 58955.2, 44173.3, 45044.6, 100679, 105942, 138173, 195978
733, 2678.95, 2666.3, 2650.89, 2651.65, 2652.53, 2646.81, 303.188, 299.09, 300.994, 292.708, 321.163, 290.314, 3601.51, 3315.53, 3694.64, 3404.2, 44944.5, 38972.3, 54913.4, 40208.7, 46055.3, 110187, 75507.8, 145242, 192658
814, 2702.05, 2667.41, 2652.19, 2644.31, 2647.99, 2647.14, 297.444, 296.67, 314.511, 318.135, 321.38, 303.178, 3485.49, 3478.25, 3470.27, 3849.76, 44173.5, 29641.9, 56018.4, 47896.7, 43950.6, 107840, 91341.8, 124757, 145177
1112, 2726.68, 2686.33, 2665.3, 2655.59, 2654.36, 2647.41, 326.503, 286.138, 297.97, 320.76, 311.368, 309.894, 3328.9, 3378.03, 3524.21, 3609.07, 37840, 45357.8, 56239.3, 53072.6, 51495.8, 90199.6, 107855, 119886, 203850
547, 2692.62, 2663.01, 2645.09, 2636.98, 2644.46, 2636.42, 307.638, 305.746, 303.663, 298.373, 291.812, 276.661, 3738.18, 3537.53, 3411.06, 3291.34, 30909, 34297.4, 54686.7, 40308.4, 47342.3, 86236.7, 106883, 138279, 170842
845, 2718.24, 2666.22, 2650.75, 2636.28, 2641.07, 2636.49, 291.65, 286.81, 328.451, 287.436, 330.488, 305.213, 3672.39, 3746.71, 3866.32, 3437.84, 40724.9, 25300.9, 56002.5, 51569.7, 55173.3, 109350, 108570, 138740, 199151
249, 2700.53, 2666.87, 2654.67, 2650.67, 2640.62, 2632.85, 320.077, 295.004, 324.277, 280.747, 318.537, 293.86, 3585.91, 3623.32, 3743.58, 3358.46, 37270.8, 39979.6, 42684.7, 50664.2, 39316.9, 98090, 83689.4, 137353, 200496
711, 2690.92, 2666.34, 2648.73, 2647.74, 2640.21, 2635.24, 301.039, 303.206, 308.945, 272.883, 302.105, 283.443, 3636.9, 3449.58, 3301.19, 3678.4, 28818.8, 40355.4, 36665.8, 44748.7, 42285.1, 95604.8, 82821.1, 136935, 203975
455, 2662.11, 2649.07, 2653.71, 2644.15, 2648.23, 2646.86, 291.441, 303.283, 296.529, 312.848, 307.253, 287.543, 3438.01, 3541.72, 3525.9, 3336.78, 47978.1, 51000.3, 47326.7, 56201.9, 57493.3, 101491, 95630, 134202, 219215
379, 2724.79, 2686.16, 2666.86, 2658.38, 2656.9, 2655.8, 283.849, 310.65, 331.651, 303.915, 293.049, 314.362, 3775.65, 3372.17, 3345.13, 3759.98, 41748.7, 30908.2, 50446.9, 46285.4, 56973.7, 100515, 81803.5, 147074, 174356
116, 2741.18, 2678.79, 2642, 2657.71, 2654.2, 2654.46, 290.369, 297.911, 293.696, 299.757, 328.093, 318.526, 3687.44, 3260.37, 3566.5, 3647.68, 32406.4, 29650.6, 41401.7, 43696.4, 40140, 100143, 112538, 129387, 193055
309, 2696.25, 2676.73, 2659.35, 2650.47, 2649.44, 2655.58, 310.564, 282.316, 320.476, 322.571, 312.385, 299.443, 3830.33, 3596.74, 3427.62, 3475.11, 46408.4, 42264.1, 56578.9, 45566.9, 45977.7, 96101.4, 126674, 135701, 180357
412, 2677.05, 2654.23, 2649.49, 2656.54, 2650.35, 2652.53, 289.946, 278.213, 310.507, 312.33, 310.215, 260.201, 3289.56, 3220.76, 3449.75, 3665.56, 42063.5, 44254.6, 48386.5, 52247.7, 52197.1, 113909, 118772, 158994, 209661
1147, 2655.14, 2655.71, 2642.34, 2639.59, 2641.16, 2635.55, 289.266, 304.468, 277.766, 308.984, 297.643, 310.431, 3478.74, 3355.8, 3180.84, 3482.06, 25404.7, 32316.5, 56656.9, 50026.9, 55380.5, 96327.1, 81248.9, 130650, 203158
878, 2704.5, 2672.89, 2661.54, 2651.07, 2655.78, 2644.26, 292.706, 283.264, 291.347, 280.018, 313.905, 270.701, 3070.99, 3381.3, 3407.09, 3190.31, 39206.7, 29500.6, 47754.8, 49190.7, 50608.3, 92819.2, 81656.3, 125501, 158841
905, 2716.06, 2677.06, 2658.5, 2654.68, 2643.54, 2648.86, 297.489, 279.648, 303.774, 304.143, 304.196, 300.895, 3344.84, 3213.6, 3451.75, 3640.79, 32265.4, 33330.2, 47414.6, 49027.2, 53604.9, 106085, 69839.1, 119274, 170805
838, 2718.21, 2670.62, 2658.52, 2655.82, 2646.83, 2643.62, 282.762, 290.958, 335.177, 289.184, 329.743, 271.599, 3692.61, 3972.92, 3234.12, 3375.8, 13528.3, 45848.7, 30330.8, 51628.6, 48128.4, 89597.9, 97375.9, 117096, 207275
964, 2700.45, 2665.02, 2647.57, 2642.79, 2634.55, 2636.19, 299.715, 279.355, 310.291, 294.133, 326.642, 278.984, 3415.12, 3614.26, 3195.3, 3546.15, 36648.2, 48529.1, 37237.2, 53595.5, 43158.6, 80141.2, 113309, 117072, 219829
596, 2704.54, 2675.5, 2655.99, 2659.13, 2654.23, 2637.69, 281.597, 289.439, 316.387, 285.084, 311.079, 281.993, 3459.54, 3502.17, 3475.22, 3469.17, 41545.8, 58085.6, 36956.9, 43201.5, 57357.7, 93093.8, 101986, 144652, 183884
995, 2724.47, 2676.94, 2653.74, 2643.43, 2645.01, 2644.15, 313.594, 305.583, 305.238, 324.923, 298.565, 328.113, 3335.36, 3596.74, 3295.02, 3568.43, 41926.2, 35363.7, 29267, 57016.8, 53396.3, 99092.7, 89544.9, 136830, 205569
503, 2751.22, 2695.07, 2667.76, 2656.68, 2643.6, 2653.73, 287.519, 306.531, 297.532, 318.843, 290.067, 300.936, 3565.31, 3493.59, 3489.16, 3616.12, 38984.4, 28381.1, 29180.8, 44876.6, 47982.3, 107885, 101704, 131003, 162822
662, 2725.88, 2658.64, 2644.97, 2627.06, 2629.31, 2628.17, 303.129, 278.505, 271.492, 309.008, 323.013, 325.181, 3512.13, 3559.36, 3493.1, 3439.34, 50169.1, 53501.9, 57462.9, 36406.9, 50675.9, 71870.2, 109190, 126891, 212293
1126, 2638.49, 2643.19, 2644.47, 2648.84, 2641.7, 2650.29, 309.553, 270.753, 320.418, 299.383, 303.35, 329.969, 3423.33, 3456.51, 3485.84, 3506.45, 32152.3, 41401.1, 61070.7, 47832.3, 55510.1, 115900, 111742, 139582, 232383
737, 2692.64, 2673.88, 2653.47, 2650.45, 2643.22, 2640.45, 295.441, 295.914, 297.801, 337.244, 305.14, 282.872, 3498.15, 3542.08, 3616.34, 3657.82, 49284.6, 50078.4, 50452.6, 40562.8, 51578, 94906.6, 113348, 130585, 229872
963, 2736.56, 2693.05, 2656.17, 2652.59, 2645.74, 2630.15, 295.62, 279, 326.403, 313.543, 317.937, 316.645, 3428.5, 3450.98, 3578.4, 3534.03, 48979.8, 50590.8, 63006.3, 47736.5, 54969.3, 115933, 80846, 174982, 224241
598, 2696.86, 2673.07, 2663, 2655.37, 2636.5, 2651.63, 308.261, 300.704, 291.788, 292.038, 310.777, 303.92, 3789.01, 3212.18, 3467.83, 3435.54, 35498.7, 49115.4, 56535.6, 46797, 55745.9, 93900.7, 100548, 108608, 137619
1041, 2732.74, 2689.78, 2665.02, 2651.22, 2651.4, 2649.64, 284.316, 296.023, 317.173, 303.768, 314.028, 288.224, 3516.31, 3857.86, 3558.78, 3761.36, 39553.2, 24893, 53111.3, 57659.8, 46375.2, 78997.2, 87542.6, 148004, 201397
285, 2692.52, 2670.12, 2656.72, 2652.79, 2648.89, 2653.74, 318.593, 312.968, 294.128, 296.757, 295.702, 324.371, 3627, 3311.89, 3756.7, 3580.59, 21623.2, 34928, 34830.7, 56288.1, 44981, 88670.5, 88342.4, 132996, 147305
884, 2725.63, 2680.32, 2660.7, 2655.92, 2657.37, 2646.16, 307.992, 293.788, 314.526, 293.094, 312.236, 306.881, 3672.73, 3200.25, 3422.5, 3095.7, 45197, 47650.8, 54182.1, 48817.2, 42533.9, 75513.1, 87928.8, 133162, 193892
805, 2714.66, 2669.57, 2651.55, 2641.84, 2638.57, 2633.45, 304.954, 287.839, 328.563, 325.678, 294.941, 287.574, 3407.17, 3743.33, 3578.79, 3274.92, 44531, 36668.4, 56441.5, 44178.5, 42569.2, 96159.6, 93541.8, 138864, 209991
693, 2735.27, 2690.87, 2663.08, 2654.07, 2654.14, 2654.82, 288.3, 309.552, 308.61, 280.725, 282.425, 336.497, 3426.14, 3490.81, 3420.35, 3873.51, 33637.4, 30622.8, 50787, 43543.7, 54052.1, 68916.9, 106098, 148109, 161774
613, 2672.9, 2665.29, 2654.33, 2654.72, 2655.52, 2645.43, 294.902, 302.224, 316.463, 321.113, 285.834, 287.705, 3174.84, 3239.4, 3238.08, 3343.02, 26079.5, 41714.5, 52661.2, 34609.1, 37180, 113399, 99821, 140538, 197127
648, 2690.54, 2675.97, 2655.47, 2645.73, 2638.18, 2644.71, 282.345, 294.082, 316.677, 294.574, 324.998, 322.136, 3581.65, 3044.74, 3373.75, 3332.67, 36632.8, 38130.9, 38741.9, 38596.5, 48031.8, 88541.2, 71258.2, 156191, 185110
349, 2689.46, 2658.04, 2649.75, 2639.41, 2646.09, 2642.66, 307.607, 300.564, 326.429, 259.229, 309.67, 310.278, 3093.41, 3398.96, 3854.58, 3316.96, 40402.3, 29255.9, 58263.7, 58810, 48972.4, 106570, 100476, 122560, 240846
265, 2690.79, 2669.55, 2656.17, 2646.06, 2649.97, 2645.24, 303.301, 300.748, 317.793, 303.431, 300.925, 300.005, 3541.19, 3459.97, 3295.37, 3941.49, 47278.5, 43910.2, 57475, 59497.1, 51275, 104456, 100371, 169515, 208548
16, 2729.71, 2667.08, 2650.77, 2645.14, 2644.83, 2650.64, 307.06, 302.497, 285.806, 304.668, 332.555, 281.781, 3317.7, 3575.95, 3652.19, 3684.1, 34108, 45938.7, 62227.4, 51033.2, 43090.9, 67814.7, 97502.1, 145141, 142977
56, 2719.61, 2670.89, 2656.18, 2652.36, 2652.56, 2650.36, 301.626, 286.35, 307.696, 298.275, 307.306, 308.488, 3211.25, 3279.02, 3584.57, 3770.75, 45451.9, 43150.5, 40134.3, 37092.9, 31848.5, 73763.8, 88798.3, 130102, 218086
671, 2662.89, 2644.41, 2647.68, 2648.03, 2650.97, 2649, 319.988, 308.482, 302.393, 275.548, 281.394, 287.521, 3428.92, 3171.38, 3323.02, 3998.08, 37592.8, 47365.4, 59981.2, 57480.6, 51110.4, 110273, 95612.2, 144335, 221754
