seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 1920.27, 4351.83, 3258.91, 2348.01, 2058.14, 1738.61, 1455.37, 1225.15, 940.234, 703.438, 633.351, 460.429, 2045.71, 2949.06, 2931.77, 2419.06, 152.272, 105.786, 228.292, 442.394, 206.454, 1789.79, 2157.62, 5200.62, 21538
1082, 1815.35, 4346.38, 3293.13, 2518.92, 2007.1, 1758.4, 1282.35, 1224.8, 815.185, 726.399, 563.036, 493.597, 2348.98, 2287.39, 2518.13, 3040.03, 120.061, 140.97, 225.972, 408.823, 195.053, 2077.34, 2406.77, 5434.52, 28821
168, 1940.94, 4374.22, 3254.08, 2390.85, 2118.49, 1639.29, 1308.08, 1095.81, 940.934, 777.919, 588.924, 537.779, 2875.31, 2870.45, 2660.1, 2026.71, 119.53, 129.005, 245.189, 348.638, 235.802, 1805.07, 2235.43, 4591.04, 16627.4
143, 1875.28, 4406.38, 3299.01, 2375.28, 2077.73, 1722.33, 1406.74, 1103.65, 973.818, 831.241, 611.126, 542.466, 2448.13, 2559.26, 2882.19, 2519.89, 139.61, 122.331, 156.488, 368.189, 245.835, 2187.13, 2083.09, 4797.29, 18824.9
182, 1898.22, 4447.21, 3286.63, 2385.75, 2071.04, 1612.34, 1380.05, 1195.29, 1052.55, 768.125, 601.159, 484.32, 2468.37, 2672.51, 2767.47, 2228.06, 160.879, 122.468, 205.235, 317.57, 197.246, 1741.57, 2524.68, 4811.42, 14615.5
482, 1889.5, 4269.32, 3367.26, 2375.22, 2013.07, 1635.06, 1430.92, 1121.05, 932.261, 829.583, 607.897, 557.727, 2477.95, 2416.36, 2527.13, 3250.47, 147.412, 123.192, 225.325, 364.55, 208.736, 2146.53, 2340.27, 5108.89, 21081.5
87, 1860.7, 4427.45, 3194.09, 2455.4, 2124.13, 1730.66, 1377.73, 1115.9, 912.083, 804.062, 584.371, 540.085, 2660.92, 2510.16, 2690.27, 2756.47, 163.238, 145.805, 154.923, 304.887, 192.337, 2264.15, 2249.4, 3778.75, 24073.3
766, 1837.86, 4240.99, 3170.6, 2306.46, 1962.72, 1713, 1403.78, 1213.16, 982.191, 758.326, 715.603, 512.61, 2624.75, 2598.53, 2552.6, 2960.71, 160.824, 161.816, 229.024, 454.666, 190.446, 2455.08, 2119.86, 6044.39, 24125.3
774, 1974.75, 4356.97, 3303.7, 2430.16, 1972.72, 1733.4, 1377.36, 1149.16, 985.352, 810.41, 591.844, 466.08, 2325.69, 2338.39, 2700.68, 2428.83, 111.843, 140.501, 181.245, 306.812, 157.832, 2114.27, 2343.32, 4391.2, 17942.1
229, 1862.78, 4390.66, 3210.46, 2330.86, 1983.7, 1730.32, 1435.91, 1120.48, 916.972, 911.651, 605.685, 526.29, 2725.78, 2932.88, 3013.18, 2320.29, 166.644, 192.015, 261.98, 461.673, 222.635, 1777.09, 1935.49, 5955.28, 20101.3
