seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 1920.28, 4351.86, 3258.93, 2348.03, 2058.15, 1738.62, 1455.37, 1225.15, 940.235, 703.438, 633.35, 460.428, 2045.71, 2949.05, 2931.77, 2419.06, 152.272, 105.785, 228.291, 442.394, 206.454, 1789.79, 2157.62, 5200.62, 21538
1082, 1815.36, 4346.41, 3293.15, 2518.94, 2007.11, 1758.41, 1282.35, 1224.8, 815.185, 726.398, 563.035, 493.596, 2348.97, 2287.38, 2518.13, 3040.04, 120.061, 140.97, 225.972, 408.823, 195.052, 2077.33, 2406.77, 5434.51, 28820.9
168, 1940.96, 4374.24, 3254.1, 2390.86, 2118.5, 1639.3, 1308.08, 1095.81, 940.934, 777.919, 588.923, 537.777, 2875.3, 2870.44, 2660.1, 2026.71, 119.529, 129.004, 245.188, 348.639, 235.801, 1805.07, 2235.43, 4591.03, 16627.4
143, 1875.29, 4406.4, 3299.02, 2375.29, 2077.74, 1722.34, 1406.74, 1103.65, 973.819, 831.241, 611.125, 542.465, 2448.12, 2559.26, 2882.19, 2519.89, 139.61, 122.331, 156.487, 368.19, 245.835, 2187.13, 2083.09, 4797.3, 18824.9
182, 1898.24, 4447.24, 3286.64, 2385.76, 2071.05, 1612.35, 1380.05, 1195.29, 1052.55, 768.125, 601.158, 484.319, 2468.36, 2672.5, 2767.47, 2228.06, 160.878, 122.468, 205.234, 317.571, 197.246, 1741.57, 2524.68, 4811.42, 14615.5
482, 1889.52, 4269.35, 3367.28, 2375.23, 2013.08, 1635.07, 1430.93, 1121.06, 932.262, 829.583, 607.896, 557.726, 2477.95, 2416.36, 2527.13, 3250.47, 147.412, 123.191, 225.324, 364.551, 208.735, 2146.53, 2340.27, 5108.89, 21081.5
87, 1860.71, 4427.47, 3194.11, 2455.4, 2124.14, 1730.66, 1377.73, 1115.9, 912.083, 804.061, 584.37, 540.084, 2660.92, 2510.15, 2690.27, 2756.47, 163.238, 145.805, 154.922, 304.887, 192.336, 2264.14, 2249.4, 3778.75, 24073.3
766, 1837.87, 4241.01, 3170.61, 2306.47, 1962.73, 1713, 1403.78, 1213.16, 982.192, 758.326, 715.602, 512.609, 2624.74, 2598.53, 2552.6, 2960.72, 160.824, 161.816, 229.024, 454.666, 190.446, 2455.07, 2119.86, 6044.39, 24125.3
774, 1974.76, 4356.99, 3303.72, 2430.17, 1972.73, 1733.41, 1377.36, 1149.16, 985.353, 810.41, 591.843, 466.079, 2325.68, 2338.39, 2700.68, 2428.83, 111.843, 140.501, 181.245, 306.812, 157.831, 2114.27, 2343.32, 4391.19, 17942.1
229, 1862.79, 4390.68, 3210.47, 2330.87, 1983.71, 1730.33, 1435.91, 1120.49, 916.973, 911.651, 605.685, 526.289, 2725.77, 2932.87, 3013.18, 2320.29, 166.644, 192.014, 261.979, 461.674, 222.635, 1777.09, 1935.49, 5955.28, 20101.3
733, 1906.84, 4245.17, 3280.27, 2302.24, 2078.96, 1767.09, 1319.37, 1177.47, 946.059, 780.453, 657.49, 643.512, 2687.91, 2400.67, 2725.95, 3130.93, 155.729, 118.171, 168.781, 310.813, 207.139, 2165.66, 2586.91, 5025.27, 24889.5
814, 1871.8, 4180.65, 3287.57, 2417.42, 2066.84, 1672.47, 1408.09, 1147.23, 961.479, 822.559, 544.71, 529.643, 2659.57, 2783.73, 2393.02, 2457.39, 146.739, 142.042, 194.932, 504.924, 193.644, 2186.01, 2244.89, 6020.92, 24490.8
1112, 1927.2, 4405.41, 3233.86, 2377.5, 2239.92, 1639.39, 1384.34, 1206.73, 928.673, 705.162, 607.12, 576.403, 2453.2, 3107.75, 2880.84, 2633.71, 115.601, 115.894, 237.472, 409.355, 240.239, 2147.78, 2437, 7417.77, 22046.5
547, 1900.77, 4281.21, 3174.41, 2311.43, 2165.42, 1749.86, 1308.37, 1120.07, 969.346, 724.518, 558.374, 454.879, 2208.66, 2612.99, 2127.47, 2785.49, 142.299, 129.73, 174.956, 411.829, 179.889, 2116.5, 1959.57, 4742.35, 24887.9
845, 1860.43, 4233.76, 3216.76, 2365.05, 2066.57, 1639.49, 1378.83, 1103.01, 991.726, 788.417, 648.086, 483.045, 2721.11, 2918.18, 2311.43, 2304.1, 128.93, 122.212, 233.223, 381.664, 202.198, 2106.1, 2701.34, 5580.86, 20234.2
249, 1883.51, 4340.8, 3292.09, 2278.8, 2025.46, 1627.05, 1357.69, 1129.83, 1003.35, 815.489, 611.611, 546.497, 2348.72, 2656.2, 2551.28, 2802.97, 141.844, 143.984, 251.542, 328.508, 228.996, 1880.4, 2270.73, 5611.74, 24216.1
711, 1803.17, 4476.32, 3202.16, 2323.02, 2101.7, 1728.82, 1367.76, 1213.75, 935.461, 787.2, 594.82, 550.606, 2767.08, 2520.71, 2593.57, 2638.2, 149.225, 141.108, 216.517, 425.012, 210.157, 2358.39, 2757.87, 5755.79, 17513.3
455, 1829.29, 4157.86, 3293.8, 2389.37, 2162.34, 1627.84, 1363.17, 1109.59, 975.264, 861.602, 574.619, 516.957, 2635.63, 2380.58, 2821.2, 3041.13, 134.414, 113.21, 250.641, 458.281, 215.947, 2666.91, 2588.62, 5611.8, 25917.9
379, 1908.96, 4059.49, 3263.92, 2385.62, 2029.25, 1588.74, 1385.46, 1142.15, 936.556, 777.611, 560.655, 430.927, 2310.52, 2793.58, 2894.01, 2317.64, 138.543, 143.521, 174.286, 411.492, 234.046, 2637.81, 2534.72, 5495.69, 24136.6
116, 1910.58, 4208.89, 3281.02, 2355.6, 2129.39, 1688.95, 1457.06, 1091.31, 926.382, 740.714, 579.672, 519.221, 2735.99, 2813.93, 2921.09, 2798.32, 158.715, 133.817, 242.972, 364.534, 210.692, 2328.44, 2444.91, 5268.44, 19082.8
309, 1911.51, 4327.81, 3302.14, 2440.44, 2092, 1699.81, 1329.36, 1155.67, 1010.29, 800.052, 589.657, 518.522, 2896.72, 2229.39, 2818.36, 2504, 147.473, 172.271, 240.156, 487.242, 227.649, 2583.69, 2255.35, 6525.36, 21695
412, 1851.59, 4381.25, 3234.99, 2398.24, 2051.61, 1749.33, 1441.49, 1176.85, 942.04, 828.651, 620.662, 520.17, 2822.86, 2693.51, 2852.67, 2838.05, 109.124, 129.84, 200.974, 350.07, 197.447, 2598.64, 2457.25, 6016.66, 21627.3
1147, 1868.92, 4370.55, 3284.95, 2274.36, 2152.71, 1662.57, 1407.45, 1152.09, 922.41, 775.077, 562.792, 497.3, 2730.88, 2434.57, 3515.89, 2610.89, 105.514, 125.273, 218.69, 343.269, 175.867, 1736.95, 2187.13, 5798.01, 19904.4
878, 1837.29, 4360.61, 3279.52, 2392.2, 2019.9, 1689.77, 1425.61, 1123.34, 857.242, 755.768, 645.791, 534.543, 2653.33, 2763.84, 2313.07, 2244.92, 138.091, 141.764, 215.612, 393.537, 205.411, 2245.58, 2531.39, 4061.41, 19648.8
905, 1875.16, 4316.14, 3299.98, 2396.9, 2051.75, 1698.54, 1441.26, 1117.46, 940.875, 783.98, 624.717, 492.922, 2311.02, 2576.16, 2275.06, 2555.56, 106.449, 129.433, 224.076, 431.688, 201.159, 1945.25, 1917.27, 4232.49, 25669.4
838, 1950.21, 4318.04, 3329.08, 2449.22, 2061.14, 1730.87, 1237.1, 1076.85, 977.542, 747.631, 577.2, 569.13, 2986.52, 2781.2, 3066.17, 2940.76, 166.283, 126.599, 245.246, 327.364, 175.717, 2328.44, 2461.73, 4120.66, 18474
964, 1820.03, 4239.61, 3271.91, 2382.21, 2089.67, 1663.98, 1274.37, 1137.77, 925.597, 881.017, 627.221, 547.014, 2823.43, 2809.54, 2663.34, 2545.96, 141.255, 157.74, 206.525, 340.471, 255.439, 2405.75, 2402.23, 5777.88, 22703.1
596, 1829.59, 4418.5, 3262.53, 2264.06, 2150.68, 1672.97, 1357.8, 1155.07, 942.71, 803.545, 590.025, 484.137, 2836.62, 2885.11, 3078.14, 2612.9, 126.64, 133.493, 201.923, 357.83, 200.587, 2425.51, 2067.08, 5091.67, 19414.5
995, 1891.77, 4263.44, 3236.45, 2364.27, 1971.31, 1610.1, 1439.77, 1121.71, 1006.17, 672.018, 632.483, 463.633, 2708.97, 2883.83, 2790.4, 2569.96, 116.811, 134.021, 210.697, 414.02, 185.613, 2215.45, 1805.73, 4818.1, 27452.5
503, 1928.49, 4400.81, 3125.67, 2434.51, 2097.98, 1752.95, 1348.28, 1076.87, 964.56, 791.983, 617.875, 490.006, 2364.72, 2236.37, 2977.31, 2776.78, 145.847, 130.822, 218.997, 435.883, 150.059, 2334.82, 2304.46, 4740.09, 21199.8
662, 1891.13, 4270.83, 3316.62, 2339.41, 2093.96, 1628.6, 1349.24, 1171.45, 906.349, 686.436, 645.779, 557.176, 2458.51, 2491.86, 2479.91, 2172.3, 135.721, 103.948, 177.07, 432.878, 137.93, 1962.12, 2465.81, 6556.13, 27226.9
1126, 1815.29, 4398.56, 3245.17, 2405.83, 2122.23, 1620.44, 1413.94, 1149.88, 914.601, 754.893, 634.397, 486.666, 2744.9, 1985.78, 2090.54, 2375.66, 151.735, 150.43, 206.44, 302.005, 199.032, 2166.52, 2737.31, 6356.7, 24813.7
737, 1908.02, 4363.29, 3136.7, 2511.01, 2031.47, 1753.18, 1334.59, 1148.23, 933.885, 808.66, 628.385, 485.482, 2385.18, 2523.04, 2406.02, 2468.45, 134.45, 125.426, 188.099, 376.103, 220.348, 2192.51, 2706.25, 5611.37, 23569.1
963, 1965.32, 4243.88, 3342.94, 2468.78, 1981.3, 1715.59, 1456.75, 1096.84, 994.052, 769.924, 645.753, 571.177, 2452.66, 2591.15, 2911.96, 2511.45, 124.287, 130.667, 219.844, 319.518, 223.596, 2236.1, 2681.89, 5748.3, 23256.2
598, 1834.17, 4325.38, 3170.28, 2363.85, 2069.96, 1706.83, 1441.52, 1221.87, 1008.6, 761.507, 558.565, 547.519, 2724.52, 2799.9, 2638.21, 3612.65, 139.996, 125.179, 177.793, 419.269, 199.302, 1773.12, 2484.32, 3429.09, 24675.1
1041, 1863.35, 4311.72, 3242.33, 2477.59, 2072.09, 1769.65, 1396.7, 1204.15, 910.121, 749.702, 568.643, 504.842, 2266.05, 2120.81, 2574.12, 2552.6, 186.76, 139.56, 224.46, 321.821, 198.004, 2236.68, 2581.2, 5317.52, 24721.4
285, 1934.82, 4376.04, 3266.51, 2471.44, 2082.38, 1694.08, 1376.42, 1121.3, 858.024, 767.74, 602.25, 485.719, 2704.63, 2971.9, 2666.82, 2601.18, 129.683, 106.818, 217.942, 380.366, 206.279, 2069.58, 2027.2, 5826.88, 21771.3
884, 1948.96, 4312.84, 3389.56, 2253.21, 1987.7, 1686.3, 1427.12, 1144.74, 958.265, 782.331, 582.941, 501.232, 2507.56, 2996.51, 2679.78, 3080.98, 120.796, 152.317, 235.785, 295.591, 193.857, 1952.42, 2452.72, 4859.98, 22484.4
805, 1869.59, 4279.01, 3373.48, 2323.57, 2041.86, 1662.01, 1339.59, 1175.69, 947.59, 777.541, 651.817, 565.254, 2704.29, 2294.87, 2738.18, 2308.1, 147.704, 110.946, 166.662, 341.025, 230.425, 2067.14, 2376.37, 4906.86, 26012.2
693, 1883.11, 4400.46, 3320.69, 2395.35, 1984.83, 1661.82, 1422.57, 1132.82, 939.812, 773.24, 618.618, 573.122, 2315.14, 2506.81, 2928.79, 2687.25, 131.568, 167.008, 249.579, 324.665, 213.026, 1554.07, 1717.23, 4826.01, 21807.4
613, 1874.07, 4353.68, 3347.76, 2422.97, 2106.19, 1710.12, 1389.32, 1095.63, 918.016, 736.497, 594.148, 489.381, 2432.56, 2450.4, 2742.72, 3034.41, 150.339, 133.62, 203.497, 314.518, 199.407, 2316.36, 2283.97, 5855.03, 19813.8
648, 1905.67, 4352.53, 3192.46, 2354.16, 2141.03, 1718.58, 1381.32, 1216.48, 935.106, 859.113, 585.626, 465.834, 3190.85, 2866.18, 2351.5, 2481.03, 125.314, 113.371, 221.959, 378.976, 255.272, 1997.64, 2252.93, 4479.24, 19820.7
