seed, Total QALY
304, 383973
1082, 357655
168, 338642
143, 287957
182, 346650
482, 383646
87, 236867
766, 489010
774, 341330
229, 278431
733, 396375
814, 358335
1112, 425856
547, 338429
845, 378712
249, 353235
711, 364550
455, 359565
379, 412051
116, 311276
309, 410030
412, 446321
1147, 415035
878, 322580
905, 284537
838, 390745
964, 373646
596, 423517
995, 494760
503, 369657
662, 300007
1126, 507614
737, 416500
963, 332450
598, 248715
1041, 405517
285, 526701
884, 416768
805, 412418
693, 382586
613, 257008
648, 346889
349, 400631
265, 395555
16, 380481
56, 405166
671, 322819
106, 396916
756, 350893
644, 225760
150, 388039
727, 437073
1067, 410664
1209, 348490
323, 353188
1235, 387252
266, 340316
607, 275078
1015, 313671
1106, 471225
593, 371179
958, 411003
698, 359261
880, 444114
27, 425587
1138, 355450
198, 323032
972, 335344
747, 323387
346, 470500
225, 452902
465, 384629
53, 293158
792, 419979
811, 258955
977, 363737
1132, 465266
33, 409050
870, 371780
459, 383173
702, 417605
427, 301603
145, 347615
237, 446812
446, 369802
169, 325641
236, 368402
796, 367297
410, 363662
131, 441540
219, 446687
687, 468323
49, 390585
591, 412688
79, 342565
750, 460769
63, 305356
919, 391328
650, 289649
1065, 338154
926, 278944
90, 481940
790, 390980
1046, 390078
373, 455321
57, 344097
1085, 431353
1170, 398942
1062, 256212
826, 400139
569, 387407
207, 396620
798, 413521
165, 413605
88, 398565
6, 560780
495, 337833
538, 460496
959, 402748
941, 285031
1146, 292475
934, 383091
1119, 327089
1044, 399815
655, 392284
897, 362793
555, 338469
257, 402476
385, 310253
404, 297075
848, 505905
902, 382196
82, 314699
1130, 526753
1108, 390615
895, 294953
1011, 339264
303, 364858
438, 359172
968, 324581
557, 398884
1070, 441003
1094, 394722
911, 433313
1133, 436478
36, 429876
109, 397326
355, 387592
661, 308151
1023, 412596
122, 345146
509, 409305
499, 445490
378, 531884
1128, 364047
562, 459999
476, 399234
833, 315859
1110, 281706
1022, 460127
392, 390540
1031, 298689
248, 373795
35, 389913
570, 528863
1210, 389244
525, 347213
994, 390768
1071, 319821
533, 297155
639, 437703
595, 284227
974, 363190
652, 381848
0, 386402
330, 470336
208, 381080
667, 539520
185, 393119
76, 346497
948, 318965
118, 366254
264, 434671
548, 326826
322, 418784
395, 374407
551, 368308
160, 397460
876, 377674
1219, 335421
297, 365889
802, 355913
141, 327158
231, 258210
295, 561371
59, 426402
7, 386795
752, 291199
546, 351375
1197, 369913
255, 394808
490, 426887
283, 341476
12, 385321
129, 296225
782, 434103
581, 491416
692, 427355
71, 399443
821, 353069
426, 382979
920, 432559
882, 305297
102, 431899
188, 322178
657, 284758
840, 357401
757, 423539
529, 451137
630, 296015
522, 409250
350, 338385
558, 467979
14, 435841
605, 307716
492, 380030
291, 362281
588, 335864
135, 330452
1123, 345251
1233, 440804
252, 300207
220, 419879
918, 273914
171, 451979
1215, 353473
91, 374212
5, 373776
296, 496380
1086, 340112
61, 410105
571, 301880
510, 266151
307, 382908
383, 363410
475, 290631
925, 322737
993, 331353
651, 374570
1043, 468629
1212, 337038
786, 330409
606, 441856
886, 340038
957, 345527
263, 454909
763, 406137
1056, 354628
809, 589169
443, 338624
338, 345365
26, 336381
1154, 434256
407, 423196
632, 397199
177, 309203
691, 354831
247, 340460
352, 347472
784, 393847
1017, 353414
631, 306549
320, 523533
770, 327467
1188, 269260
452, 434209
1129, 333082
512, 410947
1109, 437662
715, 358950
780, 431645
933, 443382
991, 372508
365, 369392
484, 412849
227, 335256
251, 464278
445, 347510
611, 325562
701, 271394
653, 507651
697, 420062
755, 193354
1036, 487310
94, 375413
846, 383843
235, 331220
113, 361664
66, 428396
975, 318612
997, 348373
396, 313342
327, 385909
10, 569007
300, 373902
226, 331403
1180, 322478
163, 348047
1117, 325908
666, 397580
273, 437805
183, 400093
1020, 360233
310, 471013
95, 343380
1054, 441147
202, 375908
638, 487592
709, 286637
996, 409526
39, 450199
764, 526407
708, 394016
1168, 373346
184, 384994
241, 302891
431, 288013
147, 364150
642, 337090
1200, 362202
312, 484508
17, 514087
640, 386249
1014, 383846
158, 430439
380, 353327
319, 483107
791, 372431
1232, 388605
734, 325212
318, 509523
628, 438129
815, 268329
504, 376295
224, 410494
965, 546678
374, 383515
301, 465151
164, 370127
125, 394462
556, 368735
1006, 481871
429, 386764
992, 365136
337, 457605
1089, 390588
74, 329178
935, 438191
539, 406936
754, 356136
428, 345868
1157, 437242
13, 375782
1246, 389843
342, 302141
1081, 339858
483, 357091
299, 435185
175, 351025
1238, 469413
434, 442806
111, 349097
47, 389755
760, 400871
1173, 342451
409, 411037
844, 454639
1206, 326862
321, 394212
1051, 390075
850, 344769
284, 352635
527, 481593
441, 370975
413, 485249
1093, 271084
382, 488276
140, 442756
620, 443099
1009, 396357
269, 353812
1136, 398078
1214, 394194
170, 354453
1042, 438061
726, 388535
1152, 315702
955, 339086
1198, 320028
401, 293434
45, 385782
403, 344141
1040, 439498
1007, 368400
690, 434664
610, 480400
136, 363353
83, 412033
679, 379299
240, 439162
1145, 373106
629, 403912
616, 368065
717, 323117
635, 361023
9, 383658
1217, 366362
89, 314675
228, 305191
120, 386060
929, 293271
479, 293821
363, 425432
281, 400739
867, 384025
181, 419564
1165, 326692
142, 316659
721, 386898
423, 355620
473, 385513
282, 296811
609, 401669
864, 372133
913, 334321
1201, 334305
1240, 350825
1103, 421109
950, 341033
1189, 295506
917, 366847
847, 308478
930, 419336
1153, 499234
471, 425478
334, 362338
486, 438542
279, 332107
81, 401157
341, 403881
985, 533500
508, 361884
1156, 406796
800, 414778
769, 489762
1029, 471856
127, 283028
55, 425419
1193, 421977
340, 525582
827, 417081
1037, 318640
388, 280651
1068, 402609
743, 492265
912, 335669
940, 438198
1005, 472769
213, 458710
1236, 395935
633, 421526
326, 397464
397, 525726
1114, 431011
174, 365727
343, 396808
419, 314589
501, 414575
245, 403984
149, 311572
682, 282476
288, 402926
497, 400495
627, 437202
317, 401919
485, 351748
554, 252031
204, 308016
398, 370570
818, 387888
874, 290463
420, 459147
167, 375067
1166, 371970
242, 319244
804, 397785
952, 464544
408, 313758
73, 307734
313, 533865
822, 472571
315, 401460
246, 408084
1018, 347522
789, 364237
78, 298898
889, 514872
1047, 294821
777, 291734
659, 433516
704, 410082
454, 312833
1167, 416939
356, 343706
1104, 407068
402, 364922
387, 355201
1186, 358333
114, 469795
457, 327641
696, 318890
1164, 290182
112, 546353
980, 355764
887, 415832
576, 327933
634, 361520
133, 284671
675, 421397
857, 374923
686, 395181
15, 427981
293, 423369
853, 314465
981, 315922
1028, 387116
849, 349752
161, 355541
32, 365800
615, 241340
739, 286776
1091, 360672
1008, 320183
863, 389054
1231, 340737
660, 370017
186, 374529
795, 342707
1100, 305706
316, 430547
706, 348683
1150, 499919
194, 442349
656, 354530
900, 348648
84, 519805
520, 308482
369, 461559
820, 282778
381, 390369
560, 428717
861, 458694
761, 441643
625, 434005
665, 442009
528, 333747
530, 381695
481, 370028
138, 352004
967, 414446
723, 323690
579, 381961
335, 408835
890, 358065
944, 392104
549, 294865
1175, 401172
359, 395181
817, 418223
731, 498305
178, 381742
11, 404604
852, 398941
1003, 463252
564, 355698
732, 383094
250, 304591
191, 362422
649, 406673
909, 325441
1083, 411836
368, 430948
1000, 315902
19, 418603
535, 300599
962, 325230
199, 444995
683, 264066
386, 467721
308, 581932
841, 362985
212, 355787
916, 335240
1228, 381088
1187, 305123
623, 393700
478, 364478
1049, 345985
824, 412276
871, 423752
1063, 393839
1194, 488459
694, 509604
1024, 396842
542, 394083
1050, 366706
262, 409027
195, 375045
600, 329236
966, 428824
37, 551789
544, 359039
714, 392852
498, 335093
883, 457916
193, 370224
608, 261024
197, 372041
771, 327954
808, 408944
48, 459896
1241, 380523
1174, 338063
1234, 359385
23, 358780
348, 433194
469, 318434
858, 349682
603, 328473
1237, 423459
1002, 482867
953, 384717
21, 447124
1181, 374942
707, 602036
496, 544498
1098, 502253
829, 343585
405, 355101
1204, 330218
31, 358625
646, 352873
928, 283496
253, 436505
289, 397308
154, 437335
830, 436627
1078, 337596
987, 406622
271, 310030
969, 415638
107, 350951
258, 574968
44, 392438
881, 267777
1025, 309386
86, 368461
574, 391046
594, 383993
223, 392783
1199, 339240
