seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 36720.5, 40064.2, 39968.3, 39921, 40053.2, 40177, 40155, 39894, 39365.3, 38590.3, 37629.8, 36567.6, 469551, 378485, 341932, 319866, 1.11684e+06, 1.09344e+06, 1.15468e+06, 1.03461e+06, 1.11169e+06, 896379, 612126, 422245, 473647
1082, 38989.7, 43055.3, 43165.4, 43212.5, 43409.8, 43573.1, 43556.8, 43260.2, 42653.4, 41762.6, 40658.8, 39439, 448592, 363026, 330603, 311199, 1.08657e+06, 1.06321e+06, 799156, 724741, 774599, 632175, 439291, 306701, 344353
168, 35935.8, 38710, 38540.2, 38480.2, 38579.3, 38651.7, 38570.3, 38248.8, 37663.5, 36838.9, 35837.6, 34744, 439399, 350755, 315314, 293761, 1.06853e+06, 1.04542e+06, 960449, 862249, 930764, 733405, 490483, 334681, 375224
143, 37621.8, 41009.7, 40937.4, 40885.7, 40986, 41057, 40962.6, 40614, 39985.2, 39101.9, 38030, 36859.1, 463855, 371218, 334437, 312265, 1.10385e+06, 1.08055e+06, 873773, 787005, 849372, 669419, 449069, 307134, 344414
182, 36345.1, 39460.8, 39319.2, 39248.7, 39351, 39438.5, 39375.7, 39072.3, 38501.7, 37687.1, 36691.2, 35598.9, 439213, 352808, 317943, 296839, 1.09179e+06, 1.06932e+06, 1.09625e+06, 977746, 1.05492e+06, 844848, 573531, 393938, 441769
482, 37040.6, 41219.4, 41427.5, 41507.5, 41715.3, 41888.7, 41891.8, 41629.4, 41072.7, 40245.9, 39215.5, 38072.9, 461803, 374020, 340036, 319634, 1.07116e+06, 1.04818e+06, 719469, 652736, 697893, 567568, 392895, 273787, 307331
87, 36843.8, 40204.4, 40235.2, 40266.7, 40424.8, 40540.1, 40487.5, 40181.2, 39597, 38760.2, 37735, 36608.5, 418350, 334904, 302358, 283064, 1.03634e+06, 1.01506e+06, 1.04928e+06, 940333, 1.01281e+06, 812030, 552705, 380637, 426971
766, 35017.1, 38565.1, 38581.4, 38577.8, 38731.3, 38865.6, 38843.6, 38572.5, 38024, 37220.8, 36226.7, 35128.8, 461190, 373436, 338635, 317538, 1.03353e+06, 1.01161e+06, 745908, 671336, 720145, 584956, 403767, 280447, 314757
774, 38747.9, 42255.8, 42134.8, 42072.1, 42199.3, 42311.4, 42257.6, 41939.1, 41326.5, 40445.6, 39364.9, 38177.7, 452919, 362686, 327148, 305450, 1.03031e+06, 1.00699e+06, 759384, 684827, 735144, 588745, 399860, 275198, 308739
229, 38692.7, 42489, 42519.1, 42529.2, 42698.7, 42844.3, 42825, 42544.6, 41973.4, 41134.5, 40093.6, 38941.2, 440701, 355207, 321205, 300793, 1.07068e+06, 1.04899e+06, 1.0728e+06, 961791, 1.03432e+06, 834261, 571034, 394401, 442438
733, 35918.9, 39573.7, 39574.5, 39558.4, 39714.5, 39863.4, 39863.1, 39620.7, 39106.2, 38340.5, 37385, 36324.3, 441602, 357909, 324674, 304632, 1.05083e+06, 1.0288e+06, 765995, 690433, 740246, 603175, 418305, 291365, 327054
814, 38758.8, 42477.9, 42449.5, 42444.1, 42621.5, 42782.3, 42778.2, 42508.5, 41941.8, 41101.5, 40054.1, 38891.7, 454189, 364855, 329793, 308545, 1.09618e+06, 1.07208e+06, 1.05017e+06, 949139, 1.01695e+06, 817437, 557165, 384607, 431540
1112, 36062.4, 39454.7, 39319, 39235, 39350.4, 39469.2, 39442.7, 39175.2, 38636.2, 37847.6, 36872.3, 35796.1, 459211, 372616, 338597, 318027, 1.12111e+06, 1.0974e+06, 641853, 579639, 621285, 505699, 350671, 244286, 274238
