seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,36966.3,40503.1,40418.4,40372.7,40527.1,40689,40713.9,40504.1,40027.6,39302.8,38388.4,37366.5,438022,355419,322395,302612,1.06533e+06,1.04407e+06,1.13906e+06,1.02227e+06,1.09624e+06,896694,622971,433919,487011
1050,38373.2,41840.2,41780.5,41769.7,41926.9,42052.4,42000.8,41675.9,41050.4,40152.2,39052,37845.6,494847,398862,361703,339128,977808,955381,804494,732439,782612,628175,427903,295882,332035
456,37693.8,41634,41728.1,41764.2,41950.7,42108,42094.6,41812.2,41231.5,40377.3,39317.4,38144.7,440287,354978,322025,302268,1.17019e+06,1.1452e+06,857792,777535,833647,672803,462932,321391,360749
841,38667.4,42204.7,42102.4,42051,42186.9,42308.5,42267,41965.2,41373.6,40517.4,39463.6,38303.8,459423,368931,333546,312016,1.14978e+06,1.12402e+06,962578,873275,936074,747915,507770,350029,392710
838,38137.7,41656.3,41606.3,41587.4,41735.9,41858.6,41813.8,41505.1,40904.3,40036.8,38969.8,37795.2,460099,368593,332200,310034,1.07625e+06,1.05244e+06,838302,752685,809437,649134,441327,303734,340706
757,38011.9,41465.5,41360.5,41319.7,41466.9,41596.4,41557.5,41250.2,40644.2,39764.9,38681.2,37487.4,423857,340556,307641,287786,1.13642e+06,1.11228e+06,904240,808342,870092,704099,483635,334564,375457
78,37533.1,40760,40717.2,40707.6,40833.3,40916.6,40829.1,40483.5,39855.8,38973.1,37902.2,36733.1,420265,336564,303587,283745,1.10116e+06,1.07862e+06,1.27603e+06,1.1382e+06,1.22667e+06,982493,665824,456806,512251
262,36869.2,40760.9,40833.3,40864,41065.4,41259.8,41304.3,41103.9,40626.7,39891.8,38958.9,37912,441730,358410,325813,306491,1.07673e+06,1.05489e+06,1.00716e+06,909053,972624,798091,557485,390014,437901
1124,38385.2,42540.8,42721.2,42799.1,43007.7,43173.7,43156.8,42857.8,42247.5,41352.5,40243.8,39018.6,448217,362914,330441,311072,1.06673e+06,1.0443e+06,850240,769575,823294,672310,467528,326396,366452
378,38388.9,42164.4,42092.6,42041.1,42194,42351.9,42360.6,42118.8,41593.5,40805.9,39819.5,38722.6,431928,350686,318861,299818,1.11685e+06,1.0938e+06,972768,878014,940174,769904,537130,375520,421623
