seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
595, 37394.3, 41128.4, 41132.6, 41125.8, 41287.8, 41435.2, 41417.5, 41147, 40593.9, 39780.6, 38771.2, 37653.2, 443575, 357672, 323628, 303162, 1.06915e+06, 1.04645e+06, 794706, 715620, 768473, 623346, 430441, 299098, 335710
867, 36530.3, 39707.6, 39591.6, 39534.4, 39636.2, 39710.5, 39614.5, 39267.3, 38643.7, 37769.8, 36711.3, 35556.6, 444372, 354821, 320073, 298925, 1.11473e+06, 1.08912e+06, 896487, 813770, 874188, 690168, 463221, 317513, 356165
761, 38437.7, 42081.4, 42009.4, 41958, 42084.5, 42195.5, 42136.8, 41819.2, 41213.8, 40345, 39280, 38109.3, 444424, 356998, 322618, 301763, 1.09453e+06, 1.07043e+06, 840644, 757262, 813015, 654058, 446646, 308339, 345950
829, 39496, 43146.5, 43001.6, 42921.8, 43053.3, 43184.5, 43149.8, 42853.5, 42263.2, 41402.9, 40340.1, 39167.4, 420995, 339770, 307548, 287967, 1.06531e+06, 1.04247e+06, 748133, 672316, 721702, 586549, 405119, 281316, 315740
377, 39322.9, 43896.8, 44199.5, 44328, 44571.5, 44769.4, 44771.8, 44488.1, 43887.8, 42996.9, 41886.9, 40655.2, 432797, 351723, 321451, 303835, 1.22757e+06, 1.2028e+06, 875151, 796838, 852458, 700550, 494501, 348835, 391984
185, 38250, 41438, 41299.4, 41239.8, 41347.3, 41430.2, 41343.1, 41003, 40383.5, 39509.9, 38447.8, 37285.8, 426198, 340867, 306630, 285917, 1.06874e+06, 1.0467e+06, 1.02237e+06, 913045, 986266, 784615, 529589, 362678, 406658
41, 37178.6, 40225.7, 40071.7, 40009.6, 40117.5, 40208.1, 40140.5, 39834.4, 39263.6, 38450.9, 37458.4, 36369.7, 447602, 361089, 326484, 305681, 929990, 911370, 1.43907e+06, 1.27667e+06, 1.37025e+06, 1.11436e+06, 761529, 524357, 587997
198, 35338.1, 38570, 38525, 38505.1, 38635, 38744.4, 38698.5, 38419.3, 37880.8, 37104.6, 36150.2, 35098.5, 425559, 342448, 309144, 289071, 1.03965e+06, 1.01837e+06, 955099, 856494, 922840, 738765, 502394, 345807, 387848
989, 36648, 40261.9, 40198.3, 40145.4, 40278.7, 40412, 40393.6, 40135.2, 39606.8, 38830, 37866.8, 36802.1, 474538, 385714, 350364, 328933, 1.0087e+06, 987084, 844738, 762033, 815211, 667757, 464897, 324646, 364449
172, 34774.2, 37893.6, 37910.8, 37921.9, 38040.9, 38117.2, 38032.7, 37720, 37158.9, 36373.2, 35421.3, 34381.4, 471421, 376167, 339181, 317091, 1.15315e+06, 1.1273e+06, 1.15885e+06, 1.0467e+06, 1.12364e+06, 891660, 599369, 410788, 460721
