seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
608,37082.7,40780.2,40793.1,40778,40915,41027.2,40968.5,40654.3,40057.3,39202.4,38155.8,37006.2,433245,347396,313803,293548,1.17864e+06,1.15267e+06,563787,510168,549023,439164,300048,207436,232786
500,36817.5,40408.6,40364,40333.9,40481.3,40619.6,40599.2,40333.3,39792.4,38998.2,38013.3,36923.1,486354,392765,356093,333987,1.07571e+06,1.05238e+06,868026,784833,839703,680299,467667,324153,363780
130,32744.9,35626.4,35605,35607.8,35730.9,35822.3,35763.2,35485.3,34967,34229.8,33329.6,32341.3,420722,336660,303828,284457,992564,971735,1.02545e+06,918228,988834,793204,539694,371535,416770
991,37010.2,40395.2,40210.5,40109.8,40226.6,40356.7,40341.5,40090.1,39570.5,38803,37848.3,36790.4,441268,356889,322836,302123,1.12145e+06,1.09791e+06,872404,781798,839363,684805,474432,329833,370201
1017,36956.5,40383.2,40270.3,40220.2,40365.9,40508.6,40492.9,40229.3,39687.1,38888.5,37897.3,36800.7,466499,378363,343164,321734,996932,975481,863376,779451,834433,679714,470477,327502,367614
996,37217.7,40752.9,40735,40721.6,40861.1,40971.5,40906.5,40581.6,39970.5,39099.3,38035.6,36870,466118,375731,340399,319081,975498,954114,813745,733340,786127,637531,439051,304705,341997
417,37157.6,40858.2,40803.8,40770.5,40934.9,41101.9,41113.8,40878.9,40364.5,39590.9,38620.2,37538.5,438738,355258,322405,302602,1.10306e+06,1.0796e+06,852775,771355,825638,672704,466533,325207,365089
559,38528,42095.4,41951.6,41868.7,41991.6,42116.5,42084.2,41803.1,41242.3,40423.8,39411.5,38293.2,461196,371153,335161,313184,1.13312e+06,1.10832e+06,881121,794600,852618,684863,466666,321770,360956
675,34936,39585.9,40120.1,40352.5,40640.1,40878.3,40947.5,40770,40316.9,39606.7,38697.3,37670.7,346846,284066,259875,245843,1.21191e+06,1.19095e+06,788949,708595,759213,634560,454209,320933,360631
717,37790.9,41240.6,41101.8,41013.1,41111.9,41202.1,41129.3,40804.9,40199.9,39338.4,38286.3,37133.2,434065,349170,315150,294152,1.01275e+06,990191,963752,864598,928093,746163,507062,348619,390993
