seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 1.75067, 1.75798, 1.36549, 1.15785, 1.28279, 1.34336, 0.367053, 0.408216, 0.404343, 0.392696, 0.382886, 0.372176, 4.33084, 3.58574, 3.40279, 3.38369, 5.98502, 7.27495, 63.7525, 22.7584, 14.7485, 143.04, 334.774, 197.502, 2673.05
1082, 2.95818, 1.79086, 1.31428, 1.20852, 1.22098, 1.19779, 0.366887, 0.409662, 0.404689, 0.391991, 0.38154, 0.370243, 4.27905, 3.64476, 3.51319, 3.53011, 82.4113, 39.5059, 9.18274, 70.3344, 78.2521, 117.509, 139.51, 407.921, 3637.21
168, 2.46053, 2.21156, 1.28827, 1.24228, 1.31858, 1.19505, 0.364195, 0.406847, 0.400726, 0.389725, 0.379205, 0.3676, 4.3181, 3.55779, 3.36488, 3.33739, 11.5232, 6.94363, 74.5175, 7.89611, 22.0751, 333.235, 330.632, 391.476, 2232.35
143, 2.30048, 2.26918, 1.38483, 1.2682, 1.2835, 1.31799, 0.366518, 0.409622, 0.401232, 0.390277, 0.379496, 0.367782, 4.3279, 3.56798, 3.38109, 3.36178, 9.54953, 21.6027, 17.5296, 11.9598, 2.77264, 376.688, 173.981, 266.933, 2617.89
182, 1.86028, 1.58146, 1.26722, 1.19221, 1.26268, 1.33005, 0.367494, 0.407532, 0.402857, 0.391454, 0.381087, 0.369675, 4.31675, 3.63554, 3.46055, 3.44595, 14.4699, 27.6182, 18.5122, 12.6138, 25.6077, 430.973, 105.66, 382.869, 2809.44
482, 1.7453, 1.43722, 1.31359, 1.3018, 1.13234, 1.21079, 0.369807, 0.408971, 0.406357, 0.393112, 0.383064, 0.371802, 4.31094, 3.64435, 3.49803, 3.50338, 2.45813, 5.43081, 32.869, 27.479, 14.9817, 126.968, 150.58, 596.151, 5924.26
87, 2.00165, 2.55327, 1.42997, 1.32457, 1.36778, 1.31118, 0.368319, 0.409402, 0.403014, 0.391628, 0.38129, 0.369932, 4.30862, 3.63033, 3.46338, 3.46028, 46.2982, 19.9492, 31.2717, 39.3141, 7.33029, 92.8954, 173.848, 273.306, 783.242
766, 1.71961, 2.16043, 1.3367, 1.21123, 1.20335, 1.19444, 0.368632, 0.41238, 0.404614, 0.391805, 0.381373, 0.369814, 4.27082, 3.59905, 3.44218, 3.43961, 120.258, 10.0107, 20.7343, 33.68, 20.6392, 206.021, 450.586, 170.378, 3442.53
774, 1.9165, 1.81907, 1.39196, 1.20947, 1.31332, 1.20282, 0.366915, 0.408284, 0.403319, 0.390832, 0.380449, 0.368939, 4.26819, 3.52154, 3.33692, 3.31166, 9.65776, 6.51291, 30.4086, 10.5495, 43.7838, 302.32, 234.296, 189.411, 3834.73
229, 2.26917, 1.87761, 1.3357, 1.15993, 1.15541, 1.19202, 0.36456, 0.407505, 0.402669, 0.392264, 0.382398, 0.371328, 4.33108, 3.63678, 3.46896, 3.46347, 8.27343, 6.94501, 11.4527, 20.6037, 5.8068, 132.159, 165.184, 206.589, 2630.9
733, 1.59706, 2.20647, 1.29783, 1.258, 1.24549, 1.34963, 0.365859, 0.411501, 0.405237, 0.393333, 0.383549, 0.37269, 4.30302, 3.63804, 3.48312, 3.48091, 128.601, 5.39116, 11.0502, 4.12262, 56.8997, 287.857, 437.548, 140.434, 2624.44
814, 2.47207, 2.58583, 1.29249, 1.33757, 1.2848, 1.23127, 0.366842, 0.410105, 0.404616, 0.392672, 0.38271, 0.37156, 4.29345, 3.61852, 3.45719, 3.44967, 12.8698, 21.3624, 5.74996, 7.8839, 4.53077, 144.853, 505.156, 282.438, 2358.12
1112, 2.34054, 2.42844, 1.40877, 1.2721, 1.22453, 1.23574, 0.366876, 0.410441, 0.405017, 0.392824, 0.3826, 0.371581, 4.28599, 3.71474, 3.58309, 3.59769, 100.18, 11.189, 13.1133, 9.31206, 21.8261, 204.286, 464.189, 108.615, 4402.73
547, 1.80778, 1.89611, 1.525, 1.29161, 1.26719, 1.2224, 0.365545, 0.406229, 0.401678, 0.389557, 0.378949, 0.367171, 4.25948, 3.54258, 3.37817, 3.37098, 93.0849, 21.8945, 25.702, 91.2056, 67.7422, 175.107, 527.093, 453.932, 2248
845, 2.21335, 1.42529, 1.22056, 1.19386, 1.17645, 1.28764, 0.365081, 0.40871, 0.403068, 0.39111, 0.381412, 0.370367, 4.31253, 3.54843, 3.35595, 3.32515, 6.95687, 25.5906, 3.97099, 19.737, 24.269, 190.886, 631.212, 219.795, 3282.01
249, 2.26018, 2.34997, 1.74047, 1.2156, 1.17275, 1.30497, 0.366276, 0.41092, 0.405128, 0.393189, 0.383272, 0.372335, 4.33731, 3.60107, 3.43136, 3.42462, 51.4299, 3.50707, 13.9991, 23.3571, 17.3109, 296.328, 170.224, 327.308, 1698.46
711, 2.73477, 1.93521, 1.28893, 1.17669, 1.19918, 1.21716, 0.366609, 0.410379, 0.405129, 0.393305, 0.383364, 0.372433, 4.29909, 3.61269, 3.44813, 3.43834, 47.8751, 8.8601, 7.83407, 34.647, 2.7734, 503.216, 299.025, 349.366, 4823.9
455, 3.15955, 1.86333, 1.69001, 1.23959, 1.31433, 1.28211, 0.36795, 0.409698, 0.407309, 0.393489, 0.38342, 0.372374, 4.28771, 3.61511, 3.46069, 3.45798, 9.14667, 20.9684, 10.327, 8.10813, 6.99101, 524.023, 356.947, 226.247, 2966.82
379, 1.78366, 2.09091, 1.45562, 1.21873, 1.2557, 1.30379, 0.367693, 0.410095, 0.405839, 0.394376, 0.384598, 0.373734, 4.30447, 3.68758, 3.54006, 3.54101, 16.6128, 25.4723, 5.63145, 84.2595, 92.393, 161.031, 325.685, 238.888, 4598.99
116, 1.96829, 1.98269, 1.26996, 1.23782, 1.1721, 1.19334, 0.368429, 0.409214, 0.405053, 0.392803, 0.382668, 0.371469, 4.31822, 3.62498, 3.46024, 3.45757, 36.2759, 3.08266, 13.5133, 143.128, 3.95296, 174.562, 56.5149, 160.038, 2196.12
309, 1.58453, 2.57692, 1.36491, 1.28303, 1.13147, 1.31024, 0.368679, 0.409961, 0.407872, 0.395732, 0.386705, 0.376568, 4.34789, 3.69943, 3.54795, 3.55538, 56.2289, 20.9695, 13.7201, 47.5045, 18.1876, 614.796, 241.68, 288.035, 2863.56
412, 2.01338, 1.87753, 1.51893, 1.14466, 1.22502, 1.38247, 0.367276, 0.411222, 0.405128, 0.392783, 0.382278, 0.370704, 4.29053, 3.66015, 3.52537, 3.54304, 37.9933, 37.8425, 17.4694, 10.6394, 12.0109, 646.911, 373.822, 333.355, 3914.97
1147, 2.25191, 1.97687, 1.24856, 1.26969, 1.20895, 1.2352, 0.366664, 0.406604, 0.402119, 0.390985, 0.380746, 0.369433, 4.28315, 3.63284, 3.48832, 3.4945, 50.9654, 5.24291, 8.85057, 25.0821, 81.2281, 272.48, 495.572, 482.433, 3419.66
878, 2.3315, 1.60913, 1.22158, 1.20036, 1.27826, 1.24782, 0.369888, 0.408849, 0.403224, 0.391677, 0.381115, 0.369532, 4.29831, 3.62075, 3.45948, 3.45162, 57.4163, 2.04967, 21.4896, 0.731269, 17.5587, 346.837, 178.441, 259.542, 3694.86
905, 2.46318, 1.46059, 1.35516, 1.29485, 1.2589, 1.17989, 0.370449, 0.410345, 0.40289, 0.393423, 0.383288, 0.372141, 4.30532, 3.61747, 3.45284, 3.44353, 13.0523, 19.679, 6.78429, 68.5509, 20.0987, 256.604, 214.612, 178.988, 2888.6
838, 2.01334, 1.84514, 1.33549, 1.27561, 1.28038, 1.29932, 0.366237, 0.41121, 0.405052, 0.391121, 0.380762, 0.369275, 4.27438, 3.51853, 3.33188, 3.30342, 29.7273, 9.49193, 7.21303, 8.95331, 4.13516, 357.12, 434.689, 538.816, 3790.09
964, 2.1226, 2.43722, 1.33359, 1.28404, 1.24524, 1.20666, 0.365095, 0.409668, 0.402171, 0.391574, 0.381569, 0.370459, 4.27452, 3.67226, 3.54687, 3.56854, 3.36941, 19.5406, 6.62444, 29.5037, 43.2425, 203.282, 452.325, 661.421, 3438.7
596, 1.83599, 1.68038, 1.41184, 1.30603, 1.27603, 1.17209, 0.367279, 0.413833, 0.402578, 0.392376, 0.382001, 0.370779, 4.29954, 3.61415, 3.44667, 3.43448, 119.834, 1.28543, 15.3544, 9.86075, 4.65496, 356.003, 65.2276, 539.552, 5139.49
995, 2.12721, 2.65478, 1.50981, 1.24971, 1.21452, 1.32899, 0.367843, 0.409485, 0.401613, 0.391439, 0.381321, 0.370072, 4.29146, 3.65533, 3.50559, 3.50493, 72.5778, 10.5904, 40.061, 32.2286, 27.5969, 477.976, 600.155, 223.638, 2960.94
503, 2.27156, 2.04565, 1.25919, 1.29902, 1.22745, 1.1652, 0.368121, 0.412612, 0.405141, 0.393121, 0.382928, 0.371521, 4.27842, 3.5519, 3.37503, 3.35542, 8.47545, 15.0244, 5.12488, 5.82563, 30.4368, 382.015, 53.1798, 419.782, 3414.69
662, 2.11976, 1.53442, 1.33274, 1.13172, 1.20495, 1.24105, 0.365741, 0.40658, 0.401629, 0.390547, 0.38079, 0.369895, 4.30359, 3.61426, 3.44052, 3.42055, 9.01545, 26.2187, 24.55, 23.4953, 9.73394, 399.165, 271.022, 446.927, 1330.83
1126, 1.82066, 2.05835, 1.36264, 1.38291, 1.27143, 1.25501, 0.367124, 0.41045, 0.404473, 0.393072, 0.382796, 0.371232, 4.27019, 3.56649, 3.4182, 3.42355, 35.676, 23.5091, 25.3583, 81.0345, 71.1242, 446.477, 652.677, 444.16, 3038.11
737, 2.19589, 1.81682, 1.35524, 1.20292, 1.2938, 1.37877, 0.36634, 0.409569, 0.407627, 0.392677, 0.382744, 0.371778, 4.3068, 3.67489, 3.52798, 3.53295, 2.99166, 2.04589, 9.3696, 5.22537, 6.77911, 758.901, 660.687, 584.566, 1372.21
963, 2.42884, 2.07664, 1.28195, 1.1957, 1.20254, 1.14278, 0.367556, 0.409537, 0.403712, 0.391973, 0.382081, 0.371289, 4.29086, 3.65689, 3.51848, 3.52725, 10.5453, 2.36103, 66.1826, 28.4381, 93.6181, 236.818, 429.498, 617.175, 1109.33
598, 2.02747, 1.96488, 1.28693, 1.1824, 1.33857, 1.34445, 0.366007, 0.409651, 0.402436, 0.39143, 0.380879, 0.369246, 4.27851, 3.62506, 3.46139, 3.45146, 30.1655, 13.6927, 14.3663, 17.0811, 9.92686, 104.916, 50.0137, 576.625, 2388.91
1041, 2.13954, 2.33892, 1.32452, 1.31167, 1.24687, 1.22376, 0.369008, 0.410674, 0.406864, 0.392013, 0.381692, 0.370469, 4.26045, 3.64512, 3.48853, 3.48318, 371.046, 12.0168, 15.5089, 43.9273, 30.8164, 196.584, 308.307, 696.269, 3136.79
285, 2.83916, 2.71374, 1.29382, 1.2831, 1.20146, 1.22373, 0.367619, 0.409032, 0.404083, 0.392262, 0.381987, 0.370779, 4.30784, 3.62456, 3.4591, 3.45346, 328.78, 46.02, 17.2727, 10.0525, 21.6625, 678.135, 298.428, 598.048, 4217.08
884, 1.68966, 2.15174, 1.647, 1.37803, 1.16559, 1.27086, 0.368842, 0.407773, 0.403631, 0.391964, 0.381404, 0.369725, 4.27317, 3.51755, 3.33692, 3.31421, 8.65322, 12.5422, 6.10289, 37.8272, 4.98239, 688.595, 228.072, 188.567, 4527.53
805, 2.18736, 1.85094, 1.26228, 1.18624, 1.22236, 1.32011, 0.364996, 0.406806, 0.402835, 0.390898, 0.38101, 0.37012, 4.29504, 3.58334, 3.4004, 3.37339, 45.5939, 6.56222, 39.5358, 41.3431, 13.9989, 576.801, 112.498, 272.846, 3541.56
693, 1.83595, 1.93767, 1.26925, 1.29746, 1.37063, 1.32308, 0.36949, 0.409166, 0.404287, 0.393257, 0.383282, 0.37226, 4.29575, 3.63943, 3.46832, 3.44677, 10.0871, 25.0331, 20.7558, 14.0896, 37.9594, 125.103, 266.639, 276.888, 4666.95
613, 1.5952, 1.69348, 1.53922, 1.22415, 1.15833, 1.22765, 0.367162, 0.410472, 0.40446, 0.391807, 0.381331, 0.36981, 4.27786, 3.52371, 3.33833, 3.31418, 2.04566, 12.1399, 8.19082, 7.87806, 27.171, 174.294, 484.194, 173.318, 1484.06
648, 2.25916, 2.21744, 1.23096, 1.23512, 1.18288, 1.28432, 0.365685, 0.410307, 0.404245, 0.393298, 0.383664, 0.372978, 4.29967, 3.61274, 3.44407, 3.42804, 15.9536, 8.733, 1.70304, 6.25458, 12.9158, 620.619, 224.753, 136.775, 2133.79
