seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,5429.05,5345.49,5310.87,5292.31,5289.25,5301.4,606.302,564.516,612.625,638.85,659.806,609.418,7648.84,6551.01,5822.89,5814.44,88203,67318.8,74255.6,88134.7,111883,213477,209743,308100,389714
1050,5445.15,5356.13,5324.85,5324.65,5313.2,5303.44,585.161,547.554,629.743,562.852,657.358,511.875,7079.14,6349.99,5472.57,6077.73,63846.9,71617.9,76956.9,110566,109488,210605,202633,289023,359059
456,5342,5319.76,5309.33,5300.07,5307.43,5292.38,530.847,627.861,594.319,621.392,615.807,652.08,6400.71,5696.56,5703.36,5337.42,61199.9,45917.5,101953,125791,68613.8,211379,209897,289936,375553
841,5461.49,5358.21,5337.56,5313.36,5307.15,5306.26,620.863,629.859,633.581,557.573,673.652,530.374,7232.52,5854.97,5285.27,5321.59,81667.3,65991.8,117595,94918.9,108279,158968,191327,238498,373180
838,5435.89,5340.47,5316.25,5310.9,5292.99,5286.64,565.473,581.872,670.307,578.323,659.427,543.14,7384.37,6514.31,5061.01,5143.38,26777.3,91643,60660,103257,96256.6,179195,194751,234192,414550
757,5457.74,5365.23,5303.25,5303.53,5295.78,5283.14,599.747,597.565,631.626,629.11,642.66,588.645,6886.95,5335.3,5243.8,5636.52,76820.6,49863.6,106616,57611.8,80242.8,197265,197432,272478,360767
78,5484.36,5363.07,5337.7,5331.32,5304.61,5300.11,567.026,615.842,592.727,583.204,599.464,599.711,6525.15,5814.75,5039.25,5959.37,95363.1,73539.8,103119,91585.8,110720,211802,201015,275498,322787
262,5343.08,5317.07,5308.21,5283.52,5289.36,5297.14,591.049,580.154,621.388,610.172,659.57,600.069,6584.36,5955.98,5373.24,4995.64,79500.1,73251.9,125441,116545,78467.9,237064,212896,318434,345367
1124,5319.14,5310.87,5301.11,5313.25,5293.75,5301.4,549.334,618.612,612.297,642.617,662.178,609.326,7241.96,5772.38,5294.63,5695.17,67594,83635.9,81046.2,111968,91204.5,158431,214461,246156,402761
378,5396.76,5361.57,5316.74,5295.48,5287.06,5302.55,584.324,605.997,654.187,586.813,569.461,619.725,7166.81,6364.62,5192.23,5576.15,92910.6,93661.1,108858,114890,100081,214422,217005,327331,435497
