seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 1896.25, 4309.99, 3230.71, 2327.37, 2039.06, 1721.67, 1440.52, 1212.34, 930.323, 696.079, 626.873, 455.881, 2037.83, 2406.74, 2274.42, 1821.34, 150.331, 105.689, 227.079, 435.807, 204.529, 1769.97, 2131.19, 5119.7, 21197.7
1082, 1795.9, 4312.22, 3270.2, 2501.12, 1992.07, 1744.48, 1271.77, 1214.42, 808.197, 720.205, 558.333, 489.607, 2342.1, 1915.04, 2020.81, 2379.81, 118.825, 140.9, 225.062, 404.018, 193.647, 2059.25, 2383.33, 5365.58, 28449.1
168, 1917.94, 4329.38, 3222.94, 2367.4, 2096.59, 1621.6, 1292.9, 1082.77, 929.653, 768.685, 582.122, 531.818, 2863.72, 2352.94, 2075.22, 1536.26, 117.951, 128.853, 243.592, 342.801, 233.29, 1781.93, 2204.17, 4511.26, 16334.4
143, 1845.31, 4352.79, 3262.74, 2348.92, 2053.65, 1701.48, 1389.33, 1089.74, 961.485, 820.813, 603.628, 536.029, 2436.34, 2092.05, 2241.36, 1904.78, 137.791, 122.198, 155.457, 361.957, 243.204, 2158.69, 2053.54, 4712.57, 18487.7
182, 1872.82, 4403.38, 3257.67, 2364.54, 2051.76, 1596.61, 1366.36, 1183.2, 1041.85, 760.379, 595.222, 479.685, 2458.08, 2226.49, 2204.23, 1728.79, 158.974, 122.353, 204.2, 313.164, 195.527, 1723.58, 2495.97, 4742.52, 14403
482, 1867.35, 4231.69, 3340.79, 2356.33, 1996.21, 1620.65, 1417.82, 1110.53, 923.424, 821.773, 602.296, 552.761, 2470.35, 2005.8, 2005.22, 2510.31, 145.794, 123.112, 224.301, 359.868, 207.077, 2125.87, 2315.11, 5037.82, 20783.4
87, 1839.91, 4386.69, 3167.03, 2434.28, 2105, 1714.39, 1364.08, 1104.6, 902.801, 795.969, 578.647, 535.002, 2651.05, 2098.75, 2151.89, 2149.08, 161.374, 145.681, 154.159, 300.745, 190.704, 2241.2, 2224.31, 3725.39, 23728.1
766, 1814.22, 4202.38, 3145.2, 2287.78, 1945.95, 1697.55, 1390.88, 1201.76, 972.873, 751.171, 708.973, 507.998, 2615.24, 2149.05, 2016.6, 2276.89, 158.977, 161.7, 227.98, 448.721, 188.905, 2431.34, 2097.06, 5960.8, 23786.1
774, 1950.58, 4316.57, 3276.12, 2409.4, 1954.81, 1716.72, 1363.42, 1137.19, 974.986, 801.943, 585.803, 461.495, 2318.05, 1914.23, 2102.71, 1834.49, 110.38, 140.358, 180.222, 302.16, 156.319, 2090.05, 2313.66, 4320.84, 17650.2
229, 1837.29, 4346.24, 3181.47, 2309.69, 1964.86, 1713.17, 1421.41, 1108.96, 907.488, 902.302, 599.602, 521.168, 2714.88, 2427.12, 2381.09, 1785.44, 164.701, 191.859, 260.688, 455.294, 220.717, 1758.82, 1913.47, 5869.14, 19806
733, 1879.08, 4203.81, 3252.9, 2282.96, 2060.75, 1750.89, 1307.47, 1166.67, 937.325, 773.293, 651.547, 637.833, 2678.24, 1990.78, 2160, 2414.31, 153.994, 118.097, 168.054, 306.911, 205.543, 2145.64, 2560.23, 4958.24, 24552
814, 1850.39, 4144.44, 3261.94, 2398.19, 2049.43, 1657.6, 1394.98, 1136.26, 952.199, 814.675, 539.605, 524.853, 2652.01, 2322.44, 1910.13, 1910.62, 145.055, 141.915, 193.93, 497.967, 191.956, 2163.12, 2218.86, 5932.35, 24125
