seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,1884.17,4119.37,3303.44,2447.53,1970.81,1739.49,1364.55,1257.49,954.428,808.588,614.684,486.642,1955.43,2634.54,2119.04,2111.22,142.858,98.4877,223.118,325.355,266.2,2427.62,2561.62,5881.45,18875.3
1050,1828.23,4374.1,3323.36,2422.82,2057.95,1731.72,1407.48,1113.3,1004.1,789.356,596.136,470.965,2151.46,2247.86,2277.08,2318.57,109.694,129.995,182.724,361.877,212.755,1642.56,2489.31,5433.7,22340.8
456,1843.85,4383.81,3298.39,2287.64,1996.22,1780.25,1352.87,1169.03,936.756,814.977,607.039,523.181,2434.49,2339.21,2024.57,1989.61,111.022,120.896,262.877,383.829,199.347,2410.45,1946.07,5051.28,22738.8
841,1881.81,4317.61,3409.91,2419.84,2018.83,1757.76,1394.68,1114.76,925.248,791.093,696.314,571.657,2641.8,2618.81,1921.65,1783.51,128.697,113.523,224.898,406.902,177.573,2260.67,1829.41,4570.78,22292.9
838,1948.7,4316.63,3328.33,2448.7,2060.71,1730.5,1236.99,1076.77,977.469,747.575,577.15,569.072,2986.19,2280.15,2399.09,2240.27,164.567,126.524,245.241,327.363,175.717,2328.44,2461.73,4120.66,18474
757,1903.86,4358.41,3324.6,2376.88,1929.68,1773,1505.56,1163.96,907.623,828.527,553.179,517.688,2820.15,2638.29,2663.11,1833.03,135.679,129.904,259.225,364.877,218.321,1740.34,2471.59,5941.77,24437.9
78,1957.29,4406.6,3242.91,2457.25,2084.12,1672.22,1379.31,1133.21,984.471,743.091,586.724,510.788,2510.81,1949.97,1998.09,1896.6,122.797,109.594,250.737,384.121,168.902,2280.88,2176.96,4041.69,19391.4
262,1806,4377.46,3228.1,2252.37,1968.85,1664.06,1396.37,1058.28,913.799,750.119,553.694,520.308,2323.81,2557.01,2399,2178.93,113.744,161.335,196.225,402.788,244.714,2343.58,2224.5,5241.29,23175.3
1124,1860.65,4173.64,3209.18,2422.84,2205.27,1723.18,1436.33,1136.01,970.725,773.835,625.804,555.67,2107.6,1847.27,2077.14,1791.38,146.202,160.046,228.362,473.208,188.827,2262.47,2323.77,4243.6,23089.5
378,1912.01,4228.6,3351.43,2287.9,2280.09,1775.62,1476.41,1125.52,931.389,712.396,668.797,519.384,3316.56,2387.19,2234.25,2479.49,129.725,138.447,219.403,367.27,188.98,2490.2,2291.4,5621.65,25192.4
