seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 41118.7, 44316.9, 43649.3, 43101.4, 42756.7, 42293.2, 41437.5, 39994.2, 37890.4, 35175.7, 32006.8, 28607.4, 153250, 33790.8, 8357.37, 2002.91, 728.982, 37.2769, 2.24824, 0.0864108, 0.00337022, 0.000123682, 9.20766e-06, 1.43804e-06, 1.96553e-07
1082, 40305.8, 44008.6, 43595.6, 43169.2, 42894.4, 42477.4, 41654.4, 40232.9, 38141.3, 35429.5, 32254.3, 28839.4, 152637, 34166.9, 8535.44, 2075, 752.776, 39.5772, 2.47044, 0.0972662, 0.00380747, 0.000139021, 1.04151e-05, 1.693e-06, 2.34965e-07
168, 41847.2, 44550.3, 43815.4, 43271.6, 42912.6, 42413.4, 41508.1, 40009.7, 37851.1, 35086.3, 31875.2, 28443.4, 153961, 33356.1, 8006.06, 1820.83, 594.475, 25.5509, 1.24603, 0.0410918, 0.00148398, 6.84793e-05, 1.22571e-05, 2.37914e-06, 3.26646e-07
143, 41325.1, 44519.3, 43904.3, 43375.5, 43015.7, 42517.2, 41615.7, 40122.7, 37968.9, 35206.1, 31992.3, 28552.2, 154071, 33269.6, 7938.22, 1796.05, 581.951, 24.7086, 1.18487, 0.0386062, 0.00136914, 5.97141e-05, 9.96485e-06, 1.93951e-06, 2.68427e-07
182, 41542.3, 44556.3, 43839.7, 43270.9, 42902.5, 42409.3, 41519.7, 40039.5, 37898.5, 35149.1, 31950.3, 28527.3, 152893, 34070.8, 8377.23, 1973.17, 674.076, 31.9792, 1.78356, 0.0649758, 0.00245394, 9.17025e-05, 8.70132e-06, 1.53251e-06, 2.12896e-07
482, 39837.1, 43829.9, 43524.7, 43135.4, 42881.7, 42482.8, 41676.4, 40268.6, 38186.2, 35477.9, 32300.4, 28878.4, 153163, 33888.5, 8342.31, 1985.5, 701.281, 35.1107, 2.07019, 0.0781437, 0.00298292, 0.000109441, 9.039e-06, 1.50017e-06, 2.06106e-07
87, 40965.2, 44166.2, 43650.4, 43196.9, 42883.6, 42413.7, 41531.3, 40052.8, 37912.1, 35163.3, 31965.3, 28542.7, 153758, 34050.2, 8267.68, 1903.56, 619.692, 27.1939, 1.36857, 0.045909, 0.00164859, 6.52803e-05, 8.61613e-06, 1.65382e-06, 2.3075e-07
766, 40592.1, 44196.2, 43690.7, 43221.9, 42936.1, 42521.8, 41705.3, 40287.3, 38192.7, 35470.2, 32277.7, 28841.6, 152207, 33861.2, 8404.81, 2025.53, 731.461, 37.8231, 2.31423, 0.0894234, 0.0034679, 0.000124624, 8.45352e-06, 1.29167e-06, 1.77897e-07
774, 41226.1, 44441.7, 43777.5, 43232.8, 42888.1, 42418.5, 41548.9, 40086, 37959.8, 35222.7, 32034, 28618, 152977, 33407, 8191.64, 1942.14, 692.578, 34.5693, 2.03561, 0.0771048, 0.0029713, 0.000111863, 1.0127e-05, 1.72166e-06, 2.36912e-07
229, 40602.8, 44049.4, 43532.3, 43060, 42758.6, 42325.3, 41494.5, 40072.1, 37985, 35281.1, 32115.9, 28712.7, 154125, 34238, 8422.1, 1990.09, 690.491, 33.2929, 1.8773, 0.0687164, 0.00259904, 9.72089e-05, 9.13636e-06, 1.60377e-06, 2.22767e-07
733, 40559.9, 44149.3, 43598.7, 43092.4, 42783.5, 42358.7, 41541.4, 40131.3, 38052.7, 35353.6, 32190.4, 28787.2, 152458, 34269.9, 8653.71, 2144.13, 815.503, 45.3753, 3.00467, 0.122921, 0.00493197, 0.000177232, 9.98318e-06, 1.30686e-06, 1.75133e-07
814, 40763.1, 44154.3, 43589.4, 43111.8, 42827.9, 42418, 41607.3, 40197.9, 38114.5, 35405.3, 32227, 28805.2, 153648, 34211.2, 8454.97, 2008.84, 698.463, 34.5225, 2.002, 0.0744912, 0.00283236, 0.000105081, 8.96763e-06, 1.48165e-06, 2.03025e-07
1112, 41207.2, 44552.3, 43847.8, 43263.1, 42907.3, 42446.8, 41595.8, 40152.7, 38042.3, 35314.4, 32127.7, 28708, 151006, 34836.7, 8983.77, 2280.11, 876.617, 51.0533, 3.55987, 0.151116, 0.00618539, 0.000221882, 1.06027e-05, 1.13304e-06, 1.45287e-07
