seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 11437.7, 13286.5, 8970.28, 5846.84, 4988.66, 3677.6, 2621.58, 2737.78, 2087.05, 1898.49, 1555.86, 1039.7, 4689.73, 4149.14, 5903.31, 5853.61, 225.104, 152.497, 908.793, 1105.81, 825.802, 5371.48, 6474.55, 15670.7, 64533.7
1082, 10735.4, 13230.6, 9045.95, 5804.29, 4907.1, 3714.69, 2910.89, 2569.12, 1966.9, 1702.93, 1521.72, 1061.78, 4697.65, 4574.54, 5036.13, 6080.01, 178.581, 204.447, 899.784, 1021.91, 780.197, 6234.45, 7222.2, 16375.5, 86355.5
168, 11557.5, 13119.7, 9055.45, 5747.29, 4844.64, 3698.5, 2844.21, 2724.5, 2046.75, 1794.49, 1603.4, 1055.63, 5695.47, 6034.43, 4903.23, 5350.91, 158.434, 162.72, 834.33, 785.471, 884.139, 5361.59, 5592.92, 16390.1, 57197.5
143, 11102.8, 13407.4, 9001.23, 5901.68, 5010.45, 3596.35, 2793.68, 2549.75, 2015.2, 1936.42, 1528.73, 1077.54, 5053.93, 4810.26, 4938.36, 4488.97, 156.264, 195.296, 1006.85, 897.355, 746.979, 5481.99, 4736.05, 16163.3, 52077.2
182, 11298.3, 13496.2, 9000.57, 6041.91, 4935.72, 3637.8, 2988.85, 2805.85, 2142.54, 1888.65, 1522.44, 1109.7, 4435.21, 5940.15, 5303.12, 5308.15, 173.122, 190.715, 859.343, 873.403, 569.699, 7213.65, 6277.99, 15025.8, 65196.6
482, 11263.4, 13262.6, 8792.77, 5834.26, 4963.41, 3579.48, 2929.15, 2617, 2090.73, 1866.15, 1579.67, 1139.39, 4956.79, 4833.24, 5054.52, 6501.08, 217.782, 177.239, 897.12, 911.239, 834.928, 6442.12, 7022.66, 15394.3, 63165.9
87, 11077.8, 13242.9, 9089.39, 5946.86, 4949, 3686, 2824.3, 2644.48, 2076.68, 1813.54, 1570.44, 1085.82, 5480.04, 4519.36, 4586.03, 5805.74, 149.991, 157.645, 793.357, 691.889, 912.062, 4437.42, 6683.19, 14470.6, 55387.2
766, 10905, 13184.2, 9009.8, 5881.64, 4955.54, 3743.26, 2898.48, 2760.84, 2172.53, 1746.61, 1690.4, 1093.23, 5249.16, 5196.81, 5105.06, 5921.36, 240.28, 235.877, 911.88, 1136.49, 761.771, 7368.11, 6361.25, 18213.2, 72286
774, 11668.9, 13219.2, 9054.49, 5957.79, 4884.08, 3815.61, 2875.85, 2645.76, 2146.37, 1822.9, 1550.4, 1022.6, 4651.07, 4676.54, 5401.21, 4857.61, 165.532, 202.3, 721.354, 766.895, 631.313, 6345.3, 7031.8, 13231.7, 53759.4
229, 11032.2, 13195.4, 8870.89, 5792.65, 4982.67, 3651.05, 2845.95, 2735.4, 2224.34, 1810.4, 1579.01, 1149.32, 5932.16, 4634.91, 4795.37, 5813.44, 297.685, 245.96, 1025.45, 1034.97, 844.446, 5927.57, 6315.54, 14846.3, 76330
733, 11260.6, 13303.3, 9021.31, 5940.95, 4950.88, 3570.08, 2918.4, 2697.61, 1973.13, 1822.69, 1607.93, 1083.62, 6102.08, 4885.56, 5963.95, 4120.47, 215.596, 174.095, 748.726, 872.425, 900.965, 6892.64, 7128.05, 14252.8, 69957.7
814, 11123.9, 13455.7, 9048.88, 5833.25, 4962.82, 3640.77, 2887.27, 2677.4, 2162.71, 1853.15, 1477.32, 1098.38, 5318.82, 5567.2, 4785.92, 4914.72, 219.856, 207.523, 776.041, 1262.11, 774.562, 6560.6, 6736.45, 18142.5, 73381.3
1112, 11389.2, 13570.2, 9045.15, 6155.78, 4927.63, 3783.77, 2963.57, 2745.26, 2037.05, 1868.71, 1522.87, 1073.55, 6088.47, 5722.99, 5254.98, 6466.47, 178.511, 218.064, 902.645, 1120.52, 1088.47, 7001.36, 6084.74, 16275.7, 77959.4
547, 11275.6, 13205.9, 9142.44, 5831.55, 4947.77, 3808, 2809.59, 2571.52, 2069.71, 1748.05, 1537.54, 1046.68, 4605.8, 5502.53, 4620.75, 4474.44, 233.091, 198.469, 803.389, 795.878, 883.762, 7123.05, 5669.35, 14289.8, 74571.1
845, 11035.4, 13070.2, 8926.25, 5851.11, 4958.04, 3672.69, 3069.9, 2740.67, 2158.13, 1812.23, 1628.68, 1067.9, 6041.09, 6064.21, 5807.63, 4902.28, 173.877, 164.619, 772.02, 791.597, 774.179, 6700.08, 7251.16, 14587.4, 75032.6
249, 11124.8, 12943.8, 8816.29, 5733.07, 5049.17, 3570.38, 2813.9, 2652.14, 2174.43, 1831.01, 1571.73, 1118.82, 4697.4, 5312.33, 5102.51, 5605.91, 216.288, 214.976, 1001.88, 821.154, 915.969, 5643.42, 6813.99, 16909.5, 72558.1
711, 10782.8, 13416.5, 8891.45, 6007.34, 4799.36, 3635.54, 2871.5, 2655.54, 2102.22, 1803.42, 1585.72, 1068.44, 5867.46, 5750.78, 5102.63, 5206.23, 187.506, 175.676, 737.858, 849.073, 932.09, 7433.39, 7090.71, 16581.6, 71940.1
455, 10842.4, 13184.5, 8939.78, 5943.57, 4980.37, 3687.04, 2906.93, 2580.87, 2075.7, 1837.57, 1565.32, 1002.5, 4671.03, 4750.38, 5248.62, 5344.83, 210.271, 181.36, 739.386, 948.341, 699.977, 6189.62, 6575.74, 19870.5, 70513.7
379, 11396.8, 13254.1, 8911.5, 5840.44, 4998.51, 3477.49, 2895.98, 2639.57, 2157.7, 1699.91, 1550.6, 1065.68, 4573.86, 5258.86, 4353.77, 4721.43, 181.728, 221.082, 862.87, 1035.68, 674.427, 5797.48, 8402.34, 18949.1, 64944.3
116, 11325.6, 13322.1, 9133.38, 5854.26, 4926.65, 3758.68, 2879.64, 2581.32, 2102.18, 1726.49, 1535.67, 1095.43, 5472.15, 5627.93, 5842.19, 5596.64, 230.142, 189.163, 967.024, 911.18, 842.754, 6988.06, 7336.66, 15875.1, 57177.3
309, 11328.8, 13532.6, 9059.4, 6011.63, 4952.62, 3691.46, 2768.71, 2704.18, 2200.93, 1828.42, 1548.87, 1097.89, 5792.96, 4458.5, 5636.52, 5007.94, 217.597, 247.848, 956.197, 1217.93, 910.58, 7754.12, 6767.84, 19662.5, 65004.3
412, 11058.2, 13011.4, 9148.96, 5884.4, 4850.55, 3868.69, 2939, 2702.37, 2104.63, 1874.2, 1599.78, 1088.2, 5648.01, 5388.39, 5706.07, 5676.38, 164.967, 191.873, 800.562, 875.058, 789.776, 7798.97, 7373.7, 18129.7, 64801.3
1147, 11183.8, 13140.9, 8881.53, 5770.69, 5019.21, 3729.9, 2893.95, 2663.5, 2076.63, 1793, 1505.03, 1070.05, 5461.16, 4868.75, 7031.47, 5221.68, 158.514, 183.644, 870.855, 858.046, 703.458, 5212.89, 6563.12, 17470.8, 59639.2
878, 10907.4, 13425.7, 9148.45, 6037.57, 5124.45, 3683.96, 2877.08, 2647.53, 2013.02, 1770.98, 1623.13, 1126.2, 5306.64, 5527.61, 4626.09, 4489.82, 198.343, 197.511, 857.884, 983.663, 821.63, 6739.39, 7596.16, 12237.9, 58873.1
905, 11241.9, 13461.8, 8866.28, 5806.47, 4838.93, 3748.68, 2769.44, 2735.25, 2127.13, 1809.21, 1661.72, 1156.22, 4622.25, 5267.82, 5863.3, 5666.74, 193.844, 175.998, 827.738, 721.57, 953.444, 6583.33, 7227.69, 14136.9, 72587
838, 11556, 13451.5, 8864.44, 5821.09, 4894.84, 3704.75, 2620.52, 2549.11, 2151.62, 1741.61, 1533.45, 1148.66, 5973.16, 5562.42, 6132.33, 5881.52, 249.955, 185.575, 976.329, 818.273, 702.855, 6988.06, 7387.13, 12416.5, 55353.2
964, 11206.8, 13449.1, 8991.01, 5843.35, 4800.01, 3692.85, 2916.69, 2620.15, 2095.35, 1936.78, 1593.08, 1114.76, 5646.72, 5618.94, 5326.6, 5091.89, 207.55, 225.9, 822.308, 851.053, 1021.74, 7220.1, 7208.58, 17410.1, 68024.6
596, 10896.1, 12971.4, 9070.74, 6018.27, 4854.03, 3651.3, 2831.37, 2649.29, 2049.41, 1744.26, 1585.58, 1058.41, 5673.88, 5770.6, 6156.47, 5225.87, 185.2, 190.007, 803.718, 894.426, 802.334, 7279.39, 6202.88, 15342.4, 58171.1
995, 11306.6, 13352, 8925.39, 5756.42, 4854.78, 3655.66, 2982.17, 2617.26, 2034.32, 1870.2, 1544.27, 1070.9, 4880.16, 5219.95, 5366.79, 5547.1, 188.166, 176.334, 1032.62, 1096, 1032.72, 7425.16, 6269.12, 17593.2, 62543.7
503, 11456.7, 13330, 9127.6, 5932.52, 5018.94, 3709.11, 2965.26, 2557.45, 2128.5, 1873.79, 1583.95, 1022.99, 4417.05, 5946.6, 5563.74, 5048.81, 214.283, 186.969, 871.708, 1089.53, 600.224, 7007.22, 6915.19, 14283, 63520.5
662, 11270.7, 13020.1, 8765.69, 5764.81, 5081.52, 3715.57, 2757.98, 2645.6, 2196.16, 1843.16, 1545.13, 1045.47, 5505.91, 4105.34, 5962.86, 6029.38, 229.373, 216.543, 809.274, 967.31, 810.288, 6319.8, 7682.89, 12297.6, 53904.1
1126, 10713.5, 12727, 9035.96, 5921.74, 5062.96, 3597.06, 2901.98, 2659.96, 2089.08, 1741.19, 1608.86, 1064.75, 5490.97, 3972.07, 4181.34, 4751.44, 223.531, 215.869, 821.914, 754.898, 796.117, 6502.12, 8214.09, 19154.3, 74348.6
