seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,1915.16,4194.33,3351.64,2469.59,1977.95,1737.72,1357.66,1247.09,944.155,798.498,606.453,480.029,1970.02,3088.8,2562.18,2592.84,106.465,70.5937,215.535,310.27,251.549,2317.07,2400.18,5430.26,17407
1050,1862.07,4461.15,3374.98,2444.72,2063.63,1727.1,1397.1,1100.91,990.042,776.805,586.121,463.05,2169.34,2651.53,2772.33,2868.86,80.0345,90.4009,175.069,343.245,199.316,1555.8,2309.98,4964.21,20384.8
456,1875.22,4466.28,3347.06,2306.62,2000,1773.66,1341.25,1154.43,922.275,800.767,595.876,513.541,2454.22,2782.05,2491.15,2490.25,80.4077,83.6185,251.656,362.911,186.36,2277.32,1799.25,4592.58,20646.3
841,1915.17,4404.19,3463.7,2441.34,2022.96,1750.92,1382.07,1100.11,910.212,776.625,682.917,560.663,2665.89,3123.76,2373.12,2242.2,91.4462,76.5705,214.027,382.698,164.766,2122.67,1678.75,4122.21,20077.3
838,1983.05,4403.78,3380.74,2469.53,2063.43,1721.98,1224.17,1061.01,960.028,732.691,565.131,557.278,3011.74,2744.63,2996.43,2850,115.148,83.8579,233.22,306.994,162.565,2183.01,2255.09,3708.39,16602.2
757,1938,4449.15,3380.17,2400.21,1935.35,1767.52,1492.97,1149.31,893.25,813.602,542.619,507.754,2840,3136.05,3277.55,2294.93,97.8619,89.4569,248.329,344.544,203.891,1644.94,2288,5411.22,22226.7
78,1985.77,4481.82,3285.64,2473.41,2083.98,1662.32,1364.01,1116.03,966.519,728.077,574.366,500.093,2527.12,2311.6,2450.09,2362.95,89.0281,76.0401,239.768,362.124,157.391,2151.1,2010.69,3673.93,17604.9
262,1838.72,4463.72,3278.85,2274.23,1976.53,1662.29,1388.9,1048.97,903.324,740.15,545.8,512.789,2342.87,3055.86,2969.91,2746.57,82.0376,111.304,189.037,382.909,230.269,2229.41,2073.53,4806.59,21225.6
1124,1895.93,4256.55,3258.99,2445.08,2211.96,1719.32,1426.44,1124,957.728,762.018,615.674,546.644,2123.24,2210.75,2575.83,2260.95,105.756,110.668,219.897,449.979,177.658,2152.09,2165.92,3891.88,21148.5
378,1947.62,4314.44,3406.24,2311.58,2290.41,1774.76,1469.32,1116.19,921.147,703.24,659.54,512.082,3342.63,2828.59,2738.21,3092.94,94.8957,97.0063,211.603,349.67,178.167,2372.34,2140.38,5168.9,23134.3
