seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 1921.69, 4352.12, 3259.21, 2348.44, 2058.64, 1739.15, 1455.52, 1225.28, 940.352, 703.545, 633.476, 460.542, 2046.25, 2949.54, 2932.01, 2419.14, 112.554, 76.2499, 227.2, 442.328, 206.453, 1789.79, 2157.62, 5200.62, 21538
1082, 1812.6, 4342.94, 3291.41, 2517.93, 2006.45, 1757.92, 1282.15, 1224.66, 815.115, 726.352, 563.005, 493.571, 2348.82, 2287.27, 2518.06, 3040.01, 89.2919, 102.225, 224.948, 408.767, 195.051, 2077.33, 2406.77, 5434.51, 28820.9
168, 1939.26, 4371.66, 3252.9, 2390.31, 2118.18, 1639.15, 1307.99, 1095.77, 940.924, 777.93, 588.945, 537.808, 2875.45, 2870.51, 2660.12, 2026.72, 86.5045, 90.8858, 243.907, 348.578, 235.799, 1805.07, 2235.43, 4591.03, 16627.4
143, 1866.81, 4397.57, 3294.55, 2372.53, 2075.49, 1720.48, 1406.05, 1103.21, 973.482, 830.97, 610.908, 542.244, 2447, 2558.47, 2881.72, 2519.72, 104.482, 89.4905, 155.756, 368.134, 245.833, 2187.13, 2083.09, 4797.3, 18824.9
182, 1900.13, 4447.95, 3287.14, 2386.33, 2071.7, 1612.98, 1380.24, 1195.45, 1052.71, 768.26, 601.292, 484.453, 2469.08, 2672.99, 2767.72, 2228.14, 120.051, 89.279, 204.275, 317.523, 197.244, 1741.57, 2524.68, 4811.42, 14615.5
482, 1889.93, 4268.8, 3367.12, 2375.34, 2013.32, 1635.36, 1431, 1121.12, 932.335, 829.668, 607.979, 557.823, 2478.39, 2416.62, 2527.26, 3250.54, 108.893, 88.6211, 224.282, 364.499, 208.734, 2146.53, 2340.27, 5108.89, 21081.5
87, 1860.89, 4426.68, 3193.83, 2455.43, 2124.3, 1730.9, 1377.78, 1115.95, 912.144, 804.134, 584.442, 540.168, 2661.34, 2510.39, 2690.39, 2756.52, 121.459, 106.022, 154.206, 304.842, 192.335, 2264.14, 2249.4, 3778.75, 24073.3
766, 1835.06, 4237.53, 3168.89, 2305.54, 1962.07, 1712.5, 1403.56, 1213.02, 982.107, 758.278, 715.564, 512.584, 2624.58, 2598.4, 2552.53, 2960.68, 120.142, 117.94, 227.972, 454.601, 190.445, 2455.07, 2119.86, 6044.39, 24125.3
774, 1971.55, 4353.04, 3301.74, 2429.07, 1971.99, 1732.85, 1377.12, 1149.01, 985.259, 810.353, 591.809, 466.054, 2325.53, 2338.27, 2700.6, 2428.8, 82.7676, 101.152, 180.34, 306.761, 157.83, 2114.27, 2343.32, 4391.19, 17942.1
229, 1857.66, 4385.05, 3207.7, 2329.22, 1982.4, 1729.28, 1435.49, 1120.22, 916.79, 911.487, 605.571, 526.179, 2725.13, 2932.4, 3012.93, 2320.21, 126.56, 142.744, 260.844, 461.612, 222.633, 1777.09, 1935.49, 5955.28, 20101.3
733, 1900.1, 4238.02, 3276.57, 2300, 2077.11, 1765.61, 1318.82, 1177.08, 945.781, 780.239, 657.296, 643.297, 2686.93, 2400.08, 2725.6, 3130.77, 116.217, 86.0144, 168.019, 310.77, 207.138, 2165.65, 2586.91, 5025.27, 24889.5
814, 1868.88, 4177.09, 3285.74, 2416.42, 2066.14, 1671.97, 1407.86, 1147.09, 961.394, 822.506, 544.681, 529.617, 2659.41, 2783.6, 2392.96, 2457.36, 109.929, 103.763, 194.012, 504.847, 193.642, 2186.01, 2244.89, 6020.92, 24490.8
1112, 1923.04, 4400.75, 3231.5, 2376.12, 2238.82, 1638.58, 1384, 1206.5, 928.526, 705.065, 607.036, 576.318, 2452.8, 3107.4, 2880.67, 2633.65, 87.1485, 85.2933, 236.443, 409.301, 240.238, 2147.78, 2437, 7417.77, 22046.5
547, 1898.52, 4278.19, 3172.96, 2310.69, 2164.9, 1749.53, 1308.22, 1119.98, 969.299, 724.501, 558.371, 454.882, 2208.65, 2612.96, 2127.45, 2785.48, 104.38, 92.5776, 174.092, 411.762, 179.888, 2116.5, 1959.57, 4742.35, 24887.9
845, 1857.64, 4230.12, 3214.94, 2364.09, 2065.91, 1639.06, 1378.62, 1102.89, 991.652, 788.38, 648.068, 483.037, 2721.04, 2918.1, 2311.4, 2304.08, 92.1271, 84.8212, 231.931, 381.596, 202.196, 2106.1, 2701.34, 5580.86, 20234.2
249, 1881.53, 4338.11, 3290.78, 2278.15, 2025.02, 1626.76, 1357.55, 1129.75, 1003.3, 815.467, 611.603, 546.495, 2348.7, 2656.17, 2551.25, 2802.96, 108.146, 107.49, 250.474, 328.465, 228.994, 1880.4, 2270.73, 5611.74, 24216.1
711, 1803.3, 4475.25, 3201.76, 2322.98, 2101.8, 1729, 1367.78, 1213.78, 935.511, 787.263, 594.887, 550.688, 2767.51, 2520.94, 2593.69, 2638.25, 110.477, 101.714, 215.49, 424.949, 210.156, 2358.39, 2757.87, 5755.79, 17513.3
455, 1826.24, 4154.29, 3291.95, 2388.35, 2161.58, 1627.32, 1362.94, 1109.45, 975.17, 861.537, 574.581, 516.924, 2635.43, 2380.45, 2821.11, 3041.09, 99.9113, 82.0045, 249.494, 458.216, 215.945, 2666.91, 2588.62, 5611.8, 25917.9
379, 1908.57, 4058.31, 3263.31, 2385.43, 2029.23, 1588.84, 1385.45, 1142.15, 936.585, 777.655, 560.705, 430.979, 2310.81, 2793.79, 2894.11, 2317.67, 103.16, 104.117, 173.488, 411.433, 234.044, 2637.81, 2534.72, 5495.69, 24136.6
116, 1908.75, 4206.32, 3279.74, 2354.99, 2129.01, 1688.73, 1456.94, 1091.25, 926.357, 740.712, 579.683, 519.24, 2736.07, 2813.96, 2921.1, 2798.32, 115.073, 94.583, 241.758, 364.476, 210.691, 2328.44, 2444.91, 5268.44, 19082.8
309, 1908.39, 4324.04, 3300.18, 2439.32, 2091.2, 1699.24, 1329.11, 1155.5, 1010.18, 799.979, 589.609, 518.48, 2896.48, 2229.25, 2818.26, 2503.97, 108.8, 123.926, 239.052, 487.175, 227.647, 2583.69, 2255.35, 6525.36, 21695
412, 1855.18, 4383.74, 3236.35, 2399.37, 2052.72, 1750.38, 1441.84, 1177.11, 942.259, 828.864, 620.858, 520.369, 2824, 2694.2, 2853.04, 2838.19, 82.4851, 95.938, 200.143, 350.027, 197.446, 2598.64, 2457.25, 6016.66, 21627.3
1147, 1865.52, 4366.53, 3282.91, 2273.24, 2151.83, 1661.93, 1407.18, 1151.92, 922.3, 775.002, 562.74, 497.253, 2730.58, 2434.37, 3515.74, 2610.84, 79.2583, 91.8235, 217.716, 343.222, 175.866, 1736.95, 2187.13, 5798.01, 19904.4
878, 1834.93, 4357.35, 3277.95, 2391.4, 2019.39, 1689.43, 1425.44, 1123.25, 857.2, 755.751, 645.788, 534.547, 2653.32, 2763.8, 2313.05, 2244.91, 99.1729, 98.7571, 214.473, 393.469, 205.41, 2245.58, 2531.39, 4061.41, 19648.8
905, 1874.66, 4314.65, 3299.28, 2396.67, 2051.72, 1698.61, 1441.24, 1117.47, 940.905, 784.024, 624.772, 492.98, 2311.31, 2576.35, 2275.14, 2555.59, 78.132, 92.383, 222.964, 431.62, 201.158, 1945.25, 1917.27, 4232.49, 25669.4
838, 1948.28, 4315.34, 3327.74, 2448.54, 2060.73, 1730.61, 1236.99, 1076.79, 977.508, 747.624, 577.205, 569.144, 2986.58, 2781.21, 3066.17, 2940.76, 124.979, 92.7888, 244.085, 327.312, 175.716, 2328.44, 2461.73, 4120.66, 18474
964, 1817.74, 4236.57, 3270.36, 2381.39, 2089.1, 1663.6, 1274.2, 1137.66, 925.533, 880.977, 627.202, 547.003, 2823.36, 2809.47, 2663.3, 2545.95, 103.777, 112.952, 205.579, 340.425, 255.437, 2405.75, 2402.23, 5777.88, 22703.1
596, 1829.01, 4416.87, 3261.8, 2263.83, 2150.61, 1673.02, 1357.78, 1155.07, 942.736, 803.588, 590.074, 484.191, 2836.94, 2885.3, 3078.23, 2612.93, 92.6017, 95.0048, 200.932, 357.774, 200.585, 2425.51, 2067.08, 5091.67, 19414.5
995, 1889.17, 4260.18, 3234.82, 2363.37, 1970.69, 1609.65, 1439.55, 1121.59, 1006.09, 671.977, 632.451, 463.612, 2708.83, 2883.71, 2790.34, 2569.94, 89.4146, 100.22, 209.803, 413.966, 185.611, 2215.45, 1805.73, 4818.1, 27452.5
503, 1922.24, 4394.2, 3122.41, 2432.44, 2096.35, 1751.67, 1347.79, 1076.55, 964.317, 791.802, 617.726, 489.875, 2364.02, 2235.92, 2976.99, 2776.66, 107.143, 93.4862, 217.929, 435.815, 150.058, 2334.82, 2304.46, 4740.09, 21199.8
662, 1894.21, 4272.5, 3317.63, 2340.33, 2094.88, 1629.46, 1349.5, 1171.66, 906.527, 686.59, 645.96, 557.369, 2459.43, 2492.45, 2480.21, 2172.4, 102.983, 77.059, 176.276, 432.817, 137.929, 1962.12, 2465.81, 6556.13, 27226.9
1126, 1816.14, 4398.3, 3245.2, 2406.09, 2122.61, 1620.84, 1414.05, 1149.97, 914.692, 754.985, 634.499, 486.765, 2745.48, 1986.04, 2090.67, 2375.72, 111.767, 107.936, 205.48, 301.963, 199.031, 2166.52, 2737.31, 6356.7, 24813.7
737, 1905.49, 4359.98, 3135.11, 2510.09, 2030.87, 1752.75, 1334.4, 1148.11, 933.814, 808.618, 628.361, 485.467, 2385.09, 2522.97, 2405.97, 2468.43, 99.9749, 90.9017, 187.232, 376.05, 220.347, 2192.51, 2706.25, 5611.37, 23569.1
963, 1962.85, 4240.89, 3341.36, 2467.9, 1980.72, 1715.16, 1456.53, 1096.72, 993.968, 769.875, 645.72, 571.151, 2452.53, 2591.05, 2911.9, 2511.43, 95.3235, 98.056, 218.97, 319.481, 223.595, 2236.1, 2681.89, 5748.3, 23256.2
598, 1830.13, 4320.67, 3167.96, 2362.5, 2068.91, 1706.02, 1441.18, 1221.65, 1008.45, 761.413, 558.497, 547.448, 2724.11, 2799.6, 2638.05, 3612.57, 104.13, 90.7872, 176.957, 419.206, 199.3, 1773.11, 2484.32, 3429.09, 24675.1
1041, 1860.69, 4308.29, 3240.6, 2476.61, 2071.43, 1769.17, 1396.49, 1204.01, 910.045, 749.659, 568.618, 504.824, 2265.95, 2120.74, 2574.06, 2552.58, 138.976, 101.252, 223.409, 321.774, 198.003, 2236.68, 2581.2, 5317.52, 24721.4
285, 1932.01, 4372.53, 3264.79, 2470.48, 2081.75, 1693.64, 1376.22, 1121.18, 857.958, 767.7, 602.227, 485.703, 2704.52, 2971.79, 2666.76, 2601.15, 95.3493, 76.5043, 216.887, 380.307, 206.278, 2069.57, 2027.2, 5826.88, 21771.3
884, 1946.08, 4309.25, 3387.73, 2252.3, 1987.06, 1685.84, 1426.9, 1144.61, 958.19, 782.289, 582.917, 501.215, 2507.44, 2996.39, 2679.72, 3080.95, 89.8914, 110.369, 234.641, 295.544, 193.856, 1952.42, 2452.72, 4859.98, 22484.4
805, 1866.71, 4275.3, 3371.54, 2322.57, 2041.16, 1661.52, 1339.37, 1175.55, 947.504, 777.491, 651.785, 565.231, 2704.16, 2294.78, 2738.12, 2308.08, 109.12, 79.7651, 165.833, 340.97, 230.424, 2067.14, 2376.37, 4906.86, 26012.2
693, 1879.36, 4395.91, 3318.39, 2394.06, 1983.91, 1661.12, 1422.26, 1132.63, 939.688, 773.158, 618.557, 573.064, 2314.88, 2506.6, 2928.66, 2687.2, 97.8363, 120.812, 248.346, 324.613, 213.024, 1554.07, 1717.23, 4826.01, 21807.4
613, 1872.5, 4351.25, 3346.57, 2422.41, 2105.86, 1709.94, 1389.21, 1095.58, 917.998, 736.5, 594.162, 489.401, 2432.65, 2450.43, 2742.73, 3034.42, 112.594, 97.5742, 202.535, 314.47, 199.405, 2316.35, 2283.97, 5855.03, 19813.8
648, 1898.84, 4345.42, 3188.87, 2351.92, 2139.18, 1717.16, 1380.75, 1216.08, 934.838, 858.885, 585.46, 465.687, 3189.75, 2865.52, 2351.21, 2480.9, 92.8647, 81.8121, 220.903, 378.92, 255.271, 1997.64, 2252.93, 4479.24, 19820.7
349, 1919.19, 4391.32, 3241.11, 2260.62, 1921.93, 1824.18, 1386, 1174.6, 943.47, 780.772, 593.837, 520.102, 2625.86, 2386.93, 2456.2, 2222.9, 85.8755, 109.176, 207.485, 506.471, 186.273, 1907.6, 1813.73, 5901.61, 25628.9
265, 1888.67, 4208.93, 3274.02, 2428.23, 1981.17, 1768.09, 1333.99, 1099.62, 931.588, 734.837, 612.838, 484.167, 2435.38, 2632.07, 2684.99, 2459.35, 133.135, 81.4387, 203.207, 426.569, 195.599, 2354.8, 2285.71, 5542.28, 21490.7
16, 1939.51, 4373.27, 3172.96, 2426.12, 2163.03, 1621.04, 1384.72, 1144.4, 949.21, 793.753, 629.491, 474.676, 2766.69, 3042.5, 3197.45, 2183.05, 121.631, 97.9053, 175.946, 331.822, 220.123, 2291.49, 2003.65, 6277.32, 24864.5
56, 1878.88, 4255.21, 3178.7, 2340.45, 2070.03, 1723.96, 1355.13, 1139.41, 894.424, 820.386, 564.764, 615.323, 3158.86, 2460.78, 2780.52, 2931.39, 109.39, 81.401, 230.37, 446.645, 216.882, 1594.73, 1647.76, 5842.37, 20871.8
671, 1845.62, 4358.71, 3395.49, 2425.22, 2078.01, 1763.66, 1345.07, 1118.95, 995.905, 802.533, 566.319, 493.284, 2548.72, 2716.05, 2475.43, 2654.08, 106.034, 82.866, 207.179, 456.432, 176.584, 2303.97, 2448.96, 5250.33, 23150.5
106, 1865.48, 4457.68, 3317.79, 2427.32, 2117.26, 1698.86, 1338.14, 1174.53, 989.188, 800.899, 579.11, 565.812, 3071.82, 2352.85, 2614.57, 2590.77, 121.431, 104.846, 185.22, 406.617, 214.985, 2039.13, 2385.09, 4880.19, 21923.8
756, 1961.62, 4371.97, 3237.1, 2387.78, 2041.97, 1718.49, 1379.23, 1114.84, 931.693, 752.813, 609.799, 513.322, 2673.29, 2731.91, 2574.1, 2761.17, 87.4393, 107.142, 174.546, 476.197, 200.05, 1674.21, 2087.68, 4832.53, 24048.3
644, 1937, 4162.53, 3211.55, 2360.73, 2030.74, 1606.66, 1321.96, 1126.98, 1028.43, 785.025, 585.669, 500.403, 2745.02, 2872.77, 2690.12, 3176.22, 89.2612, 82.2489, 222.225, 343.054, 204.136, 2265.71, 2024.44, 5941.03, 22393.9
150, 1901.49, 4370.91, 3282.28, 2337.29, 2024.45, 1669.04, 1450.35, 1156.63, 912.923, 745.97, 619.19, 469.755, 2599.26, 2627.07, 2510.54, 3259.92, 96.796, 65.1007, 163.665, 343.749, 211.254, 1940.59, 2111.53, 5244.28, 19738.4
727, 1843.32, 4418.97, 3232.56, 2357.08, 2040.28, 1733.9, 1347.63, 1127.57, 949.594, 777.295, 625.937, 412.17, 2353.94, 2863.29, 2466.46, 2975.98, 100.459, 94.5983, 163.81, 365.59, 176.089, 2358.55, 2422.83, 4785.95, 25964
1067, 1875.44, 4399.29, 3319.35, 2398.31, 2011.3, 1810.52, 1337.78, 1149.35, 963.543, 900.613, 544.928, 421.055, 2347, 2115.62, 2950.87, 2871.73, 83.9409, 92.5701, 243.834, 344.31, 228.896, 2288.34, 2130.98, 5546.11, 19034.6
1209, 1912.5, 4402.39, 3143.3, 2395.95, 2029.37, 1711.88, 1364.99, 1084.47, 966.695, 783.728, 580.699, 583.451, 2297.38, 2880.95, 2555.75, 2926.33, 117.307, 93.8858, 191.842, 399.126, 235.179, 2229.37, 2391.61, 4460.71, 18661.7
323, 1858.21, 4342.28, 3167.24, 2414.77, 2042.83, 1720.4, 1431.03, 1124.7, 902.6, 787.004, 565.145, 533.296, 2595.2, 2800.33, 2821.89, 2523.66, 125.539, 112.22, 198.942, 364.416, 191.681, 2012.36, 2430.15, 5576.4, 32029
1235, 1904.65, 4218.19, 3273.34, 2358.85, 2065.98, 1718.82, 1392.15, 1171.84, 960.815, 765.062, 580.721, 520.723, 2758.89, 2394.73, 2365.78, 2901.4, 101.17, 105.274, 231.227, 399.851, 221.82, 1566.66, 2531.55, 4941.35, 20309.8
266, 1829.1, 4233.37, 3315.06, 2353.33, 2093.13, 1679.3, 1353.1, 1117.41, 898.408, 818.202, 548.755, 485.076, 2727.59, 2849.18, 2707.65, 2426.76, 114.804, 104.661, 201.771, 332.986, 186.946, 2266.76, 2208.64, 6617.21, 21256.5
607, 1844.6, 4422.86, 3260.89, 2346.57, 2071.74, 1829.07, 1357.84, 1086.21, 856.938, 725.481, 576.232, 519.496, 2556.21, 2790.89, 2802.58, 2642.6, 113.238, 90.8135, 240.616, 372.382, 206.412, 2199.82, 2376.55, 5828.97, 23905.8
1015, 1912.09, 4363.76, 3324.2, 2435.07, 2060.81, 1756.73, 1376.4, 1078.95, 896.987, 827.727, 633.345, 470.012, 2170, 2834.56, 2696.09, 2682.75, 96.1443, 115.225, 216.285, 407.329, 232.808, 2271.77, 1977.68, 6040.62, 20129.7
1106, 1885.68, 4393.9, 3314.96, 2405.92, 1974.13, 1619.07, 1427.66, 1232.04, 939.805, 803.039, 628.283, 536.748, 2942.86, 2802.48, 2570.52, 2807.92, 109.615, 90.2484, 243.388, 347.012, 233.324, 1864.69, 2642.24, 5300.19, 30532
593, 1849.85, 4308.03, 3251.73, 2271.52, 2071.94, 1634, 1350.91, 1172.68, 910.939, 751.568, 560.596, 491.499, 2848.23, 2878.93, 2339.11, 3099.52, 97.9307, 90.7338, 163.338, 320.976, 164.99, 1957.43, 2821.48, 5956.61, 19382.8
958, 1847.03, 4300.83, 3177.98, 2290.56, 2009.77, 1640.39, 1445.06, 1127.5, 890.433, 821.272, 579.627, 667.356, 2143.17, 2506.43, 2642.56, 2596.21, 104.63, 83.9846, 189.789, 383.95, 176.025, 2071.99, 2540.94, 5324.88, 18688.2
698, 1890.63, 4405.15, 3279.32, 2368.2, 2164.13, 1741.65, 1312.99, 1128.88, 886, 830.268, 673.265, 494.233, 2500.16, 2343.28, 2778.06, 2420.31, 84.5952, 112.38, 230.665, 442.071, 189.53, 1967.21, 1990, 5357.58, 23221.3
880, 1815.68, 4154.45, 3247.49, 2405.76, 2155.24, 1624.4, 1376.18, 1160.22, 949.526, 782.735, 602.075, 558.864, 2673.78, 2519.19, 3214.86, 2582.52, 99.1268, 109.154, 227.653, 354.314, 171.966, 2341.41, 2122.34, 5404.15, 21431.7
27, 1895.66, 4416.26, 3277.65, 2395.09, 2146.18, 1622.64, 1522.16, 1184, 884.323, 861.909, 546.749, 540.052, 2183.75, 2339.52, 2844.02, 2660.84, 106.949, 116.717, 182.534, 423.919, 196.849, 2009.74, 2214.58, 5391.3, 19869.1
1138, 1918.2, 4343.58, 3190.21, 2451.94, 2046.69, 1655.67, 1514.64, 1164.32, 987.959, 755.513, 579.948, 451.294, 2514.32, 2600.97, 2557.41, 2365.4, 101.922, 96.4392, 238.607, 346.785, 251.269, 1843.27, 2285.19, 4883.07, 21963.6
198, 1876.46, 4167.73, 3211.66, 2374.14, 1950.7, 1729.14, 1396.43, 1220.6, 965.442, 856.087, 562.062, 476.713, 3172.16, 2437.05, 2140.31, 2638.91, 140.738, 102.84, 164.819, 409.961, 174.254, 2322.6, 2188.66, 4858.31, 25916.8
972, 1858.65, 4279.4, 3252.41, 2397.1, 2008.41, 1693.16, 1414.33, 1070.7, 907.859, 759.741, 575.489, 545.107, 2184.52, 2378.16, 2226.08, 2502.95, 93.5386, 105.688, 195.336, 336.6, 253.102, 2115.08, 2411.22, 6125.65, 21772.7
747, 1881.42, 4373.01, 3178.21, 2388.46, 2021.98, 1654.54, 1301.44, 1157.54, 920.714, 695.388, 558.339, 435.533, 2763.27, 2524.52, 3181.64, 2515.46, 113.885, 108.26, 239.019, 315.785, 186.765, 2288.78, 2657.25, 7075.87, 24847.1
346, 1906.54, 4236.12, 3369.16, 2418.96, 2106, 1712.31, 1298.75, 1120.2, 867.659, 769.935, 622.081, 559.788, 2458.84, 2680.46, 2911.69, 2786.71, 92.0191, 95.5577, 194.428, 392.05, 195.719, 2335.01, 2654.25, 4552.94, 23303.9
225, 1836.81, 4276.71, 3188.3, 2476.42, 2036.17, 1572.92, 1382.48, 1180.57, 961.592, 808.8, 558.832, 462.146, 3483.54, 2926.11, 2673.96, 2542.5, 73.2607, 84.4172, 199.18, 411.556, 207.679, 2235.71, 2080.53, 4112.46, 20868.9
465, 1866.68, 4287.04, 3359.57, 2412.2, 2122.6, 1697.35, 1350.92, 1124.94, 945.393, 794.327, 623.49, 546.242, 2940.37, 2598.97, 2979.08, 2432.68, 120.555, 91.2744, 212.679, 319.964, 213.316, 2427.17, 2368.13, 4689.54, 24812.1
53, 1895.26, 4400.31, 3263.23, 2230.83, 2050.51, 1646.51, 1348.51, 1082.98, 987.504, 784.528, 617.646, 494.37, 2496.43, 2666.35, 2776.47, 2932.14, 101.519, 85.73, 153.015, 382.598, 237.144, 1759.17, 2352.13, 5872.14, 19307.8
792, 1877.02, 4192.91, 3302.53, 2352.86, 2110.27, 1763.39, 1457.24, 1141.16, 931.868, 831.731, 537.788, 466.902, 2614.03, 2464.98, 2822.3, 2648.99, 102.41, 94.9385, 201.352, 399.723, 185.365, 1573.33, 2465.01, 5921.76, 21484.8
811, 1890.11, 4456.95, 3349.45, 2400.29, 2091.55, 1628.11, 1388.73, 1093.76, 988.5, 799.425, 586.055, 540.08, 2779.3, 2534.76, 2523.62, 2461.19, 121.801, 107.327, 206.868, 369.059, 197.157, 2304.09, 2442.48, 4327.08, 21370.6
977, 1852.81, 4374.6, 3386.24, 2324.15, 2061.35, 1692.24, 1392.67, 1223.47, 956.126, 796.199, 580.645, 561.93, 2528.82, 3045.9, 2735.67, 2765.66, 88.33, 106.744, 223.864, 364.182, 212.771, 2297.53, 2558.35, 4809.91, 23537.5
1132, 1829.04, 4340.87, 3259.83, 2352.5, 2027.47, 1732.89, 1393.88, 1118.86, 953.829, 734.762, 640.779, 635.761, 3051.01, 2297.22, 2710.36, 2715.06, 96, 84.1009, 190.163, 348.132, 269.189, 1982.06, 2443.58, 5684.29, 22151.8
33, 1900.7, 4406.16, 3390.74, 2292.12, 2055.87, 1762.94, 1345.68, 1216.99, 971.965, 801.092, 576.682, 526.593, 2995.09, 2926.26, 3028.22, 2393.15, 99.1291, 103.606, 218.527, 400.972, 219.675, 2211.69, 2073.85, 4933.43, 17852.1
870, 1832.63, 4391.42, 3229.05, 2326.45, 2133.01, 1673.68, 1423.23, 1202.23, 883.343, 862.681, 524.453, 496.753, 2434.59, 2568.2, 2837.48, 2187.81, 85.3214, 91.1526, 209.365, 378.675, 205.399, 2429.94, 2412.22, 4901.34, 22350.4
459, 1927.78, 4354.48, 3203.74, 2418.78, 2043.85, 1628.7, 1404.62, 1177.88, 868.688, 762.918, 626.849, 534.929, 2388.01, 3094.7, 3138.99, 2833.71, 93.228, 83.2401, 203.676, 357.769, 237.527, 2112.72, 2763.3, 4630.49, 24402.7
702, 1864.73, 4277.68, 3323.24, 2400.45, 2113.77, 1684.13, 1468.52, 1145.4, 905.279, 811.239, 578.377, 526.586, 2345.68, 2246.45, 3170.64, 2554.55, 92.5069, 86.2744, 214.286, 406.343, 194.214, 2373.28, 2445.52, 6839.41, 19670.5
427, 1889.46, 4250.31, 3284.31, 2344.73, 2048.15, 1663.8, 1375.5, 1147.43, 862.495, 846.103, 565.604, 497.764, 2629.97, 2803.4, 2699.08, 2662.86, 98.4454, 74.0262, 145.388, 403.023, 211.076, 2193.74, 2676.84, 5557.11, 30087.7
145, 1895.08, 4427.59, 3207.17, 2397.25, 2022.81, 1738.45, 1382.13, 1232.02, 913.694, 837.538, 597.763, 517.854, 2195.91, 3057.44, 2724.3, 3312.67, 103.596, 88.9902, 232.683, 321.736, 187.365, 2262.16, 2145.3, 5081.75, 26155.1
237, 1868.43, 4359.71, 3283.47, 2392.87, 2044.7, 1706.57, 1470.39, 1174.59, 922.681, 864.482, 515.25, 543.039, 2560.32, 2797.57, 2879.53, 2880.67, 89.087, 110.475, 198.642, 427.469, 190.216, 2423.83, 2204.52, 5233.75, 25767.5
