seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 37299.9, 40823.7, 40574, 40268, 40144.1, 40044.3, 39832.6, 39420.3, 38783.2, 37945.9, 36967.4, 35923.1, 473305, 373945, 334706, 310725, 794317, 748779, 1.10511e+06, 976679, 1.03709e+06, 846376, 565864, 384011, 430205
1082, 39727.6, 43924.9, 43848.6, 43626, 43567.4, 43511.2, 43310.6, 42866.1, 42151.6, 41197, 40071.8, 38865.8, 451976, 359521, 324987, 303969, 783949, 739826, 770618, 690783, 730448, 602679, 410642, 282240, 316493
168, 36395.8, 39373.3, 39042.6, 38690.6, 38491, 38297.9, 37992.5, 37495.5, 36789.5, 35902.7, 34894.2, 33837.3, 442793, 344910, 306697, 283179, 737433, 690914, 904754, 800799, 851832, 679944, 443482, 297110, 332625
143, 38045, 41617.6, 41392.7, 41063.7, 40880.8, 40700.1, 40395.6, 39881.2, 39136.9, 38192.2, 37110.5, 35971.4, 466898, 365564, 326152, 302123, 792937, 748557, 828482, 736718, 785129, 625465, 410092, 275813, 308886
182, 36835.7, 40151.2, 39869.2, 39539, 39375.1, 39225.6, 38960.6, 38496.4, 37812.3, 36935.4, 35925.6, 34858.4, 442292, 347909, 310504, 287623, 782970, 739865, 1.04635e+06, 919626, 980934, 794807, 528079, 356826, 399637
482, 37631.8, 41970.7, 42024.5, 41849.7, 41803.7, 41753.4, 41565.6, 41149.9, 40482.6, 39592, 38543.2, 37419.6, 465572, 370119, 333624, 311354, 765165, 720570, 690573, 618904, 654346, 537897, 364537, 249833, 280069
87, 37363.5, 40897.5, 40777.6, 40547.6, 40440.8, 40321.2, 40068.9, 39604.1, 38908.4, 38010.6, 36972.8, 35872.5, 421412, 330370, 295502, 274601, 742660, 702315, 1.00335e+06, 886695, 944129, 765823, 510285, 345739, 387327
766, 35591.2, 39295.9, 39160.1, 38910.8, 38823.7, 38748.4, 38549.4, 38136, 37484.2, 36620.4, 35607.3, 34524.9, 464480, 369350, 332161, 309284, 746178, 704457, 716733, 636775, 675834, 555030, 375443, 256667, 287703
774, 39379.7, 43088.2, 42799.3, 42447.8, 42285.6, 42142.8, 41873.9, 41384, 40649.3, 39699.5, 38600.8, 37436.9, 456719, 358215, 320196, 296655, 731925, 686130, 723932, 644923, 683448, 553964, 368079, 249126, 279116
229, 39188.1, 43148.4, 43031.7, 42791.8, 42712, 42638.5, 42434.9, 42006.7, 41329.1, 40429, 39370.6, 38236.8, 443674, 350979, 314671, 292619, 785518, 745319, 1.03024e+06, 911559, 970320, 790790, 530651, 360948, 404424
733, 36508.7, 40309, 40155.4, 39896.6, 39818, 39763.7, 39593.6, 39214, 38598.8, 37772.2, 36794.7, 35744.6, 444868, 354193, 318624, 296851, 759073, 717031, 736881, 655625, 695705, 572976, 389402, 266927, 299240
814, 39317.7, 43221.4, 43037, 42764.1, 42674.5, 42600.4, 42397.6, 41968.2, 41286.3, 40379.2, 39312.2, 38169.1, 457970, 360565, 323014, 299954, 789760, 743473, 1.00356e+06, 896407, 948983, 771209, 514638, 349564, 391717
1112, 36721.6, 40257.6, 39959.7, 39630.7, 39512.5, 39430.2, 39235, 38830.9, 38191, 37340.5, 36341.2, 35272.8, 462556, 368873, 332571, 310304, 819435, 775007, 618539, 551780, 585522, 481526, 327469, 224629, 251860
547, 36677.9, 40328.8, 40164.2, 39885, 39753.8, 39624.1, 39365.7, 38891.4, 38180.7, 37262.7, 36201.7, 35078.2, 475913, 373879, 335353, 311782, 739551, 692841, 350889, 315595, 334137, 269080, 178429, 120962, 135555
845, 34051.3, 37201.8, 36938.1, 36631.1, 36495.8, 36387.1, 36180.6, 35792.7, 35200.4, 34426, 33523.2, 32561.3, 425113, 334691, 298181, 275287, 648897, 607102, 1.06223e+06, 932144, 988504, 807837, 536268, 361794, 405155
249, 39690.7, 43629.4, 43504.8, 43275, 43209.9, 43149.9, 42955.3, 42531.6, 41853.3, 40947.7, 39879.7, 38733.5, 432643, 342452, 307502, 286323, 777830, 738475, 1.03355e+06, 918002, 976048, 796099, 535479, 364984, 409025
711, 38312.6, 42289.6, 42126.8, 41848.9, 41754.6, 41683, 41488.7, 41075.9, 40418.1, 39541.5, 38509.3, 37403.2, 444142, 351465, 315317, 293078, 806837, 759051, 810263, 722278, 765636, 626308, 421630, 287572, 322286
455, 38256.1, 42438, 42397.5, 42183.7, 42122.9, 42067.4, 41878.3, 41461.8, 40793.1, 39899.8, 38846.9, 37717.5, 434231, 343114, 308365, 287263, 837959, 789787, 803169, 719217, 762349, 623375, 421129, 288086, 322977
379, 39344.4, 43146.8, 42854.7, 42517.1, 42396.1, 42311.8, 42110, 41691.4, 41028.3, 40146.9, 39110.8, 38002.2, 451965, 358350, 322047, 299836, 794773, 748965, 877823, 782763, 829436, 680834, 460420, 314907, 353007
116, 39143, 42579.5, 42343, 42060.4, 41936.6, 41814.2, 41563.2, 41095.7, 40390.9, 39477.6, 38419.4, 37296.4, 441371, 346717, 310458, 288575, 701857, 661183, 1.15247e+06, 1.0165e+06, 1.07813e+06, 881175, 587879, 398247, 446109
309, 36798.5, 40662.1, 40524.9, 40267, 40186.2, 40135.4, 39979.4, 39628.5, 39056.4, 38284.7, 37368.9, 36381.4, 472734, 375988, 338673, 316380, 814182, 769203, 1.30029e+06, 1.15559e+06, 1.22299e+06, 1.01349e+06, 690875, 474498, 531985
412, 40935.8, 45261.9, 45217.8, 45015, 44967.1, 44911.6, 44698.7, 44230.6, 43481.9, 42484.8, 41312.3, 40057.4, 437289, 347915, 314346, 294143, 868865, 823693, 817399, 733896, 779033, 638907, 435662, 299955, 336444
1147, 37577.4, 41394.4, 41245.3, 41005.1, 40941.9, 40891.3, 40709.6, 40300.5, 39638, 38749.4, 37699.8, 36573.8, 464605, 370348, 333954, 311561, 791484, 747352, 903276, 807289, 854900, 702591, 476378, 326521, 366088
878, 39225.2, 43183.7, 43042.3, 42754.6, 42613.2, 42470.3, 42191.4, 41686.6, 40934.9, 39967.3, 38851, 37670.3, 461320, 362315, 324378, 300918, 709080, 661656, 731925, 654870, 691948, 560710, 371712, 251589, 281840
905, 37231.8, 40878.4, 40654, 40360.8, 40252.9, 40166.5, 39961.5, 39543.9, 38889, 38023.2, 37009, 35926.4, 462409, 365632, 327857, 304465, 703309, 659341, 846271, 756533, 799366, 651550, 435200, 295795, 331454
838, 38733.1, 42427.7, 42213.4, 41924, 41806, 41696.5, 41456.2, 40992.6, 40282.4, 39354, 38272.7, 37121.7, 463821, 364465, 325622, 301650, 778560, 733011, 802365, 711512, 756206, 613535, 408679, 276889, 310205
964, 36067.5, 39580.3, 39330, 39038.9, 38946.1, 38881.6, 38700.7, 38308.5, 37679.1, 36838.2, 35847.8, 34787.9, 473064, 378622, 342661, 320727, 746799, 704728, 840103, 751376, 794351, 657934, 449728, 309804, 347467
596, 38929.2, 42943.7, 42778.7, 42472.7, 42333.8, 42209.1, 41958.3, 41486.8, 40770.7, 39838.4, 38755.6, 37605.2, 452803, 357235, 319940, 296997, 798477, 750686, 832927, 738381, 784190, 639799, 428542, 291113, 326152
995, 35669.4, 39082.2, 38830.1, 38544.2, 38449.8, 38380.2, 38195.6, 37803.8, 37180, 36349.3, 35372.4, 34327.5, 475516, 379058, 341177, 317818, 766326, 724636, 725033, 647114, 686652, 562210, 380298, 260353, 291877
503, 39563.2, 43109.4, 42737.1, 42366.4, 42218.3, 42104.5, 41871.4, 41418.3, 40718.4, 39799.2, 38726.4, 37583.5, 443073, 349241, 312638, 290064, 771827, 724702, 745232, 663359, 704007, 573267, 383920, 261098, 292617
662, 38832.6, 42294.3, 41936.9, 41597.6, 41482.7, 41405.5, 41212.7, 40806.9, 40160.1, 39297.2, 38280.8, 37191.7, 418346, 331385, 296493, 274748, 819947, 775202, 1.03485e+06, 914768, 973100, 793563, 531945, 361303, 404845
1126, 39604.6, 44131.3, 44180.4, 44008.1, 43978.3, 43942.7, 43755.9, 43319.6, 42607.5, 41649.5, 40516, 39297.8, 460286, 366814, 331424, 309903, 750648, 707704, 721820, 645852, 682867, 565725, 386810, 266278, 298602
737, 37675.5, 41563.9, 41325.3, 40993, 40866.8, 40779.6, 40581.5, 40173.2, 39526.3, 38665.2, 37652, 36567.1, 431000, 343059, 308819, 287690, 809493, 762930, 760563, 677917, 718451, 589261, 398031, 271991, 304836
963, 37115.9, 40511.1, 40114.7, 39750, 39630.4, 39562.5, 39389.1, 39008.9, 38393, 37565.3, 36587.5, 35539.5, 478590, 385096, 348606, 326273, 856584, 814019, 652536, 581748, 617736, 512674, 353347, 244381, 274142
598, 37942.7, 41928.3, 41798, 41509.8, 41374.7, 41246.6, 40989.6, 40511.5, 39789.4, 38852.4, 37766.2, 36613.6, 426306, 335768, 300404, 278638, 871265, 821271, 744262, 659298, 702309, 570564, 381874, 259293, 290519
1041, 36538.8, 39977.3, 39694.5, 39375.5, 39250.1, 39151.1, 38937.3, 38515.8, 37862.1, 37002.3, 35998, 34928, 441965, 350631, 314287, 291899, 715704, 675466, 787398, 693535, 738140, 608779, 412949, 282257, 316381
285, 39127.2, 43035.7, 42892, 42623.9, 42511.7, 42403.4, 42163.6, 41700.4, 40991.1, 40064.5, 38985.8, 37837.6, 463440, 365385, 327558, 304543, 735545, 692012, 908819, 807696, 856317, 698213, 467038, 317379, 355616
884, 38333.4, 41984.7, 41761.5, 41467.1, 41343.9, 41228.8, 40982.6, 40513.9, 39800, 38870.3, 37790.3, 36643.3, 469787, 368860, 330099, 306225, 756255, 709926, 855890, 764914, 809962, 656024, 436085, 295662, 331293
805, 38457.3, 42217.7, 41941.3, 41589.5, 41437.4, 41319.5, 41090.9, 40655.2, 39985.8, 39108.2, 38084.1, 36992.5, 432918, 341557, 305039, 282287, 744270, 699005, 831317, 732532, 778378, 636189, 425377, 288336, 322980
693, 38900.2, 42637.6, 42333.1, 41979.9, 41838.4, 41733.2, 41513.8, 41082.6, 40412.7, 39529.8, 38496.8, 37394.3, 446028, 351272, 313506, 289915, 757004, 709935, 905658, 803438, 851768, 693234, 461758, 312673, 350244
613, 34680.3, 38521.1, 38487.5, 38266.4, 38170.7, 38075.2, 37858.6, 37437.2, 36789.7, 35942.4, 34954.8, 33902.9, 430502, 339184, 303433, 281414, 776236, 731076, 701176, 621509, 660506, 537865, 359865, 244361, 273780
648, 36845.6, 40603.6, 40390.6, 40094.6, 39995.9, 39932, 39760.5, 39384.4, 38776.4, 37959.6, 36993.4, 35955.2, 436970, 346666, 310709, 288491, 756836, 712477, 848080, 751203, 797022, 654986, 441972, 301445, 337805
349, 35685.1, 39352.3, 39193.2, 38940.7, 38866.9, 38819.5, 38662.8, 38305.3, 37721.1, 36933, 35998.5, 34992.4, 439589, 349477, 314542, 293424, 878494, 831073, 934984, 834049, 886190, 727846, 495119, 339748, 380946
265, 37766.9, 41681.9, 41525.4, 41287.1, 41250.9, 41248.1, 41130.6, 40799.3, 40224.5, 39428.1, 38469.8, 37428.4, 434007, 347122, 313283, 292916, 777920, 738620, 1.04362e+06, 928907, 985327, 818555, 562804, 388469, 435663
16, 33975.4, 36979.6, 36797.8, 36589.7, 36524.2, 36458.7, 36274.9, 35896.4, 35303.6, 34520.8, 33603.3, 32621.9, 433137, 341673, 306772, 286198, 757963, 719360, 1.12207e+06, 991094, 1.05496e+06, 864041, 582646, 397485, 445523
56, 38619.7, 42231.8, 42079.3, 41827.5, 41712.4, 41589.1, 41331.9, 40856, 40141.9, 39219.3, 38152.3, 37021.3, 422581, 332272, 297387, 276313, 674203, 637077, 1.09133e+06, 960003, 1.02027e+06, 833422, 556428, 376932, 422211
671, 36905.8, 40929.4, 40881.6, 40680.3, 40635.8, 40600.8, 40437.3, 40052.4, 39420.4, 38567, 37555, 36465.9, 444498, 354814, 319678, 298287, 764816, 725378, 716805, 636262, 676150, 559202, 382440, 262985, 294867
106, 37854.2, 41435.7, 41313.1, 41058.6, 40917, 40758.7, 40466.6, 39962.3, 39228.9, 38296.4, 37227.8, 36101.6, 437825, 342367, 305359, 282929, 797664, 753053, 1.00178e+06, 884741, 943577, 759134, 501559, 338211, 378772
756, 37923.7, 41363.4, 41023.5, 40671.9, 40525, 40405.3, 40165.8, 39712.1, 39019.8, 38116.6, 37066.6, 35951.3, 455764, 358601, 321124, 297962, 784378, 735690, 824083, 737321, 780949, 632304, 420738, 285389, 319813
644, 37253.1, 41130.3, 40954.9, 40673.8, 40581, 40516.5, 40336.4, 39944.9, 39315.1, 38471.7, 37476.1, 36407.6, 432353, 343739, 308410, 286612, 764072, 720749, 824723, 728953, 774281, 639195, 433932, 296725, 332560
150, 37884.1, 41234.3, 40951.1, 40609.9, 40427.2, 40255.1, 39966.7, 39479.2, 38773, 37875.8, 36848.1, 35765.5, 445586, 348681, 310655, 287211, 706296, 663462, 973464, 859978, 913206, 734691, 482038, 323662, 362370
727, 38497.9, 42389.8, 42145.3, 41807, 41668.4, 41564.2, 41347.4, 40920.8, 40257.6, 39383.2, 38360, 37267.5, 429531, 340169, 306519, 286089, 901708, 850317, 866909, 779537, 825930, 671741, 452067, 308911, 346292
1067, 35846.8, 38876, 38487.4, 38141.9, 38007.6, 37906.9, 37699.5, 37293.9, 36666.2, 35841.2, 34878.5, 33853.7, 460105, 364087, 326348, 303011, 757528, 713123, 654399, 583047, 619128, 503280, 336990, 229233, 256909
1209, 36052.5, 39588.2, 39383.2, 39115.3, 39024, 38947.4, 38746, 38329.4, 37673.9, 36806.8, 35791.5, 34708.9, 495214, 394346, 355279, 331109, 724704, 682088, 604203, 542210, 573347, 469368, 316864, 216825, 243086
323, 38248, 42156, 42005.3, 41746.3, 41665.5, 41605.6, 41425.5, 41031.1, 40396.5, 39546.9, 38544.1, 37467.2, 437744, 347446, 312510, 291425, 827951, 782791, 1.05153e+06, 935282, 992961, 818067, 556617, 381894, 428175
1235, 38412.3, 42309.2, 42119.2, 41812.9, 41680.5, 41563.5, 41319.9, 40854.7, 40143.7, 39215.6, 38136.1, 36988.8, 453790, 357137, 319384, 295807, 844689, 790036, 840456, 749125, 793510, 644098, 428666, 290608, 325632
266, 36771.2, 41035.4, 41233.7, 41087.9, 40959.7, 40765.7, 40409.2, 39818.3, 38981.8, 37935.5, 36749.3, 35509.1, 452242, 355846, 319495, 297172, 813343, 766487, 649243, 582187, 618601, 496106, 328531, 222430, 249223
607, 37624.2, 41475.2, 41325.6, 41039.7, 40907.2, 40780.9, 40526.7, 40055.2, 39344.5, 38423.8, 37357.7, 36227.3, 436231, 342842, 306942, 284959, 844242, 794090, 537756, 480454, 510992, 413179, 276043, 187595, 210230
1015, 35791.8, 39238.7, 38967.8, 38679.6, 38601.3, 38558.4, 38404.7, 38045.7, 37454.2, 36653.4, 35703, 34680.7, 461807, 369111, 332577, 310088, 849144, 805990, 673810, 601947, 639715, 524815, 357230, 245391, 275155
1106, 38469.8, 42555.1, 42442.6, 42200.4, 42136.2, 42088.2, 41909.4, 41501.4, 40837, 39943, 38884.8, 37747.6, 465776, 371266, 335016, 312852, 807011, 762388, 885302, 791626, 837998, 691435, 471114, 323736, 362991
593, 38517.9, 42222.8, 41922.6, 41565.5, 41414.7, 41299.4, 41071.5, 40634.6, 39962.2, 39080.6, 38052.3, 36957.1, 457475, 361760, 323695, 300078, 710754, 665583, 874028, 772381, 818729, 671921, 450763, 306292, 343157
958, 35407.6, 39097.9, 39072.2, 38865.5, 38753.8, 38616.3, 38338.8, 37843, 37112.8, 36179.5, 35107.9, 33978.7, 435331, 343434, 308819, 287569, 820833, 772401, 957527, 857215, 908878, 734855, 489367, 332337, 372434
698, 39259.4, 43101.8, 42818.3, 42465.8, 42319.4, 42204.7, 41971, 41519.3, 40823.3, 39910.2, 38844.7, 37709.7, 448042, 352613, 315587, 292657, 773284, 724224, 802837, 717413, 759144, 616710, 410988, 278919, 312520
