seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 11516.7, 13388.9, 9019.9, 5862.05, 4988.22, 3669.2, 2610.52, 2722.1, 2072.67, 1883.9, 1543.27, 1031.22, 4691.94, 4114.68, 5826.06, 5752.2, 218.97, 209.52, 901.448, 1070.56, 802.198, 5253.97, 6274.86, 15116.4, 62224.7
1082, 10816, 13330, 9095.4, 5821.48, 4910.81, 3710.88, 2903.48, 2559.47, 1957.65, 1693.8, 1513.02, 1055.63, 4700.13, 4546.47, 4987.95, 6002.58, 182.046, 280.019, 895.818, 997.562, 763.645, 6136.02, 7055.64, 15934.1, 83997.4
168, 11640.4, 13220.7, 9100.94, 5756.64, 4837.03, 3683.22, 2824.12, 2700.19, 2025.63, 1774.33, 1584.75, 1043.42, 5696.8, 5970.53, 4823.65, 5237.36, 152.915, 228.231, 823.718, 754.157, 852.354, 5208.07, 5373.95, 15668.3, 54653.5
143, 11186.6, 13516.5, 9047.82, 5912.71, 5004.57, 3583.52, 2774.51, 2527.55, 1994.89, 1915.13, 1511.35, 1065.37, 5055.42, 4760.91, 4860.3, 4396.35, 148.059, 264.119, 994.063, 862.745, 721.168, 5329.28, 4555.17, 15467.7, 49813.4
182, 11357.9, 13587.9, 9044.32, 6051.87, 4928.42, 3622.4, 2970.49, 2783.58, 2122.57, 1869.3, 1506.13, 1097.77, 4433.92, 5878.73, 5219.61, 5199.33, 162.516, 258.769, 850.092, 841.058, 550.907, 7027.44, 6053.07, 14413, 62508.8
482, 11335.7, 13355.8, 8837.05, 5847.46, 4961.79, 3570.47, 2917.02, 2602.34, 2076.64, 1852.12, 1567.15, 1130.29, 4960.01, 4797.2, 4994.73, 6398.24, 212.635, 244.24, 890.503, 884.216, 812.794, 6310.18, 6815.97, 14868.6, 60982.1
87, 11132, 13323.7, 9128.61, 5954.64, 4940.85, 3670.49, 2807.88, 2624.75, 2058.55, 1796.19, 1554.75, 1074.95, 5479.33, 4475.08, 4518.13, 5694.7, 143.386, 214.699, 785.923, 668.193, 884.268, 4332.75, 6462.4, 13924.3, 53272.5
766, 11012.6, 13311.9, 9071.02, 5904.12, 4961.19, 3739.65, 2887.17, 2745.61, 2157.85, 1733.29, 1676.81, 1084.4, 5252.45, 5155.76, 5040.86, 5821.72, 229.391, 320.592, 904.717, 1100.84, 740.495, 7210.56, 6167.32, 17571.4, 69707.5
774, 11772.8, 13344.9, 9115.75, 5977.83, 4886.1, 3807.58, 2862.19, 2628.56, 2129.55, 1806.96, 1536.18, 1013.21, 4655.67, 4635.71, 5326.82, 4768.17, 156.669, 277.783, 714.016, 739.854, 611.135, 6188.25, 6788.37, 12708.7, 51610.5
229, 11120.8, 13306.3, 8920.66, 5807.9, 4981.27, 3641.91, 2830.81, 2716.23, 2205.91, 1793.83, 1563.93, 1138.34, 5934.83, 4591.86, 4725.41, 5701.65, 275.208, 327.531, 1015.29, 998.865, 818.244, 5784.18, 6100.72, 14267.2, 73318.7
