seed, Total Cost T
304, 1.69691e+08
1082, 1.69691e+08
168, 1.69691e+08
143, 1.69691e+08
182, 1.69691e+08
482, 1.69691e+08
87, 1.69691e+08
766, 1.69691e+08
774, 1.69691e+08
229, 1.69691e+08
733, 1.69691e+08
814, 1.69691e+08
1112, 1.69691e+08
547, 1.69691e+08
845, 1.69691e+08
249, 1.69691e+08
711, 1.69691e+08
455, 1.69691e+08
379, 1.69691e+08
116, 1.69691e+08
309, 1.69691e+08
412, 1.69691e+08
1147, 1.69691e+08
878, 1.69691e+08
905, 1.69691e+08
838, 1.69691e+08
964, 1.69691e+08
596, 1.69691e+08
995, 1.69691e+08
503, 1.69691e+08
662, 1.69691e+08
1126, 1.69691e+08
737, 1.69691e+08
963, 1.69691e+08
598, 1.69691e+08
1041, 1.69691e+08
285, 1.69691e+08
884, 1.69691e+08
805, 1.69691e+08
693, 1.69691e+08
613, 1.69691e+08
648, 1.69691e+08
349, 1.69691e+08
265, 1.69691e+08
16, 1.69691e+08
56, 1.69691e+08
671, 1.69691e+08
106, 1.69691e+08
756, 1.69691e+08
644, 1.69691e+08
150, 1.69691e+08
727, 1.69691e+08
1067, 1.69691e+08
1209, 1.69691e+08
323, 1.69691e+08
1235, 1.69691e+08
266, 1.69691e+08
607, 1.69691e+08
1015, 1.69691e+08
1106, 1.69691e+08
593, 1.69691e+08
958, 1.69691e+08
698, 1.69691e+08
880, 1.69691e+08
27, 1.69691e+08
1138, 1.69691e+08
198, 1.69691e+08
972, 1.69691e+08
747, 1.69691e+08
346, 1.69691e+08
225, 1.69691e+08
465, 1.69691e+08
53, 1.69691e+08
792, 1.69691e+08
811, 1.69691e+08
977, 1.69691e+08
1132, 1.69691e+08
33, 1.69691e+08
870, 1.69691e+08
459, 1.69691e+08
702, 1.69691e+08
427, 1.69691e+08
145, 1.69691e+08
237, 1.69691e+08
446, 1.69691e+08
169, 1.69691e+08
236, 1.69691e+08
796, 1.69691e+08
410, 1.69691e+08
131, 1.69691e+08
219, 1.69691e+08
687, 1.69691e+08
49, 1.69691e+08
591, 1.69691e+08
79, 1.69691e+08
750, 1.69691e+08
63, 1.69691e+08
919, 1.69691e+08
650, 1.69691e+08
1065, 1.69691e+08
926, 1.69691e+08
90, 1.69691e+08
790, 1.69691e+08
1046, 1.69691e+08
