seed, Total Cost T
304, 1.14505e+09
1082, 1.23237e+09
168, 1.1107e+09
143, 1.04106e+09
182, 1.12805e+09
482, 1.15335e+09
87, 1.08339e+09
766, 1.17497e+09
774, 1.06113e+09
229, 1.17975e+09
733, 1.15828e+09
814, 1.17096e+09
1112, 1.22728e+09
547, 1.14723e+09
845, 1.2082e+09
249, 1.15624e+09
711, 1.16794e+09
455, 1.19017e+09
379, 1.13995e+09
116, 1.1264e+09
309, 1.18062e+09
412, 1.20504e+09
1147, 1.1308e+09
878, 1.0816e+09
905, 1.14962e+09
838, 1.1048e+09
964, 1.1745e+09
596, 1.12641e+09
995, 1.14136e+09
503, 1.12555e+09
662, 1.09884e+09
1126, 1.20693e+09
737, 1.1864e+09
963, 1.26376e+09
598, 1.12924e+09
1041, 1.11287e+09
285, 1.16567e+09
884, 1.15156e+09
805, 1.1336e+09
693, 1.10602e+09
613, 1.16282e+09
648, 1.09992e+09
349, 1.27335e+09
265, 1.2098e+09
16, 1.19455e+09
56, 1.15037e+09
671, 1.18809e+09
106, 1.06156e+09
756, 1.16859e+09
644, 1.14564e+09
150, 1.11288e+09
727, 1.17505e+09
1067, 1.16273e+09
1209, 1.1157e+09
323, 1.20287e+09
1235, 1.08485e+09
266, 1.08e+09
607, 1.14191e+09
1015, 1.13104e+09
1106, 1.19009e+09
593, 1.13933e+09
958, 1.09655e+09
698, 1.14611e+09
880, 1.07592e+09
27, 1.11974e+09
1138, 1.12219e+09
198, 1.14896e+09
972, 1.13838e+09
747, 1.12192e+09
346, 1.17735e+09
225, 1.16008e+09
465, 1.17965e+09
53, 1.15468e+09
792, 1.11964e+09
811, 1.1147e+09
977, 1.17841e+09
1132, 1.1577e+09
33, 1.09529e+09
870, 1.14523e+09
459, 1.1935e+09
702, 1.1409e+09
427, 1.23776e+09
145, 1.13909e+09
237, 1.21881e+09
446, 1.10443e+09
169, 1.12599e+09
236, 1.11635e+09
796, 1.16109e+09
410, 1.23817e+09
131, 1.12734e+09
219, 1.09578e+09
687, 1.14607e+09
49, 1.10621e+09
591, 1.16296e+09
79, 1.12548e+09
750, 1.16591e+09
63, 1.11077e+09
919, 1.11882e+09
650, 1.18102e+09
1065, 1.12951e+09
926, 1.17387e+09
90, 1.10269e+09
790, 1.05969e+09
1046, 1.20356e+09
373, 1.18161e+09
57, 1.11841e+09
1085, 1.10325e+09
1170, 1.18923e+09
1062, 1.11826e+09
826, 1.21118e+09
569, 1.23415e+09
207, 1.15538e+09
798, 1.08042e+09
165, 1.04513e+09
88, 1.14411e+09
6, 1.1136e+09
495, 1.10216e+09
538, 1.09644e+09
959, 1.19765e+09
941, 1.15322e+09
1146, 1.06892e+09
934, 1.15588e+09
1119, 1.18119e+09
1044, 1.0976e+09
655, 1.1943e+09
897, 1.13951e+09
555, 1.25433e+09
257, 1.23305e+09
385, 1.2278e+09
404, 1.20404e+09
848, 1.10391e+09
902, 1.10616e+09
82, 1.08704e+09
1130, 1.17259e+09
1108, 1.18833e+09
895, 1.16563e+09
1011, 1.16699e+09
303, 1.1581e+09
438, 1.18911e+09
968, 1.1179e+09
557, 1.16073e+09
1070, 1.16708e+09
1094, 1.17472e+09
911, 1.17969e+09
1133, 1.11701e+09
36, 1.13309e+09
109, 1.12808e+09
355, 1.12751e+09
661, 1.18125e+09
1023, 1.16716e+09
122, 1.08441e+09
509, 1.14075e+09
499, 1.11237e+09
378, 1.17799e+09
1128, 1.14031e+09
