seed, Total Cost T
304, 1.16615e+09
1082, 1.2503e+09
168, 1.136e+09
143, 1.0635e+09
182, 1.15219e+09
482, 1.1737e+09
87, 1.10408e+09
766, 1.19674e+09
774, 1.08149e+09
229, 1.20485e+09
733, 1.17785e+09
814, 1.19476e+09
1112, 1.24897e+09
547, 1.17217e+09
845, 1.23384e+09
249, 1.17929e+09
711, 1.18921e+09
455, 1.21268e+09
379, 1.15887e+09
116, 1.14589e+09
309, 1.19989e+09
412, 1.22566e+09
1147, 1.1498e+09
878, 1.10179e+09
905, 1.17074e+09
838, 1.12286e+09
964, 1.19398e+09
596, 1.14838e+09
995, 1.16278e+09
503, 1.14754e+09
662, 1.12018e+09
1126, 1.22759e+09
737, 1.20758e+09
963, 1.28414e+09
598, 1.15195e+09
1041, 1.13212e+09
285, 1.18783e+09
884, 1.17457e+09
805, 1.15572e+09
693, 1.12753e+09
613, 1.18564e+09
648, 1.11966e+09
349, 1.29855e+09
265, 1.23084e+09
16, 1.21538e+09
56, 1.17446e+09
671, 1.20935e+09
106, 1.08252e+09
756, 1.19151e+09
644, 1.16574e+09
150, 1.13873e+09
727, 1.19726e+09
1067, 1.18614e+09
1209, 1.13426e+09
323, 1.22404e+09
1235, 1.10506e+09
266, 1.1005e+09
607, 1.16477e+09
1015, 1.14932e+09
1106, 1.20771e+09
593, 1.16033e+09
958, 1.11881e+09
698, 1.16996e+09
880, 1.09597e+09
27, 1.14331e+09
1138, 1.14283e+09
198, 1.17477e+09
972, 1.15632e+09
747, 1.14282e+09
346, 1.19693e+09
225, 1.18122e+09
465, 1.20089e+09
53, 1.17721e+09
792, 1.14344e+09
811, 1.1391e+09
977, 1.19962e+09
1132, 1.17965e+09
33, 1.114e+09
870, 1.16575e+09
459, 1.21618e+09
702, 1.1632e+09
427, 1.25923e+09
145, 1.15984e+09
237, 1.24012e+09
446, 1.12779e+09
169, 1.14762e+09
236, 1.13803e+09
796, 1.18225e+09
410, 1.26013e+09
131, 1.14939e+09
219, 1.11504e+09
687, 1.16555e+09
49, 1.12722e+09
591, 1.18347e+09
79, 1.14497e+09
750, 1.18878e+09
63, 1.13198e+09
919, 1.13854e+09
650, 1.20365e+09
1065, 1.14624e+09
926, 1.1947e+09
90, 1.12391e+09
790, 1.08095e+09
1046, 1.22659e+09
373, 1.20411e+09
57, 1.1406e+09
1085, 1.12199e+09
1170, 1.21292e+09
1062, 1.13642e+09
826, 1.23289e+09
569, 1.25529e+09
207, 1.17678e+09
798, 1.10197e+09
165, 1.0663e+09
88, 1.16693e+09
6, 1.13502e+09
495, 1.12221e+09
538, 1.11747e+09
959, 1.21697e+09
941, 1.17603e+09
1146, 1.0912e+09
934, 1.17466e+09
1119, 1.20157e+09
1044, 1.11833e+09
655, 1.21352e+09
897, 1.16062e+09
555, 1.27698e+09
257, 1.25309e+09
385, 1.251e+09
404, 1.2265e+09
848, 1.12553e+09
902, 1.12522e+09
82, 1.10854e+09
1130, 1.19251e+09
1108, 1.20628e+09
895, 1.18859e+09
1011, 1.18638e+09
303, 1.17866e+09
438, 1.20784e+09
968, 1.13648e+09
557, 1.18108e+09
1070, 1.18697e+09
1094, 1.19307e+09
911, 1.20175e+09
1133, 1.1357e+09
36, 1.15332e+09
109, 1.15153e+09
355, 1.14939e+09
661, 1.20236e+09
1023, 1.1896e+09
122, 1.10927e+09
509, 1.1632e+09
499, 1.1392e+09
378, 1.19724e+09
1128, 1.16392e+09
562, 1.24275e+09
476, 1.06251e+09
833, 1.19597e+09
1110, 1.13748e+09
1022, 1.17671e+09
392, 1.23231e+09
1031, 1.18079e+09
248, 1.22812e+09
35, 1.1355e+09
570, 1.16182e+09
1210, 1.17806e+09
525, 1.11523e+09
994, 1.21168e+09
1071, 1.13692e+09
533, 1.13672e+09
639, 1.19574e+09
595, 1.22553e+09
974, 1.16888e+09
652, 1.20173e+09
0, 1.21886e+09
330, 1.23889e+09
208, 1.1525e+09
667, 1.19374e+09
185, 1.12584e+09
76, 1.13849e+09
948, 1.16656e+09
118, 1.22692e+09
264, 1.22473e+09
548, 1.14761e+09
322, 1.20319e+09
395, 1.14928e+09
551, 1.14487e+09
160, 1.22058e+09
876, 1.09385e+09
1219, 1.15203e+09
297, 1.20978e+09
802, 1.16186e+09
141, 1.11298e+09
231, 1.14269e+09
295, 1.28434e+09
59, 1.1299e+09
