seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 2728.8, 2678.04, 2657.04, 2654.33, 2651.88, 2645.35, 299.199, 278.651, 314.609, 319.749, 332.463, 303.862, 3489.14, 3232.05, 3507.95, 3637.27, 34748.3, 42281.4, 50737.8, 44997.9, 42122.3, 84243.4, 105873, 144430, 207394
1082, 2669.57, 2649.22, 2645.24, 2647.29, 2644.08, 2643.53, 328.521, 283.977, 312.762, 318.776, 281.183, 307.572, 3450.68, 3679.69, 3287.46, 3729.62, 35447.7, 30933.2, 55547.7, 54203.8, 63375.1, 82491.4, 120752, 128460, 219724
168, 2772.07, 2691.12, 2667.23, 2653.9, 2650.95, 2647.96, 288.809, 288.579, 317.851, 317.958, 318.102, 277.196, 3794.58, 3321.28, 3720.14, 3429.08, 35875.2, 47600.5, 53731.7, 45789.1, 45018.2, 104799, 91968.8, 121829, 201116
143, 2736.02, 2690.81, 2669.47, 2661.95, 2641.93, 2642.16, 299.003, 299.17, 308.507, 291.458, 293.458, 310.328, 3543.44, 3331.34, 3155.66, 3629.63, 25837.6, 33896, 53619.9, 51126.9, 53473, 89809, 97478.8, 98633.7, 140342
182, 2745.71, 2692.16, 2674.95, 2660.2, 2655.02, 2643.41, 295.818, 299.95, 327.475, 281.163, 320.54, 290.89, 3436.09, 3699.66, 3409.46, 3417.17, 17286.2, 41288.3, 41095.5, 50084.2, 49535.3, 97637.4, 95019.3, 143514, 157055
482, 2643.61, 2644.78, 2648.37, 2644.37, 2647.03, 2640.91, 311.955, 296.413, 308.908, 321.783, 319.534, 307.581, 3436.14, 3531.16, 3394.78, 3482.06, 31436.8, 39848.4, 54840.4, 57183.6, 54416.4, 93704.1, 104868, 148076, 189405
87, 2719.49, 2668.81, 2653, 2658.63, 2654.01, 2648.78, 317.752, 299.419, 306.655, 299.23, 307.786, 296.156, 3250.39, 3680.64, 3450.21, 3443.29, 33765.5, 49942.7, 48350.2, 47152.3, 46043.6, 97533.1, 91582.3, 137868, 167045
766, 2689.42, 2669.23, 2649.25, 2651.28, 2657.29, 2648.8, 285.041, 278.751, 319.451, 306.384, 305.136, 301.889, 3400.57, 3308.48, 3979.44, 3263, 27306.9, 37134.5, 43693.4, 55881.7, 44357.1, 92790.7, 101445, 114385, 184976
774, 2732.83, 2682.18, 2661.36, 2648.14, 2643.78, 2647.28, 310.971, 283.949, 295.29, 296.843, 301.853, 316.851, 3335.5, 3176.23, 3678.13, 3412.9, 31157.2, 22562, 49317.2, 29042.8, 50151.1, 103131, 102344, 118666, 160843
229, 2693.54, 2659.33, 2652.22, 2643.04, 2646.56, 2644.87, 322.39, 252.843, 306.42, 328.748, 297.44, 307.515, 3310.25, 3764.21, 3391.94, 3576.69, 25997, 27565.5, 58943.5, 44173, 45044.5, 100678, 105942, 138173, 195978
733, 2678.05, 2665.04, 2649.61, 2650.45, 2651.46, 2645.85, 303.101, 299.018, 300.926, 292.638, 321.075, 290.22, 3600.24, 3314.77, 3694.21, 3404.05, 33626.6, 38662.6, 54903.6, 40208.5, 46055.2, 110187, 75507.7, 145242, 192658
814, 2701.75, 2667.04, 2651.83, 2643.98, 2647.71, 2646.89, 297.422, 296.651, 314.492, 318.116, 321.358, 303.153, 3485.18, 3478.04, 3470.17, 3849.72, 32759.1, 29388.2, 56006.9, 47896.4, 43950.6, 107840, 91341.7, 124757, 145177
1112, 2725.74, 2685.03, 2663.99, 2654.35, 2653.26, 2646.43, 326.407, 286.067, 297.9, 320.681, 311.278, 309.789, 3327.67, 3377.23, 3523.79, 3608.9, 27992.8, 44989.1, 56229.1, 53072.3, 51495.7, 90199.5, 107855, 119886, 203849
547, 2692.61, 2663.07, 2645.18, 2637.08, 2644.55, 2636.51, 307.646, 305.753, 303.67, 298.381, 291.82, 276.67, 3738.31, 3537.6, 3411.11, 3291.37, 22695.8, 34000.3, 54675.4, 40308.2, 47342.2, 86236.7, 106883, 138279, 170842
