seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,36965.4,40502.3,40417.8,40372.4,40526.9,40688.9,40713.8,40504,40027.5,39302.8,38388.4,37366.5,438021,355419,322395,302613,812052,1.03633e+06,1.13887e+06,1.02226e+06,1.09624e+06,896692,622970,433919,487010
1050,38372,41839.3,41779.9,41769.4,41926.7,42052.3,42000.7,41675.8,41050.4,40152.1,39052,37845.5,494847,398861,361703,339128,733368,947644,804337,732434,782610,628174,427902,295881,332035
456,37692.8,41633.2,41727.5,41763.9,41950.6,42107.9,42094.5,41812.2,41231.6,40377.3,39317.4,38144.7,440286,354978,322026,302269,869144,1.1359e+06,857633,777531,833646,672803,462931,321391,360750
841,38666,42203.6,42101.8,42050.6,42186.6,42308.3,42267,41965.1,41373.6,40517.3,39463.6,38303.8,459423,368931,333546,312017,842482,1.11426e+06,962378,873269,936072,747914,507769,350028,392710
838,38136.2,41655.2,41605.5,41586.9,41735.7,41858.4,41813.7,41505.1,40904.3,40036.7,38969.7,37795.2,460098,368592,332200,310035,777754,1.04263e+06,838109,752679,809435,649132,441325,303733,340706
757,38010.6,41464.4,41359.9,41319.2,41466.6,41596.3,41557.4,41250.1,40644.2,39764.8,38681.2,37487.4,423856,340555,307641,287787,842944,1.1028e+06,904053,808336,870091,704098,483634,334564,375456
78,37531.8,40759,40716.5,40707.2,40833.1,40916.5,40829.1,40483.4,39855.8,38973,37902.2,36733.1,420265,336563,303587,283745,822445,1.06967e+06,1.27577e+06,1.13819e+06,1.22667e+06,982491,665823,456806,512250
262,36868.1,40760,40832.7,40863.6,41065.2,41259.7,41304.2,41103.8,40626.7,39891.7,38958.8,37912,441730,358410,325813,306491,794317,1.04634e+06,1.00698e+06,909048,972622,798090,557484,390014,437900
1124,38384.1,42540,42720.7,42798.8,43007.5,43173.6,43156.8,42857.8,42247.5,41352.4,40243.8,39018.6,448217,362913,330441,311073,788647,1.03582e+06,850085,769570,823293,672308,467527,326395,366452
378,38387.8,42163.5,42092.1,42040.7,42193.8,42351.8,42360.5,42118.8,41593.5,40805.9,39819.5,38722.6,431928,350686,318861,299818,834996,1.08532e+06,972601,878009,940172,769903,537129,375519,421623
