seed, Total Cost T
304, 9.34889e+08
1082, 9.57796e+08
168, 9.18747e+08
143, 8.71445e+08
182, 9.2931e+08
482, 9.44656e+08
87, 8.92604e+08
766, 9.54147e+08
774, 8.77282e+08
229, 9.76624e+08
733, 9.35333e+08
814, 9.37609e+08
1112, 9.89977e+08
547, 9.29038e+08
845, 9.78188e+08
249, 9.27942e+08
711, 9.45258e+08
455, 9.5349e+08
379, 9.14632e+08
116, 9.16583e+08
309, 9.75286e+08
412, 9.6606e+08
1147, 9.17205e+08
878, 8.84559e+08
905, 9.39792e+08
838, 9.28428e+08
964, 9.41454e+08
596, 9.33348e+08
995, 9.14234e+08
503, 9.26128e+08
662, 9.0078e+08
1126, 9.41279e+08
737, 9.38928e+08
963, 1.00777e+09
598, 9.25361e+08
1041, 9.01216e+08
285, 9.22671e+08
884, 9.29151e+08
805, 9.16679e+08
693, 9.066e+08
613, 9.3667e+08
648, 8.96511e+08
349, 9.8075e+08
265, 9.72234e+08
16, 9.67362e+08
56, 9.23789e+08
671, 9.54307e+08
106, 8.98147e+08
756, 9.30621e+08
644, 9.21644e+08
150, 9.14975e+08
727, 9.5198e+08
1067, 9.48315e+08
1209, 9.10362e+08
323, 9.60511e+08
1235, 8.99635e+08
266, 9.16187e+08
607, 9.0975e+08
1015, 9.2589e+08
1106, 9.54539e+08
593, 9.29111e+08
958, 9.04362e+08
698, 9.52401e+08
880, 9.03803e+08
27, 9.10108e+08
1138, 9.2374e+08
198, 9.24451e+08
972, 9.1291e+08
747, 9.15913e+08
346, 9.50296e+08
225, 9.36087e+08
465, 9.44827e+08
53, 9.23977e+08
792, 8.99665e+08
811, 9.20437e+08
977, 9.40025e+08
1132, 9.75768e+08
33, 8.94536e+08
870, 9.28751e+08
459, 9.559e+08
702, 9.25763e+08
427, 9.86313e+08
145, 9.16018e+08
237, 9.57354e+08
446, 9.25935e+08
169, 9.3021e+08
236, 9.12941e+08
796, 9.2852e+08
410, 9.67025e+08
131, 9.49253e+08
219, 9.04732e+08
687, 9.39749e+08
49, 9.05883e+08
591, 9.48574e+08
79, 9.35916e+08
750, 9.45051e+08
63, 9.24022e+08
919, 8.96172e+08
650, 9.47805e+08
1065, 9.26063e+08
926, 9.23885e+08
90, 9.12543e+08
790, 8.84304e+08
1046, 9.36504e+08
373, 9.63041e+08
57, 9.23439e+08
1085, 9.13284e+08
1170, 9.2718e+08
1062, 9.01309e+08
826, 9.6275e+08
569, 9.90238e+08
207, 9.17477e+08
798, 9.01336e+08
165, 8.80686e+08
88, 9.34533e+08
6, 9.20752e+08
495, 9.182e+08
538, 8.90685e+08
959, 9.75829e+08
941, 9.33313e+08
1146, 8.89785e+08
934, 9.44152e+08
1119, 9.53051e+08
1044, 9.10739e+08
655, 9.48732e+08
897, 9.29693e+08
555, 9.87193e+08
257, 9.72809e+08
385, 9.75004e+08
404, 9.46167e+08
848, 9.16808e+08
902, 8.9669e+08
82, 8.87539e+08
1130, 9.51035e+08
1108, 9.4033e+08
895, 9.22224e+08
1011, 9.4058e+08
303, 9.3629e+08
438, 9.51041e+08
968, 8.99937e+08
557, 9.27896e+08
1070, 9.39581e+08
1094, 9.27142e+08
911, 9.3464e+08
1133, 9.12492e+08
36, 9.46063e+08
109, 9.00872e+08
355, 9.30672e+08
661, 9.49842e+08
1023, 9.41096e+08
122, 8.84189e+08
509, 9.38772e+08
499, 9.05443e+08
378, 9.61738e+08
1128, 9.20752e+08
562, 9.50398e+08
476, 8.67235e+08
833, 9.18782e+08
1110, 9.04461e+08
1022, 9.36347e+08
392, 9.72008e+08
1031, 9.41178e+08
248, 9.54809e+08
35, 9.276e+08
570, 9.22813e+08
1210, 9.1847e+08
525, 8.97712e+08
994, 9.39213e+08
1071, 8.95254e+08
533, 9.02041e+08
639, 9.28644e+08
595, 9.707e+08
974, 8.99401e+08
652, 9.37551e+08
0, 9.47984e+08
330, 9.71683e+08
208, 9.21199e+08
667, 9.49435e+08
185, 9.30655e+08
76, 9.13519e+08
948, 9.17879e+08
118, 9.71557e+08
264, 9.90515e+08
548, 9.02828e+08
322, 9.41338e+08
395, 9.17145e+08
551, 9.06876e+08
160, 9.81781e+08
876, 8.94301e+08
1219, 9.24801e+08
297, 9.65264e+08
802, 9.27757e+08
141, 8.85214e+08
231, 9.15317e+08
295, 1.00231e+09
59, 9.19154e+08
7, 9.4575e+08
752, 9.11713e+08
546, 9.14643e+08
1197, 9.15228e+08
255, 9.12778e+08
490, 9.24765e+08
283, 9.44222e+08
12, 9.61654e+08
129, 8.92872e+08
782, 9.36098e+08
581, 9.34095e+08
692, 9.06747e+08
71, 9.12548e+08
821, 9.24878e+08
426, 8.85519e+08
920, 9.37658e+08
882, 8.91009e+08
102, 9.0467e+08
188, 8.99731e+08
657, 9.21733e+08
840, 9.25347e+08
757, 9.47926e+08
529, 9.01438e+08
630, 9.2799e+08
522, 9.327e+08
350, 9.37306e+08
558, 9.23261e+08
14, 9.29596e+08
605, 9.31579e+08
492, 9.35103e+08
291, 9.60319e+08
588, 9.07872e+08
