seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 1.71272, 1.72733, 1.35037, 1.14969, 1.26894, 1.3285, 0.365216, 0.406157, 0.402176, 0.390688, 0.380906, 0.370254, 4.32279, 4.34755, 4.31455, 4.39791, 6.02965, 7.25266, 63.0744, 22.53, 14.4881, 139.375, 321.101, 78.619, 998.953
1082, 3.04257, 1.81414, 1.32032, 1.20886, 1.22346, 1.19859, 0.365444, 0.407917, 0.402899, 0.390056, 0.379636, 0.368404, 4.27214, 4.31272, 4.31548, 4.42612, 82.9219, 39.3868, 9.08511, 69.6353, 76.8532, 114.42, 133.548, 147.617, 1220.23
168, 2.449, 2.20028, 1.28259, 1.23659, 1.3118, 1.18889, 0.362381, 0.404732, 0.398582, 0.387618, 0.37715, 0.365629, 4.31011, 4.29211, 4.23868, 4.30311, 11.6082, 6.92171, 73.6705, 7.81466, 21.6791, 324.428, 316.91, 147.72, 785.534
143, 2.18117, 2.16928, 1.3554, 1.24712, 1.25946, 1.29002, 0.364428, 0.407167, 0.398945, 0.388184, 0.377449, 0.365807, 4.31892, 4.31341, 4.27065, 4.34544, 9.62155, 21.5397, 17.338, 11.8418, 2.72472, 367.004, 166.923, 102.062, 934.482
182, 1.89561, 1.59555, 1.27041, 1.19397, 1.26501, 1.33487, 0.365945, 0.405597, 0.400921, 0.389423, 0.379101, 0.367768, 4.309, 4.31763, 4.27537, 4.34918, 14.5659, 27.5319, 18.3126, 12.4851, 25.1537, 419.868, 101.355, 153.135, 1055.7
482, 1.76385, 1.44177, 1.31628, 1.30375, 1.12927, 1.20914, 0.368404, 0.40723, 0.404616, 0.391284, 0.38127, 0.370072, 4.30393, 4.34983, 4.34543, 4.45112, 2.47459, 5.41559, 32.5413, 27.2254, 14.731, 123.835, 144.54, 234.176, 2179.73
87, 1.98857, 2.53448, 1.42155, 1.31707, 1.35908, 1.30265, 0.366363, 0.40715, 0.400733, 0.389397, 0.379112, 0.367841, 4.3002, 4.29555, 4.25954, 4.34528, 46.592, 19.8846, 30.918, 38.8966, 7.19481, 90.3859, 166.397, 100.403, 267.624
766, 1.77103, 2.22203, 1.351, 1.21724, 1.20837, 1.19877, 0.367431, 0.410949, 0.403007, 0.389953, 0.379554, 0.368063, 4.26391, 4.30964, 4.29237, 4.38579, 121.089, 9.98135, 20.5227, 33.3551, 20.2846, 200.859, 432.405, 68.1666, 1292.32
774, 1.78891, 1.73193, 1.34798, 1.19079, 1.27985, 1.18059, 0.364637, 0.405841, 0.400724, 0.388709, 0.378352, 0.366897, 4.25931, 4.25746, 4.2174, 4.29245, 9.73058, 6.49164, 30.0619, 10.4394, 42.973, 294.129, 224.193, 67.8515, 1270.26
229, 2.42396, 1.95651, 1.36811, 1.16713, 1.16285, 1.20006, 0.363284, 0.405967, 0.401158, 0.390503, 0.380682, 0.369689, 4.32502, 4.35066, 4.32211, 4.41049, 8.33124, 6.92626, 11.3433, 20.4176, 5.71429, 129.088, 159.047, 92.1914, 1115.48
733, 1.62915, 2.25252, 1.30414, 1.2637, 1.24861, 1.35741, 0.364448, 0.409907, 0.403538, 0.39147, 0.381715, 0.370916, 4.29606, 4.3451, 4.33125, 4.42756, 129.466, 5.37529, 10.9358, 4.08214, 55.9004, 280.457, 419.352, 53.3035, 929.303
814, 2.48925, 2.59697, 1.29125, 1.33612, 1.2824, 1.22793, 0.36528, 0.408264, 0.402729, 0.390761, 0.380836, 0.369753, 4.2863, 4.29569, 4.26652, 4.34967, 12.9532, 21.2952, 5.68801, 7.8064, 4.45042, 141.088, 484.08, 104.581, 811.058
1112, 2.34542, 2.43, 1.40665, 1.26937, 1.2211, 1.23197, 0.365449, 0.408737, 0.40325, 0.39104, 0.380832, 0.36986, 4.27885, 4.33295, 4.32624, 4.42869, 100.754, 11.1569, 12.9807, 9.22329, 21.4543, 199.173, 445.389, 42.8252, 1626.71
547, 1.80557, 1.89194, 1.52063, 1.28735, 1.26257, 1.21759, 0.364035, 0.40447, 0.399877, 0.387777, 0.377207, 0.365494, 4.25255, 4.26141, 4.23888, 4.32981, 93.776, 21.8354, 25.4407, 90.3814, 66.6422, 170.853, 506.562, 182.01, 844.788
845, 2.22947, 1.42653, 1.21867, 1.19144, 1.1735, 1.28529, 0.363441, 0.406776, 0.401078, 0.389086, 0.379423, 0.368447, 4.30492, 4.32341, 4.27627, 4.33991, 7.00995, 25.5064, 3.92791, 19.5339, 23.8279, 185.911, 605.109, 86.6765, 1212.2
249, 2.177, 2.2746, 1.69836, 1.20128, 1.16178, 1.28535, 0.3644, 0.408654, 0.402857, 0.39115, 0.381265, 0.37039, 4.32873, 4.35328, 4.33145, 4.42449, 51.8008, 3.49676, 13.8529, 23.128, 17.0093, 288.766, 163.252, 126.696, 615.112
711, 2.60593, 1.87557, 1.27012, 1.16516, 1.18525, 1.20227, 0.364845, 0.408299, 0.403013, 0.39144, 0.38152, 0.370637, 4.29128, 4.32135, 4.29762, 4.38653, 48.21, 8.83503, 7.75531, 34.3231, 2.72696, 490.842, 287.177, 141.553, 1836.2
455, 3.0873, 1.83718, 1.66779, 1.2305, 1.30231, 1.27065, 0.366262, 0.407785, 0.405259, 0.391627, 0.381588, 0.370601, 4.28029, 4.30422, 4.28913, 4.3848, 9.20894, 20.9102, 10.2224, 8.03243, 6.87331, 510.94, 342.514, 87.229, 1068.05
379, 1.80646, 2.11465, 1.46374, 1.21974, 1.257, 1.30454, 0.366287, 0.408386, 0.404096, 0.392533, 0.38278, 0.371973, 4.29767, 4.33437, 4.31743, 4.4109, 16.713, 25.3943, 5.57182, 83.4252, 90.7518, 156.84, 311.992, 88.6678, 1587.92
