seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 1914.42, 4338.86, 3248.36, 2339.57, 2049.99, 1731.14, 1448.78, 1219.3, 935.572, 699.865, 630.099, 458.071, 2042.02, 2938.6, 2917.53, 2404.46, 151.893, 105.404, 225.858, 437.954, 202.809, 1743.93, 2069.5, 2070.19, 8049.02
1082, 1812.38, 4336.41, 3284.09, 2510.93, 1999.92, 1751.47, 1276.79, 1219.15, 811.252, 722.792, 560.208, 491.125, 2345.08, 2279.36, 2506, 3021.81, 119.783, 140.481, 223.566, 404.76, 191.565, 2022.72, 2303.91, 1966.61, 9669.03
168, 1939.53, 4363.31, 3244.12, 2382.61, 2110.47, 1632.69, 1301.97, 1090.41, 936.141, 773.893, 585.889, 535.063, 2870.97, 2860.86, 2647.46, 2014.58, 119.22, 128.525, 242.396, 345.042, 231.572, 1757.37, 2142.66, 1732.38, 5850.95
143, 1864.39, 4386.89, 3284.54, 2364.24, 2067.44, 1713.26, 1399.56, 1097.86, 968.586, 826.71, 607.767, 539.488, 2442.72, 2549.79, 2868.26, 2505.1, 139.274, 121.908, 154.773, 364.556, 241.586, 2130.9, 1998.57, 1834.26, 6719.73
182, 1891.8, 4432.46, 3274.94, 2376.46, 2062.25, 1604.97, 1373.44, 1189.29, 1047.08, 764.052, 597.947, 481.745, 2463.52, 2662.67, 2753.65, 2214.3, 160.472, 122.023, 203.018, 314.331, 193.749, 1696.7, 2421.83, 1924.41, 5492.03
482, 1885.85, 4258.81, 3357.62, 2367.54, 2005.88, 1628.74, 1424.96, 1116.13, 928.009, 825.712, 605.037, 555.118, 2473.86, 2408.59, 2515.94, 3232.48, 147.084, 122.787, 223.074, 361.186, 205.243, 2093.57, 2246.39, 2006.84, 7756.56
87, 1856.56, 4413.66, 3182.72, 2445.7, 2114.96, 1722.63, 1370.75, 1109.96, 907.069, 799.567, 581.105, 537.11, 2656.14, 2500.76, 2676.26, 2738.66, 162.817, 145.261, 153.167, 301.65, 188.782, 2202.98, 2152.98, 1388.18, 8225.55
766, 1833.27, 4229.74, 3161.18, 2298.77, 1955.46, 1706.09, 1397.75, 1207.65, 977.544, 754.64, 712.08, 510.089, 2619.98, 2589.59, 2540.66, 2943.5, 160.446, 161.26, 226.682, 450.281, 187.174, 2393.55, 2034.32, 2418.3, 9056.58
774, 1965.38, 4340.65, 3291.15, 2420.07, 1963.77, 1724.93, 1370.65, 1143.3, 980.156, 806.034, 588.603, 463.52, 2320.96, 2329.68, 2687.3, 2413.98, 111.546, 139.961, 179.174, 303.608, 154.909, 2056.99, 2242.28, 1573.03, 5943.35
229, 1860.06, 4380.28, 3201.51, 2323.57, 1976.89, 1723.89, 1430, 1115.62, 912.843, 907.461, 602.892, 523.89, 2721.53, 2923.62, 2999.94, 2307.56, 166.276, 191.401, 259.471, 457.504, 219.088, 1735.79, 1863.58, 2657.58, 8522.78
733, 1897.7, 4229.97, 3268.48, 2293.16, 2070.02, 1758.9, 1313.35, 1171.86, 941.383, 776.492, 654.087, 640.151, 2682.21, 2391.84, 2712.68, 3112.17, 155.365, 117.766, 167.03, 307.761, 203.501, 2109.99, 2479.33, 1907.41, 8813.28
814, 1868.08, 4169.88, 3277.73, 2409.28, 2059.18, 1665.76, 1401.97, 1141.98, 956.918, 818.572, 542.053, 527.08, 2655.21, 2774.47, 2381.99, 2443.18, 146.37, 141.524, 192.828, 499.96, 190.21, 2129.19, 2151.23, 2229.42, 8423.42
1112, 1920.75, 4393.44, 3224.45, 2369.74, 2231.81, 1632.81, 1378.67, 1201.49, 924.459, 701.857, 604.213, 573.619, 2448.59, 3096.85, 2867.32, 2618.46, 115.343, 115.512, 235.067, 405.452, 236.148, 2094.02, 2338.3, 2924.72, 8145.69
547, 1896.04, 4269.62, 3164.83, 2303.7, 2157.52, 1742.98, 1302.94, 1115.2, 964.989, 721.194, 555.795, 452.79, 2205.01, 2604.79, 2118.43, 2770.83, 141.985, 129.311, 173.174, 408.107, 176.968, 2065.09, 1883.24, 1901.5, 9352.76
845, 1854.64, 4220.7, 3205.94, 2356.24, 2058.1, 1632.21, 1372.37, 1097.58, 986.655, 784.29, 644.661, 480.502, 2716.06, 2907.82, 2300.21, 2290.1, 128.583, 121.74, 230.688, 377.735, 198.523, 2051.22, 2589.62, 2200.82, 7473.42
249, 1878.23, 4327.67, 3281.06, 2270.35, 2017.26, 1619.96, 1351.45, 1124.38, 998.343, 811.34, 608.478, 543.716, 2344.42, 2646.85, 2538.99, 2786.22, 141.507, 143.487, 248.91, 325.286, 225.005, 1832.41, 2177.73, 2172.22, 8770.09
711, 1800.59, 4466.42, 3193.77, 2316.08, 2094.69, 1722.53, 1362.28, 1208.59, 931.326, 783.634, 592.104, 548.109, 2762.92, 2512.81, 2582.17, 2623.56, 148.884, 140.637, 214.336, 421.039, 206.638, 2300.4, 2648.59, 2332.07, 6666.38
455, 1822.86, 4145.1, 3283.01, 2380.75, 2153.83, 1620.9, 1357.26, 1104.57, 970.696, 857.478, 571.839, 514.457, 2630.85, 2372.59, 2808.39, 3024, 134.115, 112.84, 248.097, 454.002, 212.311, 2600.33, 2483.95, 2163.62, 9330.43
379, 1908.26, 4052.86, 3256.6, 2379.25, 2023.04, 1583.42, 1380, 1137.32, 932.405, 774.065, 558.078, 428.963, 2307.25, 2784.48, 2880.52, 2303.94, 138.211, 143.016, 172.438, 407.417, 229.888, 2569.15, 2428.15, 2039.83, 8333.76
116, 1908.9, 4198.53, 3270.94, 2347.32, 2121.06, 1681.78, 1449.96, 1085.67, 921.405, 736.653, 576.494, 516.421, 2731.43, 2803.37, 2905.59, 2779.77, 158.279, 133.286, 240.168, 360.558, 206.659, 2264.06, 2337.35, 1873.21, 6288.28
309, 1901.58, 4312.77, 3290.66, 2431.18, 2083.3, 1692.14, 1323.56, 1150.4, 1005.5, 796.147, 586.715, 515.905, 2890.81, 2221.25, 2804.78, 2489.3, 147.142, 171.699, 237.796, 482.657, 223.82, 2520.71, 2166.24, 2714.59, 8514.59
412, 1846.96, 4369.2, 3224.93, 2389.85, 2043.68, 1741.97, 1435.06, 1171.31, 937.434, 824.5, 617.522, 517.545, 2817.84, 2684.09, 2839.04, 2821.23, 108.892, 129.424, 198.873, 346.67, 194.019, 2531.18, 2353.51, 2166.32, 7215.85
