seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 41115.2, 44311.3, 43643.6, 43096, 42751.9, 42289.1, 41434.5, 39991.9, 37888.6, 35174.1, 32005.2, 28605.7, 153236, 40656.9, 10801.2, 2688.19, 820.299, 40.0913, 2.36649, 0.0892378, 0.00343289, 0.000124962, 9.23779e-06, 1.33522e-07, -3.62115e-08
1082, 40310.1, 44015.4, 43602.6, 43175.8, 42900.2, 42482.4, 41658.2, 40235.8, 38143.6, 35431.5, 32256.3, 28841.5, 152654, 40168.1, 10664.6, 2669.88, 827.996, 41.7411, 2.5589, 0.09937, 0.00385322, 0.000139932, 1.04363e-05, 4.86515e-08, -6.13134e-08
168, 41847.3, 44550.4, 43815.4, 43271.6, 42912.6, 42413.4, 41508.1, 40009.7, 37851.1, 35086.2, 31875.2, 28443.4, 153961, 39958.6, 10311, 2448.36, 683.242, 28.4325, 1.36896, 0.0441013, 0.00155329, 6.99597e-05, 1.22928e-05, 1.23824e-07, -6.92946e-08
143, 41317, 44506.3, 43891.1, 43363.1, 43004.8, 42507.8, 41608.7, 40117.5, 37964.8, 35202.6, 31988.9, 28548.7, 154042, 39881.9, 10247.1, 2421.19, 669.628, 27.4947, 1.30233, 0.0414798, 0.00143494, 6.11056e-05, 9.99826e-06, 9.92942e-08, -5.73424e-08
182, 41546.8, 44563.5, 43846.9, 43277.6, 42908.4, 42414.4, 41523.5, 40042.4, 37900.7, 35151, 31952.2, 28529.3, 152909, 40137.8, 10515.5, 2564.86, 754.609, 34.4894, 1.88868, 0.0674905, 0.00250992, 9.28478e-05, 8.72841e-06, 1.24819e-07, -3.89383e-08
482, 39839.8, 43834.1, 43529, 43139.4, 42885.2, 42485.8, 41678.7, 40270.3, 38187.5, 35479.1, 32301.5, 28879.6, 153173, 40235.3, 10585.4, 2607.22, 782.677, 37.5653, 2.17239, 0.0805952, 0.00303705, 0.000110543, 9.06496e-06, 1.26826e-07, -3.84594e-08
87, 40964.9, 44165.7, 43649.8, 43196.3, 42883.1, 42413.3, 41531, 40052.5, 37911.9, 35163.1, 31965.1, 28542.5, 153757, 40011.6, 10350.5, 2473.51, 699.67, 29.7784, 1.47775, 0.048539, 0.00170783, 6.6509e-05, 8.6453e-06, 3.90595e-08, -5.7183e-08
766, 40598.8, 44206.7, 43701.4, 43232, 42945, 42529.5, 41711.1, 40291.6, 38196.1, 35473.2, 32280.6, 28844.7, 152232, 40222.2, 10660.3, 2653.46, 811.766, 40.1736, 2.41128, 0.0917245, 0.0035179, 0.000125619, 8.47664e-06, 1.31709e-07, -3.10082e-08
774, 41214, 44422.5, 43757.9, 43214.4, 42871.9, 42404.5, 41538.4, 40078.2, 37953.6, 35217.3, 32028.6, 28612.4, 152931, 40094, 10557.8, 2599.27, 779.792, 37.2283, 2.14711, 0.079789, 0.00303112, 0.000113098, 1.01564e-05, 6.59605e-08, -5.78175e-08
229, 40614.1, 44067.2, 43550.4, 43077, 42773.5, 42338.2, 41504.1, 40079.3, 37990.6, 35286, 32120.8, 28717.8, 154167, 40678.7, 10703.8, 2622.88, 776.324, 35.9526, 1.98881, 0.0713894, 0.00265858, 9.84293e-05, 9.16523e-06, 2.55264e-07, -1.86639e-08
733, 40564.9, 44157.2, 43606.7, 43099.9, 42790.2, 42364.4, 41545.7, 40134.5, 38055.3, 35355.9, 32192.6, 28789.6, 152478, 40662.8, 10943.9, 2792.69, 896.229, 47.654, 3.09748, 0.125114, 0.00497911, 0.000178156, 1.00045e-05, 1.11103e-07, -3.87519e-08
814, 40764.8, 44157, 43592.1, 43114.4, 42830.1, 42419.9, 41608.8, 40199, 38115.3, 35406, 32227.7, 28805.9, 153654, 40423.1, 10654.4, 2617.4, 778.995, 36.9849, 2.10605, 0.077001, 0.00288834, 0.000106239, 8.9951e-06, 8.39771e-08, -4.55869e-08
1112, 41208.3, 44553.8, 43849.3, 43264.6, 42908.5, 42447.9, 41596.6, 40153.3, 38042.8, 35314.8, 32128.1, 28708.4, 151009, 40313.9, 10947.8, 2841.31, 943.551, 52.8708, 3.63288, 0.152832, 0.00622173, 0.000222578, 1.06186e-05, 1.64259e-07, -2.61045e-08
547, 40706.7, 44128.4, 43619.6, 43168, 42883.4, 42457.3, 41622.9, 40187.7, 38081, 35353.9, 32164.5, 28738.2, 153715, 40041.1, 10424.8, 2520.75, 730.669, 33.0742, 1.79175, 0.0639013, 0.00235447, 8.96933e-05, 9.58941e-06, 1.8565e-07, -3.45484e-08
845, 41122.8, 44226.8, 43550.1, 43024.8, 42713.9, 42289.7, 41477.2, 40077.5, 38013.8, 35330.7, 32181.1, 28786.7, 154779, 41186.5, 10945.1, 2709.92, 813.141, 38.4023, 2.16091, 0.0778304, 0.00293387, 0.000113023, 1.17419e-05, 1.64051e-07, -5.4867e-08
249, 40709, 44106.5, 43584.9, 43119.4, 42824.3, 42395, 41565.1, 40141.2, 38050.2, 35340.2, 32167, 28754.4, 153857, 40460, 10636.7, 2606.15, 772.267, 36.0125, 2.01267, 0.0729024, 0.00272275, 0.000100414, 9.16649e-06, 8.99011e-08, -4.83489e-08
711, 40595.5, 44165.3, 43620.9, 43126, 42825.2, 42404.1, 41585.8, 40172, 38087.7, 35381.1, 32209.1, 28796.4, 152906, 40488.1, 10786.1, 2705.36, 840.246, 42.5896, 2.62965, 0.102414, 0.00398496, 0.000144346, 1.00698e-05, 1.78346e-07, -3.27684e-08
455, 40199.8, 43964.5, 43550.1, 43122.1, 42856.4, 42454.5, 41647.2, 40238.7, 38155.3, 35446.3, 32269.1, 28849.1, 153054, 40222, 10616.1, 2628.37, 797.808, 39.0164, 2.31922, 0.0881414, 0.00335925, 0.000118631, 7.54685e-06, 1.01514e-07, -2.84305e-08
379, 41196.4, 44515.8, 43815.1, 43236.2, 42882.6, 42421.8, 41567.8, 40121.9, 38009.8, 35282, 32097.5, 28681.7, 151510, 40299.3, 10873.4, 2789.96, 906.899, 49.4263, 3.30062, 0.1359, 0.00546344, 0.000194592, 9.46413e-06, 1.14363e-07, -2.90507e-08
116, 41387.3, 44327.4, 43696.5, 43208.4, 42892.5, 42431.8, 41561.6, 40093.4, 37958.5, 35209.9, 32007.3, 28576.7, 152969, 40040.5, 10463.1, 2536.93, 736.838, 33.1511, 1.76113, 0.0608339, 0.0022147, 8.32771e-05, 8.74198e-06, 3.86317e-09, -6.19168e-08
309, 40602.9, 44187.9, 43598.7, 43038.2, 42673, 42196.7, 41337.1, 39897.4, 37804.7, 35108.7, 31965.1, 28595, 152411, 40928.6, 11119.4, 2878.54, 948.486, 52.3334, 3.51829, 0.14544, 0.00590289, 0.000210642, 9.5774e-06, 1.80951e-07, -1.51289e-08
412, 40361.7, 44057.4, 43664.1, 43252.8, 42984.6, 42566.7, 41736.4, 40301.3, 38190.9, 35456.9, 32258.3, 28821.4, 152103, 39690.8, 10427.3, 2575.4, 781.631, 38.1899, 2.281, 0.0876285, 0.00334862, 0.000116862, 6.98418e-06, 3.65753e-08, -3.64458e-08
1147, 40440.8, 43964.2, 43463.8, 43015.9, 42751.2, 42358.6, 41565.9, 40175.8, 38112.8, 35423.9, 32264.9, 28859.9, 153205, 40694.5, 10878.1, 2739.43, 855.856, 43.8139, 2.72749, 0.106756, 0.00416842, 0.000150176, 9.80411e-06, 9.65045e-08, -4.42354e-08
878, 40802.4, 44279.4, 43796.3, 43346.1, 43049.1, 42604, 41747.3, 40288.9, 38159, 35409, 32197.4, 28749.8, 153366, 39748.1, 10284.5, 2463.35, 700.588, 30.6663, 1.58114, 0.053729, 0.00194303, 8.36969e-05, 1.33185e-05, 3.97205e-08, -9.2226e-08
905, 40989.7, 44343.7, 43733.6, 43232.6, 42939.3, 42525.6, 41711.5, 40295.4, 38200.9, 35476.2, 32279.2, 28837.3, 152639, 40164.4, 10610.1, 2621.36, 789.944, 38.553, 2.27174, 0.0851645, 0.00323838, 0.000118548, 9.35841e-06, 1.69306e-07, -3.15956e-08
838, 41020.1, 44287.9, 43700.3, 43205.2, 42888.8, 42436.6, 41580.9, 40129.7, 38012.9, 35281.7, 32093.9, 28673.9, 153512, 40220.6, 10529.4, 2564.25, 751.54, 34.2893, 1.86618, 0.0660665, 0.00244729, 9.63322e-05, 1.16989e-05, 2.79602e-07, -3.60663e-08
964, 40827.3, 44198.8, 43574.1, 43061.1, 42765, 42356.5, 41552, 40149.9, 38073.4, 35370.8, 32200.2, 28788.3, 151352, 40617.5, 11084.9, 2890.83, 966.265, 54.9963, 3.81926, 0.161129, 0.00657107, 0.00023403, 9.84395e-06, 1.40862e-07, -1.9689e-08
596, 40779.4, 44321.4, 43778.1, 43272.1, 42945.2, 42489.6, 41633.4, 40182.8, 38065.6, 35332.2, 32140.6, 28715.4, 152784, 40135.4, 10562.8, 2601.97, 781.56, 37.2892, 2.15169, 0.0799573, 0.0030311, 0.00011216, 1.01182e-05, 1.16893e-07, -4.98721e-08
995, 41032.6, 44342.8, 43681.9, 43135.3, 42803.9, 42359.9, 41523.8, 40095.5, 38000.8, 35289.1, 32118, 28712.1, 152264, 40507.5, 10887.1, 2772.95, 887.608, 47.1696, 3.0686, 0.124267, 0.00495659, 0.000178165, 1.0183e-05, 5.56842e-08, -4.94282e-08
503, 41531.2, 44581.4, 43828.6, 43262.3, 42928.6, 42483.2, 41639.8, 40199, 38086.2, 35352.1, 32155.9, 28724.6, 151931, 40111.8, 10700.5, 2693.43, 844.172, 43.5786, 2.76017, 0.109807, 0.00431923, 0.000154309, 9.09962e-06, 1.30255e-07, -3.11196e-08
662, 41188.5, 44203.7, 43454.1, 42893.1, 42567.5, 42137.1, 41320.2, 39915.9, 37848.1, 35164.2, 32020.2, 28640, 153560, 41187.3, 11117.8, 2828.93, 898.847, 46.8092, 2.97566, 0.118271, 0.00469388, 0.000168224, 9.24265e-06, 4.96668e-08, -4.32968e-08
1126, 39844.5, 43828.9, 43539.1, 43172.9, 42941.8, 42562.9, 41773, 40378, 38303.8, 35598.2, 32417.5, 28986.7, 152643, 40201.7, 10635.7, 2645.32, 808.819, 40.0125, 2.39458, 0.090791, 0.00346507, 0.000125716, 9.9553e-06, 2.39879e-08, -6.43345e-08
