seed, Total QALY
304, 322914
1082, 266915
168, 265129
143, 226996
182, 262340
482, 253530
87, 202694
766, 372066
774, 247496
229, 217125
733, 330915
814, 294567
1112, 332844
547, 273918
845, 304183
249, 299622
711, 277202
455, 286092
379, 314055
116, 254246
309, 333599
412, 351878
1147, 322658
878, 237979
905, 221097
838, 294719
964, 271116
596, 310418
995, 422990
503, 283514
662, 245227
1126, 416716
737, 344340
963, 278765
598, 179258
1041, 305940
285, 400404
884, 319843
805, 333265
693, 282204
613, 216817
648, 293302
349, 342930
265, 284187
16, 286872
56, 332131
671, 255007
106, 330859
756, 261654
644, 198397
150, 315933
727, 342791
1067, 305825
1209, 258339
323, 243262
1235, 333190
266, 277515
607, 234720
1015, 237212
1106, 358419
593, 236033
958, 353111
698, 274053
880, 353798
27, 336625
1138, 287911
198, 257382
972, 212741
747, 251400
346, 372089
225, 316392
465, 258779
53, 234568
792, 324349
811, 221065
977, 264803
1132, 388331
33, 313005
870, 276665
459, 267609
702, 307820
427, 268546
145, 253401
237, 361019
446, 317308
169, 274647
236, 282011
796, 315556
410, 274099
131, 353838
219, 346833
687, 363669
49, 292707
591, 322801
79, 250302
750, 335178
63, 233195
919, 290111
650, 247588
1065, 269955
926, 229532
90, 402335
790, 319614
1046, 288313
373, 331233
57, 276581
1085, 333330
1170, 329300
1062, 210531
826, 336693
569, 307377
207, 284577
798, 348451
165, 338217
88, 350259
6, 439041
495, 263341
538, 359389
959, 312926
941, 225014
1146, 246182
934, 276941
1119, 286386
1044, 331756
655, 305936
897, 276773
555, 289831
257, 321072
385, 256398
404, 251240
848, 392008
902, 279814
82, 241656
1130, 424103
1108, 305010
895, 230169
1011, 258582
303, 307941
438, 257613
968, 260012
557, 297410
1070, 349478
1094, 322004
911, 315742
1133, 334009
36, 351780
109, 336933
355, 319620
661, 235235
1023, 325544
122, 263765
509, 308387
499, 354438
378, 369832
1128, 279744
562, 295765
476, 344091
833, 265037
1110, 241251
1022, 359810
392, 327044
1031, 245682
248, 304620
35, 304989
570, 380454
1210, 282515
525, 254091
994, 313313
1071, 235799
533, 258669
639, 320588
595, 245443
974, 286717
652, 307115
0, 300352
330, 341729
208, 252120
667, 382732
185, 299563
76, 264824
948, 247353
118, 296253
264, 369228
548, 243746
322, 348265
395, 280753
551, 302911
160, 329327
876, 302941
1219, 255360
297, 267642
802, 282014
141, 261447
231, 218768
295, 384254
59, 337449
7, 298058
752, 217529
546, 271984
1197, 276024
255, 331643
490, 322285
283, 252395
12, 322618
129, 244814
782, 287849
581, 348582
692, 346868
71, 324057
821, 281515
426, 289672
920, 313632
882, 245377
102, 330658
188, 259405
657, 209861
840, 265344
757, 355101
529, 413949
630, 231256
522, 340471
350, 251416
558, 364994
14, 284649
605, 250461
492, 305596
291, 287363
588, 277859
135, 268951
1123, 284965
1233, 371394
252, 250552
220, 362011
918, 233489
171, 326142
1215, 281369
91, 256391
5, 294071
296, 346129
1086, 287561
61, 295322
571, 253126
510, 195427
307, 309610
383, 281596
475, 254305
925, 263388
993, 284764
651, 287355
1043, 322182
1212, 277734
786, 252487
606, 362574
886, 274090
957, 291433
263, 318475
763, 331952
1056, 296625
809, 510613
443, 274145
338, 271084
26, 286077
1154, 332853
407, 331219
632, 299883
177, 256518
691, 273922
247, 280305
352, 290726
784, 321293
1017, 281573
631, 241084
320, 413256
770, 252650
1188, 220070
452, 316048
1129, 292929
512, 307189
1109, 299069
715, 261938
780, 342783
933, 353693
991, 277923
365, 291853
484, 319011
227, 244178
251, 333729
445, 292059
611, 259895
701, 212498
653, 431888
697, 285578
755, 156716
1036, 379505
94, 318978
846, 319855
235, 264804
113, 274122
66, 310279
975, 249805
997, 264922
396, 240661
327, 322207
