seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 11413.6, 13255.2, 8951.9, 5833.13, 4975.63, 3666.17, 2614.76, 2730.24, 2081.01, 1892.84, 1551.12, 1036.49, 4683.87, 4140.18, 5886.58, 5833.35, 304.112, 211.136, 907.664, 1099.71, 817.608, 5294.34, 6326.68, 14699.5, 24955.8
1082, 10732.8, 13222, 9036.76, 5796.51, 4899.19, 3707.79, 2905.02, 2563.51, 1962.34, 1698.82, 1517.96, 1059.14, 4693.55, 4566.54, 5024.2, 6062.18, 239.849, 281.462, 899.225, 1017.13, 773.487, 6155.83, 7074.47, 15447.4, 38174.3
168, 11559.5, 13111, 9044.21, 5738.46, 4836, 3691.41, 2837.12, 2717.23, 2041.04, 1789.34, 1598.75, 1052.6, 5690.16, 6022.9, 4890.18, 5333.1, 218.608, 230.494, 833.461, 781.149, 875.45, 5284.17, 5466.4, 15400.9, 21725.6
143, 11096.1, 13393.3, 8988.31, 5891.49, 5000.61, 3588.58, 2787.13, 2543.41, 2009.98, 1931.28, 1524.63, 1074.66, 5049.02, 4801.59, 4926.29, 4475.43, 208.543, 266.489, 1005.88, 892.934, 740.362, 5409.97, 4638.09, 15264.6, 22062.3
182, 11258.4, 13453.7, 8975.75, 6024.34, 4919.28, 3622.74, 2979.98, 2797.16, 2135.63, 1882.42, 1517.29, 1105.89, 4428.44, 5925.89, 5286.95, 5288.69, 231.658, 261.059, 857.953, 868.35, 563.844, 7106.21, 6130.51, 14074.1, 24096.7
482, 11261.8, 13253.5, 8782.9, 5825.78, 4954.93, 3572.64, 2922.82, 2610.93, 2085.63, 1861.43, 1575.61, 1136.46, 4952.19, 4824.63, 5042.19, 6481.27, 294.461, 245.936, 896.37, 906.768, 827.327, 6355.89, 6870.21, 14465.8, 25287.7
87, 11066.2, 13224.2, 9073.85, 5934.91, 4937.64, 3676.58, 2816.85, 2637.09, 2070.62, 1808.12, 1565.69, 1082.55, 5474.11, 4510.02, 4573.18, 5785.77, 201.312, 216.372, 792.297, 688.126, 903.234, 4374.83, 6533.94, 13597.6, 22075.1
766, 10891.1, 13165.9, 8995.89, 5870.49, 4944.58, 3733.8, 2891.6, 2753.84, 2166.73, 1741.77, 1685.61, 1090.09, 5243.14, 5186.31, 5091.4, 5901.86, 321.22, 323.003, 910.843, 1130.52, 754.475, 7265.48, 6218.92, 17091.7, 28456
774, 11653.6, 13198.9, 9039.54, 5946.28, 4872.83, 3805.76, 2868.82, 2638.86, 2140.49, 1817.74, 1545.91, 1019.61, 4646, 4667.21, 5386.86, 4841.68, 223.365, 280.421, 720.564, 762.757, 625.118, 6254.47, 6871.98, 12417.5, 20533.1
229, 11032.5, 13187.5, 8860.38, 5784.14, 4974, 3644.11, 2839.33, 2728.57, 2218.51, 1805.5, 1574.69, 1146.19, 5926.5, 4626.11, 4782.74, 5794.36, 391.453, 330.23, 1024.05, 1029.55, 836.483, 5846.27, 6177.39, 13959.4, 31020.5
