seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 1920.35, 4351.91, 3258.97, 2348.05, 2058.16, 1738.64, 1455.38, 1225.15, 940.238, 703.44, 633.352, 460.43, 2045.72, 2949.06, 2931.78, 2419.07, 152.272, 105.785, 228.291, 442.394, 206.454, 1789.79, 2157.62, 5200.62, 8854.98
1082, 1814.06, 4345.25, 3292.53, 2518.49, 2006.75, 1758.1, 1282.25, 1224.72, 815.132, 726.35, 562.993, 493.551, 2348.74, 2287.24, 2518.05, 3040, 120.061, 140.97, 225.972, 408.823, 195.052, 2077.33, 2406.77, 5434.51, 13472.8
168, 1942.96, 4375.97, 3255.01, 2391.47, 2119.03, 1639.75, 1308.23, 1095.92, 941.021, 777.991, 588.986, 537.845, 2875.7, 2870.7, 2660.22, 2026.75, 119.53, 129.004, 245.188, 348.639, 235.801, 1805.07, 2235.43, 4591.03, 6704.94
143, 1868.64, 4400.22, 3295.8, 2373.13, 2075.87, 1720.72, 1406.17, 1103.27, 973.508, 830.974, 610.9, 542.23, 2446.96, 2558.46, 2881.73, 2519.73, 139.609, 122.331, 156.487, 368.19, 245.835, 2187.13, 2083.09, 4797.3, 8426.97
182, 1896.62, 4445.75, 3285.87, 2385.24, 2070.59, 1611.97, 1379.91, 1195.19, 1052.47, 768.064, 601.102, 484.266, 2468.07, 2672.3, 2767.36, 2228.02, 160.878, 122.468, 205.234, 317.571, 197.246, 1741.57, 2524.68, 4811.42, 5750.74
482, 1891.91, 4271.49, 3368.49, 2376.01, 2013.74, 1635.64, 1431.14, 1121.2, 932.375, 829.685, 607.982, 557.819, 2478.39, 2416.64, 2527.28, 3250.55, 147.412, 123.191, 225.324, 364.551, 208.735, 2146.53, 2340.27, 5108.89, 8957.21
87, 1862.09, 4428.75, 3194.76, 2455.86, 2124.52, 1730.99, 1377.85, 1115.98, 912.144, 804.116, 584.416, 540.134, 2661.18, 2510.32, 2690.36, 2756.51, 163.238, 145.805, 154.922, 304.887, 192.336, 2264.14, 2249.4, 3778.75, 10182.5
766, 1835.17, 4238.59, 3169.35, 2305.63, 1962.01, 1712.35, 1403.55, 1212.99, 982.063, 758.225, 715.492, 512.516, 2624.22, 2598.19, 2552.43, 2960.64, 160.823, 161.816, 229.024, 454.666, 190.446, 2455.07, 2119.86, 6044.39, 10093.5
774, 1971.71, 4354.19, 3302.26, 2429.15, 1971.9, 1732.67, 1377.1, 1148.97, 985.204, 810.285, 591.739, 465.982, 2325.16, 2338.05, 2700.48, 2428.76, 111.843, 140.501, 181.245, 306.812, 157.831, 2114.27, 2343.32, 4391.19, 7282.21
229, 1860.41, 4388.49, 3209.35, 2330.12, 1983.05, 1729.76, 1435.71, 1120.35, 916.867, 911.545, 605.603, 526.206, 2725.3, 2932.54, 3013.01, 2320.24, 166.643, 192.014, 261.979, 461.674, 222.635, 1777.09, 1935.49, 5955.28, 8667.26
733, 1901.6, 4240.28, 3277.69, 2300.52, 2077.43, 1765.8, 1318.93, 1177.14, 945.804, 780.24, 657.283, 643.273, 2686.83, 2400.04, 2725.59, 3130.76, 155.728, 118.171, 168.781, 310.813, 207.139, 2165.66, 2586.91, 5025.27, 10543.3
814, 1872.42, 4181.21, 3287.86, 2417.62, 2067.01, 1672.62, 1408.14, 1147.27, 961.507, 822.584, 544.728, 529.664, 2659.68, 2783.81, 2393.06, 2457.4, 146.739, 142.042, 194.932, 504.924, 193.644, 2186.01, 2244.89, 6020.92, 10560.9
1112, 1925.96, 4404.32, 3233.28, 2377.11, 2239.58, 1639.1, 1384.24, 1206.65, 928.617, 705.118, 607.076, 576.354, 2452.98, 3107.56, 2880.75, 2633.68, 115.601, 115.894, 237.472, 409.355, 240.239, 2147.78, 2437, 7417.77, 9401.52
