seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,40883.9,44229.1,43553.4,42991.5,42656.6,42220.5,41400.1,39993.1,37922.3,35234.5,32085.6,28699.5,152303,41112.5,11237.8,2929.8,976.591,54.9238,3.76897,0.157492,0.00642207,0.000230123,1.06764e-05,1.07892e-06,4.70502e-08
1050,41185.3,44399.7,43813.5,43336.5,43036.1,42592,41733.4,40268.5,38128,35365.8,32143.4,28689.2,152026,39508.1,10301.4,2502.76,733.88,34.375,1.93153,0.0702916,0.002629,0.000102443,1.15001e-05,2.07547e-06,9.33994e-08
456,40386.4,44099.5,43669.1,43233.6,42958.5,42543.8,41721.8,40296.4,38194.6,35466.3,32269.9,28831.7,152705,39932.3,10469.7,2565.83,763.988,36.2234,2.07684,0.0769084,0.0028851,0.000102962,7.69152e-06,1.22637e-06,4.87313e-08
841,41217,44463.6,43812.8,43275.3,42935.7,42470.2,41603.5,40141.3,38012.4,35268.8,32069.8,28641.3,152748,39903,10479,2571.4,767.87,36.6792,2.12014,0.0792257,0.00300743,0.000112109,1.0044e-05,1.68747e-06,6.3861e-08
838,41016.3,44281.8,43694.2,43199.4,42883.7,42432.2,41577.6,40127.3,38010.9,35280,32092.3,28672.2,153498,40216.6,10528.4,2564.02,751.476,34.2867,1.86608,0.0660642,0.00244724,9.63315e-05,1.16989e-05,2.20381e-06,8.08428e-08
757,41153,44375,43732.3,43220.7,42912.9,42478.3,41638.3,40195.5,38077.6,35336.7,32133.4,28695.9,151733,40070.4,10620.8,2640.98,806.798,39.6299,2.36593,0.0895825,0.00342945,0.000119355,6.34783e-06,7.88528e-07,3.19414e-08
78,41357.7,44384.3,43798.5,43311,42971.8,42477.6,41572.3,40071,37908.3,35138.8,31922.5,28484.7,153334,39822.7,10280.7,2446.49,685.583,28.5113,1.36425,0.0431336,0.00148717,6.03749e-05,9.03411e-06,1.77288e-06,7.93949e-08
262,40271,43971.7,43480,43008.7,42727.6,42329.3,41535.6,40148.5,38090.4,35407.7,32255.7,28858.3,152492,40932.7,11103.1,2863.53,935.575,51.2622,3.42106,0.140112,0.00562041,0.000200129,9.82092e-06,1.09577e-06,3.86227e-08
1124,40104.1,43948.6,43613.3,43223.3,42967.4,42560.9,41743.8,40323.7,38228.9,35509.2,32321.4,28890.5,152625,40003.3,10528.7,2599.78,785.083,37.9264,2.21362,0.0827746,0.0031349,0.000114231,9.66044e-06,1.67965e-06,6.32454e-08
378,40841,44308.9,43661.4,43098.8,42756.1,42309.5,41474.9,40052.3,37965.9,35264.4,32104.7,28710.8,151592,40774.3,11169.5,2934.12,994.901,57.3574,4.04159,0.172411,0.00708665,0.000253766,1.10836e-05,1.00455e-06,3.62848e-08
