seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 36720.7, 40064.5, 39968.6, 39921.2, 40053.4, 40177.2, 40155.2, 39894.1, 39365.4, 38590.4, 37629.9, 36567.7, 469554, 378486, 341933, 319866, 1.11684e+06, 1.09344e+06, 1.15468e+06, 1.03461e+06, 1.11169e+06, 896379, 612126, 422245, 194732
1082, 38986.4, 43050, 43159.8, 43207.2, 43405, 43568.8, 43553.3, 43257.3, 42650.7, 41759.9, 40655.8, 39435.5, 448548, 363003, 330592, 311195, 1.08657e+06, 1.06321e+06, 799156, 724741, 774599, 632175, 439291, 306701, 160973
168, 35940.2, 38717.2, 38547.6, 38487.1, 38585.6, 38657.3, 38574.7, 38252.4, 37666.8, 36842.3, 35841.4, 34748.3, 439459, 350786, 315328, 293767, 1.06853e+06, 1.04542e+06, 960449, 862249, 930764, 733405, 490483, 334681, 151308
143, 37605.5, 40983.3, 40910.3, 40859.9, 40962.9, 41036.2, 40946.3, 40600.5, 39973, 39089.3, 38016, 36843.1, 463634, 371102, 334383, 312245, 1.10384e+06, 1.08055e+06, 873773, 787005, 849372, 669419, 449069, 307134, 154177
182, 36341.3, 39454.7, 39312.9, 39242.7, 39345.6, 39433.7, 39371.9, 39069.2, 38498.7, 37684.1, 36687.8, 35595, 439161, 352781, 317930, 296834, 1.09179e+06, 1.06932e+06, 1.09625e+06, 977746, 1.05492e+06, 844848, 573531, 393938, 173823
482, 37046.6, 41229.1, 41437.6, 41517, 41723.9, 41896.4, 41898, 41634.6, 41077.5, 40250.8, 39221, 38079.2, 461886, 374064, 340057, 319642, 1.07116e+06, 1.04818e+06, 719469, 652736, 697893, 567568, 392895, 273787, 130580
87, 36847.1, 40209.8, 40240.7, 40271.9, 40429.4, 40544.3, 40490.8, 40183.9, 39599.6, 38762.8, 37737.9, 36611.9, 418392, 334926, 302368, 283068, 1.03634e+06, 1.01506e+06, 1.04928e+06, 940333, 1.01281e+06, 812030, 552705, 380637, 180600
766, 35010.9, 38555.1, 38571.1, 38568, 38722.4, 38857.7, 38837.3, 38567.3, 38019.2, 37215.9, 36221.1, 35122.4, 461099, 373388, 338613, 317529, 1.03353e+06, 1.01161e+06, 745908, 671336, 720145, 584956, 403767, 280447, 131688
774, 38740.1, 42243.4, 42122, 42059.9, 42188.3, 42301.5, 42249.8, 41932.5, 41320.5, 40439.4, 39358, 38169.8, 452816, 362632, 327123, 305440, 1.03031e+06, 1.00699e+06, 759384, 684827, 735144, 588745, 399860, 275198, 125309
229, 38686.7, 42479.4, 42509.1, 42519.7, 42690.2, 42836.6, 42819, 42539.6, 41968.7, 41129.7, 40088.2, 38935, 440625, 355168, 321187, 300786, 1.07068e+06, 1.04899e+06, 1.0728e+06, 961791, 1.03432e+06, 834261, 571034, 394401, 190770
733, 35906.3, 39553.3, 39553.4, 39538.3, 39696.3, 39847, 39850.1, 39609.8, 39096.1, 38330.1, 37373.2, 36310.8, 441425, 357816, 324631, 304615, 1.05082e+06, 1.0288e+06, 765995, 690433, 740246, 603175, 418305, 291365, 138541
814, 38760.4, 42480.4, 42452, 42446.5, 42623.6, 42784.3, 42779.8, 42509.7, 41943, 41102.8, 40055.5, 38893.2, 454209, 364865, 329798, 308547, 1.09618e+06, 1.07208e+06, 1.05017e+06, 949139, 1.01695e+06, 817437, 557165, 384607, 186089
1112, 36059.6, 39450.1, 39314.3, 39230.5, 39346.4, 39465.6, 39439.8, 39172.8, 38633.9, 37845.3, 36869.6, 35793.1, 459169, 372594, 338587, 318023, 1.12111e+06, 1.0974e+06, 641853, 579639, 621285, 505699, 350671, 244286, 116946
547, 36097.7, 39566.2, 39566.3, 39569, 39722.4, 39845.3, 39801.6, 39498.5, 38909.1, 38058.5, 37012.9, 35862.7, 472007, 378963, 343132, 321536, 1.04895e+06, 1.02509e+06, 369624, 336343, 360893, 287403, 195141, 134655, 59940.3
845, 33584.7, 36549.4, 36433.5, 36386.5, 36511, 36629.3, 36613.2, 36375.7, 35889.5, 35173.6, 34283.5, 33297.3, 421707, 339403, 305554, 284652, 951601, 931329, 1.11933e+06, 997622, 1.07266e+06, 864455, 587681, 403734, 189438
249, 39161.4, 42948.9, 42977.7, 42997.1, 43177.1, 43331.3, 43316.7, 43037.3, 42463, 41617.5, 40567, 39403.1, 429563, 346288, 313547, 293946, 1.05445e+06, 1.033e+06, 1.07485e+06, 966674, 1.03819e+06, 838399, 575046, 397905, 183684
711, 37690.5, 41485.6, 41484.3, 41473.8, 41643.6, 41802.5, 41804.4, 41548.5, 41003.6, 40192.3, 39179.5, 38055.2, 440287, 355306, 321689, 301312, 1.13008e+06, 1.10556e+06, 846312, 764110, 819378, 662824, 455903, 316184, 144226
455, 37664.2, 41675.6, 41791.7, 41840.6, 42041.8, 42217.3, 42224.1, 41965.3, 41410.9, 40584.3, 39551.8, 38404.7, 430635, 347020, 314671, 295324, 1.16649e+06, 1.14145e+06, 838393, 760153, 814719, 659279, 455069, 316572, 158448
379, 38658.3, 42278, 42150.4, 42080, 42220.9, 42364.7, 42357.1, 42094.9, 41545.8, 40732.5, 39720.3, 38599, 448084, 362122, 328309, 307905, 1.10498e+06, 1.08126e+06, 914239, 825552, 884462, 718093, 495751, 344613, 157465
116, 38546.3, 41794.7, 41726.5, 41729.7, 41892.4, 42023, 41986.3, 41689.9, 41107.1, 40262.7, 39222.6, 38076.2, 438062, 351739, 317983, 297853, 1.00847e+06, 987869, 1.20714e+06, 1.08052e+06, 1.16056e+06, 936306, 638739, 440196, 204168
309, 36150.9, 39852, 39860.2, 39837.9, 39987.5, 40137.1, 40151.7, 39938.5, 39467.5, 38757.5, 37865.5, 36870.5, 468884, 379809, 345035, 324527, 1.14038e+06, 1.11704e+06, 1.34856e+06, 1.21427e+06, 1.29885e+06, 1.06399e+06, 739797, 516210, 245982
412, 40236.9, 44435.1, 44575, 44641, 44850.6, 45018.1, 44993.6, 44677.1, 44038.4, 43105.7, 41953.4, 40682.1, 434175, 351382, 319920, 301279, 1.18191e+06, 1.15719e+06, 847632, 769991, 825279, 670381, 466135, 325947, 142740
1147, 36950.8, 40623.7, 40638.5, 40649.2, 40827.8, 40986.6, 40982.1, 40715.7, 40157.1, 39329.9, 38300.2, 37159.8, 461113, 374036, 339951, 319296, 1.08835e+06, 1.06497e+06, 938535, 848843, 908437, 738820, 510950, 355696, 170460
