seed, Total Cost T
304, 1.05903e+09
1082, 1.14577e+09
168, 1.0266e+09
143, 9.47349e+08
182, 1.03823e+09
482, 1.0667e+09
87, 9.96567e+08
766, 1.08597e+09
774, 9.72422e+08
229, 1.09987e+09
733, 1.07239e+09
814, 1.08924e+09
1112, 1.13767e+09
547, 1.06434e+09
845, 1.11401e+09
249, 1.07015e+09
711, 1.07554e+09
455, 1.10181e+09
379, 1.04672e+09
116, 1.03989e+09
309, 1.09505e+09
412, 1.11633e+09
1147, 1.03437e+09
878, 9.84668e+08
905, 1.06162e+09
838, 1.00961e+09
964, 1.09155e+09
596, 1.04352e+09
995, 1.0491e+09
503, 1.04311e+09
662, 1.02315e+09
1126, 1.12227e+09
737, 1.10118e+09
963, 1.18822e+09
598, 1.04608e+09
1041, 1.0267e+09
285, 1.08268e+09
884, 1.06536e+09
805, 1.04757e+09
693, 1.01599e+09
613, 1.07183e+09
648, 1.01303e+09
349, 1.19077e+09
265, 1.12314e+09
16, 1.1088e+09
56, 1.06335e+09
671, 1.1064e+09
106, 9.74677e+08
756, 1.08129e+09
644, 1.05932e+09
150, 1.02689e+09
727, 1.09416e+09
1067, 1.08926e+09
1209, 1.02299e+09
323, 1.11451e+09
1235, 1.00158e+09
266, 9.94181e+08
607, 1.05857e+09
1015, 1.04596e+09
1106, 1.10194e+09
593, 1.05727e+09
958, 1.00558e+09
698, 1.05997e+09
880, 9.87329e+08
27, 1.02844e+09
1138, 1.03431e+09
198, 1.06707e+09
972, 1.05134e+09
747, 1.03409e+09
346, 1.096e+09
225, 1.06942e+09
465, 1.08896e+09
53, 1.06889e+09
792, 1.03251e+09
811, 1.03012e+09
977, 1.09252e+09
1132, 1.06943e+09
33, 1.00262e+09
870, 1.0548e+09
459, 1.1064e+09
702, 1.05141e+09
427, 1.15259e+09
145, 1.05446e+09
237, 1.13325e+09
446, 1.0166e+09
169, 1.03596e+09
236, 1.02176e+09
796, 1.07893e+09
410, 1.1565e+09
131, 1.04848e+09
219, 1.00571e+09
687, 1.06463e+09
49, 1.01518e+09
591, 1.08227e+09
79, 1.04138e+09
750, 1.08181e+09
63, 1.02281e+09
919, 1.02545e+09
650, 1.09122e+09
1065, 1.04515e+09
926, 1.08284e+09
90, 1.00594e+09
790, 9.74696e+08
1046, 1.11413e+09
373, 1.09982e+09
57, 1.03045e+09
1085, 1.00737e+09
1170, 1.1009e+09
1062, 1.02539e+09
826, 1.12047e+09
569, 1.14339e+09
207, 1.07083e+09
798, 9.86748e+08
165, 9.65965e+08
88, 1.05559e+09
6, 1.02571e+09
495, 1.01127e+09
538, 1.00819e+09
959, 1.1146e+09
941, 1.06737e+09
1146, 9.81398e+08
934, 1.07443e+09
1119, 1.09707e+09
1044, 1.00721e+09
655, 1.1102e+09
897, 1.05739e+09
555, 1.16399e+09
257, 1.14711e+09
385, 1.15363e+09
404, 1.11504e+09
848, 1.01169e+09
902, 1.01412e+09
82, 1.00439e+09
1130, 1.08021e+09
1108, 1.09807e+09
895, 1.08253e+09
1011, 1.07613e+09
303, 1.06982e+09
438, 1.10593e+09
968, 1.03056e+09
557, 1.07349e+09
1070, 1.07381e+09
1094, 1.08806e+09
911, 1.08661e+09
1133, 1.02893e+09
36, 1.04611e+09
109, 1.05129e+09
355, 1.04152e+09
661, 1.10183e+09
1023, 1.07808e+09
122, 9.95639e+08
509, 1.05042e+09
499, 1.03276e+09
378, 1.10544e+09
1128, 1.04828e+09
562, 1.1306e+09
476, 9.4995e+08
833, 1.0836e+09
1110, 1.03282e+09
1022, 1.06433e+09
392, 1.1265e+09
1031, 1.07748e+09
248, 1.11739e+09
35, 1.03134e+09
570, 1.05433e+09
1210, 1.07181e+09
525, 1.0088e+09
994, 1.10945e+09
1071, 1.02425e+09
533, 1.02614e+09
639, 1.08876e+09
