seed, Total Cost T
304, 1.06522e+09
1082, 1.15238e+09
168, 1.03364e+09
143, 9.54209e+08
182, 1.04442e+09
482, 1.07388e+09
87, 1.00232e+09
766, 1.09245e+09
774, 9.79125e+08
229, 1.10617e+09
733, 1.07827e+09
814, 1.09692e+09
1112, 1.14395e+09
547, 1.07191e+09
845, 1.12208e+09
249, 1.07648e+09
711, 1.08258e+09
455, 1.10912e+09
379, 1.05308e+09
116, 1.0457e+09
309, 1.10061e+09
412, 1.1222e+09
1147, 1.04101e+09
878, 9.92075e+08
905, 1.06914e+09
838, 1.01642e+09
964, 1.09743e+09
596, 1.04975e+09
995, 1.05556e+09
503, 1.0491e+09
662, 1.02887e+09
1126, 1.12852e+09
737, 1.10787e+09
963, 1.19317e+09
598, 1.05258e+09
1041, 1.03186e+09
285, 1.0888e+09
884, 1.07298e+09
805, 1.05405e+09
693, 1.02309e+09
613, 1.07966e+09
648, 1.01911e+09
349, 1.19706e+09
265, 1.12868e+09
16, 1.11394e+09
56, 1.06948e+09
671, 1.11207e+09
106, 9.80888e+08
756, 1.08867e+09
644, 1.06524e+09
150, 1.03416e+09
727, 1.10087e+09
1067, 1.0952e+09
1209, 1.02951e+09
323, 1.12049e+09
1235, 1.00881e+09
266, 1.00164e+09
607, 1.0653e+09
1015, 1.05161e+09
1106, 1.10808e+09
593, 1.06334e+09
958, 1.01304e+09
698, 1.06736e+09
880, 9.93668e+08
27, 1.03463e+09
1138, 1.04149e+09
198, 1.07362e+09
972, 1.0576e+09
747, 1.04083e+09
346, 1.10162e+09
225, 1.07683e+09
465, 1.09569e+09
53, 1.0751e+09
792, 1.03955e+09
811, 1.03778e+09
977, 1.09937e+09
1132, 1.07593e+09
33, 1.00791e+09
870, 1.06171e+09
459, 1.11329e+09
702, 1.05887e+09
427, 1.15859e+09
145, 1.06015e+09
237, 1.13931e+09
446, 1.02405e+09
169, 1.04182e+09
236, 1.02804e+09
796, 1.08575e+09
410, 1.1624e+09
131, 1.0548e+09
219, 1.01151e+09
687, 1.07009e+09
49, 1.02087e+09
591, 1.08831e+09
79, 1.04723e+09
750, 1.0885e+09
63, 1.02862e+09
919, 1.03244e+09
650, 1.09768e+09
1065, 1.05083e+09
926, 1.08989e+09
90, 1.01289e+09
790, 9.81196e+08
1046, 1.12078e+09
373, 1.10566e+09
57, 1.03676e+09
1085, 1.0136e+09
1170, 1.1079e+09
1062, 1.03183e+09
826, 1.12722e+09
569, 1.15011e+09
207, 1.07587e+09
798, 9.94411e+08
165, 9.71929e+08
88, 1.06178e+09
6, 1.03084e+09
495, 1.0178e+09
538, 1.0152e+09
959, 1.11994e+09
941, 1.07424e+09
1146, 9.89415e+08
934, 1.08011e+09
1119, 1.10348e+09
1044, 1.01363e+09
655, 1.11554e+09
897, 1.06442e+09
555, 1.17087e+09
257, 1.15185e+09
385, 1.16016e+09
404, 1.12203e+09
848, 1.01887e+09
902, 1.02148e+09
82, 1.01023e+09
1130, 1.08679e+09
1108, 1.10414e+09
895, 1.08947e+09
1011, 1.08245e+09
303, 1.0756e+09
438, 1.11133e+09
968, 1.03689e+09
557, 1.08036e+09
1070, 1.08007e+09
1094, 1.09384e+09
911, 1.0931e+09
1133, 1.03505e+09
36, 1.05137e+09
109, 1.0575e+09
