seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 1.75903, 1.76187, 0.781626, 0.507005, 0.618873, 0.73312, 0.228516, 0.274632, 0.290379, 0.298648, 0.305613, 0.309472, 4.07731, 4.27728, 4.28443, 4.38435, 6.04518, 7.28276, 63.6712, 22.5314, 14.6873, 142.295, 333.479, 196.72, 2662.39
1082, 2.99827, 1.79426, 0.765902, 0.542107, 0.604229, 0.670746, 0.231413, 0.278378, 0.293089, 0.300287, 0.306453, 0.309598, 4.0465, 4.2544, 4.29027, 4.41417, 83.1073, 39.5339, 9.17002, 69.6263, 77.9239, 116.896, 138.986, 406.357, 3623.17
168, 2.43999, 2.1963, 0.703419, 0.532284, 0.631868, 0.656659, 0.224191, 0.270014, 0.283864, 0.292303, 0.298632, 0.301776, 4.04136, 4.21286, 4.20381, 4.28621, 11.6412, 6.95224, 74.3866, 7.80612, 21.9681, 331.126, 329.026, 389.561, 2221.38
143, 2.14876, 2.147, 0.739779, 0.480427, 0.556905, 0.646273, 0.217315, 0.263571, 0.277469, 0.287167, 0.29421, 0.298073, 4.03774, 4.22988, 4.23293, 4.32594, 9.64643, 21.627, 17.4939, 11.8191, 2.75851, 374.154, 173.061, 265.506, 2603.84
182, 1.91242, 1.59952, 0.675585, 0.492465, 0.595824, 0.702357, 0.224096, 0.269333, 0.28486, 0.293612, 0.300538, 0.3042, 4.05149, 4.24358, 4.24428, 4.33591, 14.6049, 27.6466, 18.4844, 12.4863, 25.4979, 428.61, 105.212, 381.222, 2797.29
482, 1.69435, 1.40765, 0.762399, 0.517674, 0.56895, 0.659365, 0.229612, 0.275084, 0.291482, 0.299096, 0.305943, 0.309442, 4.06732, 4.2835, 4.31426, 4.43371, 2.47976, 5.4347, 32.8088, 27.1808, 14.9106, 126.202, 149.869, 593.214, 5894.89
87, 1.9063, 2.44043, 0.840445, 0.541171, 0.630802, 0.693769, 0.228785, 0.274502, 0.288263, 0.296506, 0.302756, 0.305843, 4.0388, 4.22054, 4.22989, 4.33442, 46.722, 19.9702, 31.2346, 38.932, 7.30139, 92.4289, 173.217, 272.31, 780.371
766, 1.7331, 2.18454, 0.781075, 0.50685, 0.575872, 0.646278, 0.226275, 0.273861, 0.287732, 0.295656, 0.302535, 0.306111, 4.02897, 4.24599, 4.26451, 4.37225, 121.38, 10.0198, 20.7025, 33.3382, 20.55, 204.891, 448.678, 169.633, 3427.38
774, 1.85346, 1.77282, 0.8166, 0.529549, 0.626936, 0.659847, 0.227529, 0.273267, 0.287987, 0.295701, 0.302171, 0.305404, 4.01403, 4.19045, 4.18762, 4.27732, 9.75789, 6.52058, 30.3573, 10.4281, 43.5699, 300.432, 233.184, 188.495, 3816.07
229, 2.324, 1.90144, 0.826689, 0.527417, 0.590587, 0.678708, 0.231312, 0.278031, 0.292363, 0.300713, 0.307041, 0.310108, 4.08309, 4.2804, 4.29174, 4.39647, 8.35042, 6.95136, 11.4357, 20.4057, 5.78294, 131.464, 164.508, 205.725, 2619.84
