seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 1.77954, 1.77955, 0.769397, 0.499749, 0.617343, 0.737337, 0.231625, 0.278515, 0.294324, 0.30252, 0.309277, 0.312883, 4.1124, 4.28253, 4.30228, 4.4113, 6.04399, 7.27889, 63.7537, 22.7585, 14.7485, 143.04, 334.774, 197.502, 2673.05
1082, 3.02507, 1.8119, 0.75636, 0.535888, 0.604106, 0.675893, 0.234527, 0.282217, 0.296984, 0.304111, 0.310078, 0.312988, 4.08275, 4.26024, 4.30899, 4.44189, 83.106, 39.5236, 9.18288, 70.3344, 78.2521, 117.509, 139.51, 407.921, 3637.21
168, 2.46963, 2.21808, 0.691407, 0.523661, 0.631115, 0.663069, 0.227675, 0.274309, 0.288231, 0.296567, 0.302665, 0.305525, 4.07826, 4.21768, 4.22219, 4.31442, 11.6369, 6.94746, 74.519, 7.89612, 22.0751, 333.235, 330.632, 391.476, 2232.35
143, 2.17229, 2.16509, 0.725657, 0.468762, 0.554323, 0.648903, 0.22075, 0.267861, 0.281899, 0.291527, 0.298355, 0.301947, 4.07632, 4.23564, 4.25262, 4.35567, 9.64343, 21.6143, 17.53, 11.9598, 2.77264, 376.688, 173.981, 266.933, 2617.89
182, 1.93335, 1.61657, 0.663569, 0.483388, 0.594462, 0.704949, 0.227072, 0.273087, 0.288685, 0.297372, 0.304103, 0.307522, 4.08637, 4.24831, 4.26156, 4.36212, 14.601, 27.6321, 18.5125, 12.6138, 25.6077, 430.973, 105.66, 382.869, 2809.44
482, 1.71473, 1.42544, 0.752709, 0.506094, 0.571709, 0.664857, 0.232891, 0.2792, 0.295654, 0.303228, 0.309882, 0.313141, 4.10358, 4.29026, 4.33456, 4.4638, 2.47983, 5.43338, 32.8696, 27.479, 14.9817, 126.968, 150.58, 596.151, 5924.26
87, 1.9254, 2.45598, 0.828927, 0.530506, 0.627737, 0.696794, 0.231809, 0.278257, 0.292077, 0.300232, 0.306266, 0.309094, 4.07355, 4.22481, 4.24662, 4.35981, 46.707, 19.9589, 31.2722, 39.3141, 7.33029, 92.8954, 173.848, 273.306, 783.242
766, 1.75243, 2.20091, 0.769661, 0.4979, 0.575389, 0.650758, 0.229271, 0.2776, 0.291582, 0.299461, 0.306154, 0.3095, 4.06333, 4.25129, 4.28248, 4.39931, 121.36, 10.0157, 20.7347, 33.68, 20.6392, 206.021, 450.586, 170.378, 3442.53
774, 1.87675, 1.79278, 0.804225, 0.521436, 0.625273, 0.665543, 0.230978, 0.277561, 0.292346, 0.299978, 0.306215, 0.309166, 4.05088, 4.19519, 4.20622, 4.30597, 9.75527, 6.51664, 30.4093, 10.5495, 43.7838, 302.32, 234.296, 189.411, 3834.73
229, 2.34519, 1.91777, 0.817536, 0.521762, 0.5917, 0.68395, 0.234209, 0.281604, 0.295991, 0.304268, 0.310412, 0.313254, 4.11602, 4.28506, 4.30854, 4.42185, 8.34873, 6.94842, 11.4529, 20.6037, 5.8068, 132.159, 165.184, 206.589, 2630.9
733, 1.6161, 2.23468, 0.724951, 0.525431, 0.613258, 0.732246, 0.233596, 0.283124, 0.297524, 0.305493, 0.312177, 0.31558, 4.10457, 4.2891, 4.32255, 4.44219, 129.755, 5.39375, 11.0504, 4.12263, 56.8997, 287.857, 437.548, 140.434, 2624.44
814, 2.44078, 2.55892, 0.727692, 0.553492, 0.627167, 0.692404, 0.235186, 0.282869, 0.297015, 0.304561, 0.310707, 0.313575, 4.08069, 4.2327, 4.25447, 4.36229, 12.9844, 21.373, 5.75006, 7.8839, 4.53077, 144.853, 505.156, 282.438, 2358.12
1112, 2.2837, 2.37941, 0.789952, 0.505617, 0.586959, 0.66697, 0.22982, 0.27837, 0.293869, 0.302437, 0.309331, 0.313078, 4.08941, 4.27895, 4.318, 4.4429, 100.969, 11.1937, 13.1135, 9.31207, 21.8261, 204.286, 464.189, 108.615, 4402.73
547, 1.76566, 1.85918, 0.927362, 0.538405, 0.606417, 0.675197, 0.2322, 0.278047, 0.292399, 0.299818, 0.305483, 0.307906, 4.04533, 4.19921, 4.22643, 4.34062, 93.9731, 21.906, 25.7025, 91.2056, 67.7422, 175.107, 527.093, 453.932, 2248
845, 2.20916, 1.42418, 0.580281, 0.437746, 0.517437, 0.629554, 0.21794, 0.266049, 0.282429, 0.292263, 0.300516, 0.305159, 4.07241, 4.24932, 4.25935, 4.35106, 7.02778, 25.6051, 3.97107, 19.737, 24.269, 190.886, 631.212, 219.795, 3282.01
249, 2.23798, 2.33064, 1.12781, 0.497167, 0.571283, 0.69793, 0.228834, 0.277531, 0.292536, 0.300931, 0.307866, 0.311531, 4.11294, 4.28701, 4.31887, 4.43775, 51.9181, 3.50885, 13.9994, 23.3571, 17.3109, 296.328, 170.224, 327.308, 1698.46
711, 2.52345, 1.84209, 0.662655, 0.469713, 0.55116, 0.639795, 0.224937, 0.273473, 0.289546, 0.29903, 0.306583, 0.310806, 4.07854, 4.25601, 4.28397, 4.39789, 48.3147, 8.86456, 7.83421, 34.647, 2.7734, 503.216, 299.025, 349.366, 4823.9
455, 3.3015, 1.908, 1.12299, 0.508097, 0.61676, 0.693349, 0.228016, 0.275439, 0.292984, 0.300342, 0.307538, 0.311449, 4.07001, 4.24125, 4.27725, 4.39719, 9.22851, 20.9786, 10.3272, 8.10813, 6.99101, 524.023, 356.947, 226.247, 2966.82
379, 1.70297, 2.00152, 0.816613, 0.465496, 0.560106, 0.673815, 0.224917, 0.273304, 0.290224, 0.300226, 0.308141, 0.31257, 4.08966, 4.2717, 4.30584, 4.42436, 16.7513, 25.4839, 5.63154, 84.2596, 92.393, 161.031, 325.685, 238.888, 4598.99
