seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 1889.36, 4286.84, 1497.74, 1067.45, 1052.39, 990.4, 907.952, 824.942, 675.888, 534.988, 505.55, 382.873, 1926.05, 2891.1, 2897.17, 2397.05, 152.284, 105.841, 227.995, 437.981, 205.597, 1780.47, 2149.27, 5180.02, 21452.1
1082, 1784.96, 4280.68, 1566.06, 1177.6, 1047.79, 1018, 810.437, 833.401, 591.061, 556.445, 452.215, 412.73, 2221.22, 2248.54, 2491.37, 3013.65, 120.051, 141.006, 225.655, 404.708, 194.234, 2066.49, 2397.73, 5413.67, 28709.7
168, 1908.96, 4303.16, 1464.79, 1079.92, 1075.65, 924.584, 806.147, 728.058, 667.132, 583.593, 463.914, 441.62, 2691.96, 2808.04, 2625.68, 2006.67, 119.558, 129.092, 244.752, 344.666, 234.659, 1793.65, 2224.58, 4568.57, 16545.7
143, 1833.49, 4324.41, 1410.81, 1004.67, 998.102, 928.814, 836.752, 712.387, 674.291, 611.575, 473.735, 439.594, 2283.69, 2500.41, 2842.93, 2493.86, 139.634, 122.402, 156.165, 363.858, 244.582, 2172.42, 2072.07, 4771.65, 18723.9
182, 1867.18, 4381.63, 1450.96, 1047, 1029.07, 896.343, 843.133, 790.257, 744.617, 576.07, 474.031, 398.476, 2316.29, 2617, 2733.63, 2207.55, 160.902, 122.532, 204.922, 314.36, 196.399, 1732.02, 2513.98, 4790.73, 14552.3
482, 1853.47, 4198.49, 1576.37, 1085.47, 1030.38, 931.577, 893.084, 755.107, 670.368, 631.171, 485.501, 464.171, 2337.86, 2371.86, 2497.9, 3219.84, 147.391, 123.22, 224.908, 360.595, 207.745, 2133.58, 2329.22, 5083.72, 20977
87, 1829.25, 4360.4, 1455.9, 1120.73, 1090.87, 987.728, 859.371, 749.876, 653.431, 608.83, 464.066, 446.582, 2494.68, 2457.1, 2657.63, 2731.81, 163.272, 145.886, 154.736, 301.924, 191.578, 2252.77, 2241.23, 3764.98, 23985.1
766, 1805.7, 4176.72, 1455.4, 1033.09, 987.054, 961.032, 864.371, 807.675, 699.288, 572.155, 567.584, 424.232, 2475.62, 2551.34, 2524.17, 2934.42, 160.832, 161.88, 228.668, 450.052, 189.622, 2441.61, 2110.88, 6017.96, 24019.1
774, 1936.13, 4281.35, 1540.29, 1115.31, 1011.65, 986.36, 856.537, 770.323, 704.752, 613.171, 470.089, 385.834, 2187.3, 2293, 2668.32, 2405.47, 111.859, 140.585, 180.935, 303.28, 157.06, 2101.07, 2332.2, 4369.94, 17854.8
229, 1833.42, 4329.04, 1529.17, 1098.34, 1043.65, 1007.98, 911.706, 764.824, 666.08, 698.805, 486.267, 439.458, 2569.3, 2876.41, 2978.85, 2300.22, 166.659, 192.094, 261.585, 457.239, 221.72, 1767.75, 1927.57, 5930.38, 20016.8
733, 1871.8, 4181.93, 1550.2, 1066.83, 1078.8, 1019.66, 833.141, 801.639, 686.948, 599.041, 529.253, 539.294, 2542.57, 2358.27, 2696.61, 3104.59, 155.722, 118.204, 168.539, 307.903, 206.316, 2154.79, 2577.01, 5005.45, 24790.7
814, 1836.13, 4109.75, 1584.01, 1145.27, 1088.14, 972.689, 891.872, 780.961, 696.572, 629.039, 436.473, 441.62, 2506.02, 2730.51, 2364.59, 2433.78, 146.758, 142.117, 194.535, 499.047, 192.651, 2171.46, 2232.84, 5987.43, 24353.9
1112, 1891.82, 4339.1, 1477.36, 1063.84, 1129.71, 924.315, 858.123, 809.486, 666.481, 536.343, 485.323, 480.562, 2320.51, 3054.29, 2849.96, 2611.08, 115.594, 115.925, 237.129, 405.362, 239.255, 2136.7, 2427.63, 7388.62, 21959.3
547, 1861.79, 4204.89, 1513.97, 1084.37, 1129.21, 1007.97, 821, 755.61, 696.268, 549.638, 444.133, 376.754, 2079.16, 2563.19, 2102.42, 2758.86, 142.314, 129.796, 174.606, 407.085, 178.991, 2102.57, 1949.46, 4717.07, 24754.6
845, 1821.78, 4156.82, 1347.26, 973.44, 971.811, 871.087, 812.029, 707.732, 684.692, 579.754, 503.047, 392.531, 2544.51, 2854.17, 2280.1, 2279.33, 128.942, 122.283, 232.723, 376.916, 201.075, 2091.3, 2685.78, 5547.58, 20112.9
249, 1853.97, 4278.57, 1480.76, 1015.34, 1019.77, 915.554, 838.608, 754.404, 716.125, 616.432, 485.657, 452.432, 2208.56, 2603.59, 2521.25, 2777.78, 141.855, 144.043, 251.136, 325.174, 228.002, 1869.94, 2260.93, 5587.08, 24109.2
711, 1769.54, 4402.66, 1417.36, 1003.08, 1028.31, 950.442, 829.547, 799.021, 660.483, 590.295, 469.647, 454.131, 2602.49, 2471.42, 2562.21, 2612.7, 149.223, 141.164, 216.127, 420.272, 209.149, 2343.91, 2744.7, 5727.4, 17426.4
455, 1796.81, 4090.82, 1479.9, 1049.08, 1072.72, 904.882, 833.858, 735.313, 692.088, 648.551, 454.965, 427.218, 2479.49, 2334.63, 2787.66, 3012.1, 134.413, 113.247, 250.165, 453.178, 214.909, 2650.33, 2576.02, 5583.54, 25786.7
379, 1873.91, 3994.98, 1415.85, 1014.56, 983.851, 868.807, 838.324, 751.564, 661.867, 584.178, 443.737, 356.378, 2176.02, 2740.62, 2860.11, 2296.08, 138.54, 143.574, 174.008, 407.112, 232.992, 2622.76, 2523.77, 5471.31, 24028.9
116, 1882.96, 4150.4, 1542.08, 1111.98, 1124.68, 986.721, 926.662, 745.61, 673.224, 567.846, 465.32, 433.395, 2575.1, 2758.73, 2887.63, 2774.24, 158.753, 133.9, 242.698, 361.044, 209.87, 2317.01, 2436.16, 5249.41, 19013.4
309, 1877.14, 4263.31, 1562.95, 1139.39, 1096.81, 991.933, 848.935, 795.317, 740.931, 619.564, 478.283, 437.264, 2738.48, 2188.68, 2787.63, 2483.14, 147.46, 172.324, 239.918, 482.968, 226.84, 2572.54, 2248.58, 6505.21, 21627.4
