seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,1884.17,4119.38,1637.59,1211.53,1092.02,1065.94,908.599,896.809,721.528,642.563,509.725,418.283,1870.69,3070.57,2591.85,2650.75,144.051,98.5317,223.121,325.355,266.2,2427.62,2561.62,5881.45,18875.3
1050,1828.23,4374.11,1559.49,1140.32,1091.42,1020.01,904.191,768.728,737.504,611.562,483.61,397.344,2049.5,2633.95,2803.35,2932.84,110.656,130.059,182.727,361.877,212.755,1642.56,2489.31,5433.7,22340.8
456,1843.86,4383.82,1492.96,1026.84,1019.2,1019.01,850.574,793.978,679.314,625.183,488.641,438.668,2313.4,2765.62,2524.81,2553.74,112.048,120.957,262.881,383.829,199.347,2410.45,1946.07,5051.28,22738.8
841,1881.81,4317.62,1482.38,1052.41,1007.54,988.601,864.714,748.759,665.068,602.632,557.425,477.246,2505.86,3103.46,2406.11,2302.35,129.931,113.584,224.902,406.902,177.573,2260.67,1829.41,4570.78,22292.9
838,1948.71,4316.64,1406.9,1036.7,1005.95,955.145,754.609,712.961,693.733,563.079,457.403,470.848,2821.68,2725.37,3040.61,2931.15,166.261,126.598,245.246,327.364,175.717,2328.44,2461.73,4120.66,18474
757,1903.86,4358.42,1531.29,1091.7,1002.43,1027.19,954.427,795,660.641,637.044,445.836,434.239,2679.73,3122.62,3327.84,2357.78,136.997,129.975,259.23,364.877,218.321,1740.34,2471.59,5941.77,24437.9
78,1957.3,4406.61,1488.59,1146.12,1099.32,980.059,881.676,778.288,718.913,572.138,472.783,427.823,2378.57,2299.13,2487.51,2428.68,123.958,109.652,250.742,384.121,168.902,2280.88,2176.96,4041.69,19391.4
262,1806,4377.47,1438.29,996.068,998.134,951.302,879.994,722.221,666.833,579.475,448.918,439.305,2211.96,3034.48,3005.35,2811.06,114.784,161.413,196.228,402.788,244.714,2343.58,2224.5,5241.29,23175.3
1124,1860.66,4173.65,1406.42,1053.31,1098.66,967.71,889.697,762.52,697.416,589.281,500.879,463.888,2003.51,2196.61,2606.05,2312.38,147.558,160.125,228.366,473.208,188.827,2262.47,2323.77,4243.6,23089.5
378,1912.02,4228.61,1525.61,1035.28,1176.39,1028.78,940.273,774.69,684.491,553.623,545.018,440.489,3166.37,2811.91,2770.63,3163.44,130.874,138.513,219.407,367.27,188.98,2490.2,2291.4,5621.65,25192.4
