seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,40883.9,44229.1,19403.6,17031.6,17863.9,19072.8,20130.1,20811.7,20982,20583.4,19649.2,18293.5,106510,30572.1,8822.46,2437.12,870.199,51.8345,3.67601,0.155831,0.00639503,0.000229756,1.06711e-05,1.07883e-06,1.3557e-07
1050,41185.3,44399.7,18416,16226.9,17114,18301.7,19317.7,19961.6,20107.3,19699.8,18770.8,17430.3,100171,27366,7475.31,1919.17,605.566,30.531,1.81217,0.0680888,0.00259214,0.000101923,1.14923e-05,2.07534e-06,2.85174e-07
456,40386.4,44099.5,17509.4,14993.7,15886.9,17172.2,18314.4,19097.6,19388.3,19123.5,18326.8,17101.1,99161.7,27416.2,7564.57,1966.78,632.57,32.3569,1.95884,0.0747467,0.00284925,0.000102467,7.68423e-06,1.22625e-06,1.68715e-07
841,41217,44463.6,16676.7,14203.4,15116.1,16401.7,17548.1,18347.7,18668.2,18445.7,17701.5,16535.5,96775.9,26790.8,7424.93,1940.04,628.734,32.541,1.99234,0.0768671,0.00296805,0.000111558,1.00358e-05,1.68734e-06,2.31026e-07
838,41016.3,44281.8,16082.2,13641.5,14574.4,15867,17023.2,17840.5,18188.5,18002.2,17299.2,16175.2,94806.9,26236,7232.98,1874.06,596.436,29.6058,1.71954,0.0633548,0.0024016,9.56936e-05,1.16895e-05,2.20366e-06,3.06765e-07
757,41153,44375,17977.4,15626.2,16515.1,17755.4,18842.7,19566.3,19794.3,19467,18611.9,17336.2,100307,28033.4,7823.69,2063.26,679.655,35.8849,2.25137,0.0875094,0.00339526,0.000118888,6.34105e-06,7.8842e-07,1.04906e-07
78,41357.7,44384.3,17824.2,15789.9,16644.7,17747.7,18681.5,19260.3,19363.1,18935.6,18007.4,16684.2,96114.2,25949.6,6967.62,1744.23,524.528,23.5857,1.20895,0.0402377,0.00143765,5.96811e-05,9.02394e-06,1.77272e-06,2.47466e-07
262,40271,43971.7,16978.2,14359.8,15320,16723.9,17997.3,18913.5,19330.8,19180.1,18481.1,17335.2,101976,29324.9,8446.39,2322.18,818.903,47.8713,3.31899,0.138286,0.00559069,0.000199725,9.81503e-06,1.09567e-06,1.4189e-07
1124,40104.1,43948.6,16876.2,14403.3,15382.8,16747.6,17963.6,18817.5,19176.1,18974.8,18234.7,17056.7,99187.7,27583.3,7658.22,2009.38,655.822,34.1344,2.09844,0.0806803,0.00310019,0.000113753,9.6534e-06,1.67954e-06,2.35207e-07
378,40841,44308.9,17600.6,15057.8,16004,17372,18600.2,19462.5,19819.1,19605.7,18847.3,17650.1,103799,29970.3,8725.72,2441.48,890.213,54.3817,3.95368,0.170851,0.00706153,0.000253428,1.10787e-05,1.00447e-06,1.22102e-07
