seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,40335.5,43722.5,19839.1,17276.8,17890.5,18970.1,19968.1,20637.3,20825.7,20464.5,19577,18268.4,107591,31355.3,9081.21,2514.75,898.399,53.0907,3.73994,0.157998,0.00650777,0.00023413,1.09216e-05,1.10099e-06,1.38033e-07
1050,40440.4,43696.1,19021.6,16561,17148.3,18160.5,19096.3,19722.9,19892.6,19535.4,18669.9,17394.1,101656,28378.9,7809.09,2017.21,639.476,31.9906,1.87974,0.0701101,0.0026817,0.000106228,1.19563e-05,2.13166e-06,2.91819e-07
456,39653.5,43408.8,18065,15312.9,15924.9,17040.5,18102,18864.2,19173.8,18953.8,18215.3,17050.3,100531,28374.1,7880.35,2060.21,665.392,33.7373,2.02137,0.0765976,0.0029315,0.000105843,7.97155e-06,1.25876e-06,1.72504e-07
841,40376.5,43673.1,17387.2,14616.3,15187.5,16268,17316.4,18089.1,18429.7,18257.7,17579.7,16482.6,98298.7,27854.8,7779.08,2045.48,666.043,34.1566,2.06793,0.0791633,0.0030718,0.000116166,1.04696e-05,1.73745e-06,2.36878e-07
838,40208.9,43521.1,16808.4,14065.3,14655.6,15742.4,16799,17587.2,17953.2,17815.3,17177,16121,96275.5,27272.8,7580.98,1978.54,633.683,31.2121,1.79297,0.0654992,0.00249384,0.000100158,1.21946e-05,2.26669e-06,3.14301e-07
757,40482.7,43754.6,18555.6,15953.6,16562.7,17637,18646.3,19350.1,19596.9,19313.1,18514.4,17297.1,101606,28943.2,8124.2,2152.71,711.389,37.2387,2.31453,0.0894111,0.0034804,0.000122076,6.54035e-06,8.07795e-07,1.07142e-07
78,40653.8,43722.4,18382.9,16091.8,16672.4,17615.1,18474.9,19037.4,19162.3,18781.9,17913.5,16651.8,97538.7,26926.1,7292.37,1840.79,558.348,24.9995,1.26977,0.0418812,0.00150042,6.26869e-05,9.3799e-06,1.81759e-06,2.52841e-07
262,39640.4,43381.4,17555.1,14701.6,15385.1,16621.8,17815,18708.5,19140.9,19029.5,18382.2,17290.1,103096,30168.9,8727.65,2407.01,849.79,49.2498,3.38844,0.140585,0.00570699,0.000204242,1.00892e-05,1.12145e-06,1.44812e-07
1124,39409,43290.6,17447.9,14734.9,15431.5,16625.1,17758.8,18589.6,18964.7,18805.6,18121.4,17002,100428,28500.8,7961.48,2099.64,687.79,35.4891,2.16048,0.0825344,0.00318494,0.000117448,1.00116e-05,1.72324e-06,2.40409e-07
378,40238.7,43750.7,18126.5,15366.2,16058.4,17273.6,18429.1,19271.9,19644,19467.9,18758,17610.7,104844,30768,8988.74,2520.58,919.181,55.6794,4.02144,0.173218,0.00718952,0.000258358,1.13459e-05,1.02672e-06,1.24518e-07
