seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,36966.6,40503.4,19996.8,19999.7,22473.5,24950.7,27110.2,28886.8,30260.4,31232.9,31833.4,32117.5,419040,349878,320315,301852,1.06523e+06,1.04406e+06,1.13905e+06,1.02227e+06,1.09624e+06,896692,622970,433919,487010
1050,38373.5,41840.5,19562.6,19674.6,22251.9,24787.4,26982.5,28777.3,30151.5,31108.3,31680.5,31929.5,471394,392272,359242,338220,977691,955371,804491,732440,782610,628174,427902,295881,332035
456,37694.2,41634.3,18845.5,18767,21440.8,24124.3,26466.2,28398.5,29900.7,30974.1,31648.8,31982.9,418387,348771,319731,301432,1.17006e+06,1.14519e+06,857789,777536,833646,672803,462931,321391,360750
841,38667.7,42204.9,18259.3,18304.8,21071.8,23814.9,26206.4,28187.5,29739.8,30865,31592,31977.8,435782,362090,330966,311066,1.14963e+06,1.12401e+06,962575,873276,936073,747914,507769,350028,392710
838,38138,41656.6,17544.4,17626.7,20395.5,23127.4,25508.6,27482.4,29031.2,30155.9,30884.3,31271.5,434751,361218,329443,309026,1.07611e+06,1.05243e+06,838298,752686,809435,649132,441325,303733,340706
757,38012.2,41465.7,19010.9,18994.2,21560.6,24118.3,26345.1,28174.8,29584.6,30574.7,31175.2,31444.6,402751,334570,305443,286990,1.1363e+06,1.11227e+06,904237,808343,870091,704099,483634,334564,375456
78,37533.3,40760.2,18650,19003.4,21558.2,24002.5,26099.1,27804.4,29105.2,30007,30541.6,30766.6,398129,330016,301148,282861,1.10103e+06,1.07861e+06,1.27602e+06,1.1382e+06,1.22667e+06,982491,665823,456806,512250
262,36869.4,40761.1,18146.4,18085.3,20832.7,23602.7,26030.2,28051.5,29647.2,30816.8,31586.6,32009.7,420468,352292,323548,305670,1.07663e+06,1.05488e+06,1.00716e+06,909054,972622,798090,557484,390014,437900
1124,38385.5,42541.1,18678.7,18626.3,21445.8,24269.1,26732.9,28767.8,30353.2,31490.2,32210.1,32573.7,426079,356803,328205,310257,1.06661e+06,1.04429e+06,850237,769576,823293,672308,467527,326395,366452
378,38389.1,42164.6,19116.9,19038.1,21783.9,24553,26978.2,28990.5,30568,31711.4,32449.8,32840.5,412367,345149,316797,299062,1.11674e+06,1.09379e+06,972765,878015,940172,769903,537129,375519,421623
