seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 11440.9, 13287, 6345.71, 3657.09, 3172.53, 2531.85, 1987.64, 2259.66, 1840.4, 1753.96, 1480.9, 1006.69, 4623.99, 4116.93, 5880.96, 5844.38, 304.521, 211.566, 913.154, 1105.98, 825.808, 5371.48, 6474.55, 15670.7, 64533.7
1082, 10772.8, 13257.8, 6199.89, 3450.78, 2966.57, 2456.82, 2142.56, 2078.79, 1712.79, 1561.42, 1442.29, 1025.92, 4635.09, 4542.51, 5019.27, 6071.59, 240.105, 281.935, 903.878, 1022.05, 780.202, 6234.45, 7222.2, 16375.5, 86355.5
168, 11603, 13150.8, 6281.45, 3480.37, 2971.72, 2467.58, 2101.83, 2207.21, 1781.89, 1643.73, 1517.41, 1017.91, 5603.15, 5980.25, 4881.87, 5341.19, 218.905, 230.965, 838.711, 785.608, 884.146, 5361.6, 5592.92, 16390.1, 57197.5
143, 11121.4, 13423, 6309.55, 3600.86, 3082.66, 2398.71, 2063.22, 2063.13, 1752.14, 1771.77, 1445.53, 1038.44, 4972.59, 4767.79, 4917.3, 4481.02, 208.787, 266.963, 1011.58, 897.492, 746.984, 5481.99, 4736.05, 16163.3, 52077.2
182, 11274.4, 13475.1, 6223.14, 3661.78, 3040.49, 2436.94, 2224.02, 2285.89, 1872.9, 1734.81, 1443.32, 1071.2, 4365.88, 5888.75, 5280.77, 5298.82, 231.983, 261.611, 863.377, 873.534, 569.703, 7213.65, 6277.99, 15025.8, 65196.6
482, 11258, 13259.1, 6091.51, 3529.05, 3052.64, 2399.57, 2180.09, 2133.65, 1829.54, 1716.29, 1499.86, 1101.96, 4888.37, 4797.01, 5036.19, 6491.3, 294.801, 246.378, 901.288, 911.367, 834.933, 6442.12, 7022.66, 15394.3, 63165.9
87, 11080.2, 13244, 6229.11, 3577.87, 3037.21, 2468.47, 2099.84, 2153.93, 1815.34, 1665.8, 1488.64, 1047.82, 5390.26, 4478.93, 4566.6, 5795.73, 201.572, 216.797, 797.043, 691.992, 912.068, 4437.42, 6683.19, 14470.6, 55387.2
766, 10914.2, 13191.5, 6212.87, 3511.52, 2998.58, 2473.09, 2132.23, 2232.22, 1890.53, 1600.61, 1601.47, 1055.89, 5176.79, 5158.22, 5086.61, 5912.39, 321.623, 323.625, 916.085, 1136.65, 761.776, 7368.11, 6361.25, 18213.2, 72286
774, 11672.1, 13220.6, 6252.9, 3582.96, 2978.89, 2537.26, 2124.55, 2144.48, 1870.05, 1671.16, 1468.54, 987.065, 4580.98, 4637.92, 5379.5, 4849.45, 223.666, 280.996, 724.97, 767.022, 631.318, 6345.3, 7031.8, 13231.7, 53759.4
229, 11065.2, 13222.4, 6013.09, 3375.93, 2946.79, 2369.08, 2065.1, 2191.04, 1923.63, 1652.22, 1491.61, 1107.5, 5838.95, 4595.15, 4775.52, 5803.47, 391.94, 330.856, 1029.91, 1035.11, 844.451, 5927.58, 6315.54, 14846.3, 76330
733, 11261, 13302.2, 6299.92, 3625.34, 3067.5, 2405.25, 2179.2, 2203.89, 1728.81, 1677.66, 1527.56, 1048.54, 6021.13, 4850.23, 5942.86, 4114.37, 288.878, 239.179, 752.119, 872.544, 900.97, 6892.64, 7128.05, 14252.8, 69957.7
814, 11158.8, 13484.5, 6296.85, 3519.05, 3027.82, 2418.23, 2128.47, 2166.45, 1882.2, 1697.93, 1399.22, 1060.53, 5240.49, 5522.23, 4767.19, 4906.73, 293.455, 284.078, 779.719, 1262.3, 774.567, 6560.6, 6736.45, 18142.5, 73381.3
1112, 11394.9, 13575.1, 6381.12, 3842.33, 3131.94, 2609.91, 2252.07, 2271.34, 1800.31, 1729.8, 1452.06, 1041.31, 6016.05, 5686.29, 5238.48, 6457.95, 236.779, 296.297, 906.574, 1120.67, 1088.48, 7001.37, 6084.74, 16275.7, 77959.4
547, 11279.5, 13208.5, 6143.03, 3355.51, 2889.15, 2445.89, 2025.02, 2050.25, 1784.39, 1592.12, 1450.47, 1007.6, 4532.16, 5455.4, 4601.88, 4466.91, 317.746, 278.116, 807.378, 796.006, 883.768, 7123.05, 5669.35, 14289.8, 74571.1
845, 11093.7, 13109.7, 6214.7, 3472.16, 2941.68, 2371.52, 2208.19, 2176.92, 1853.9, 1646.14, 1534.22, 1027.76, 5947.79, 6012.2, 5782.85, 4893.38, 243.318, 237.185, 776.321, 791.738, 774.185, 6700.08, 7251.16, 14587.4, 75032.6
249, 11127.6, 12945.6, 6191.65, 3517.33, 3131.73, 2402.54, 2095.53, 2160.34, 1900.09, 1681.5, 1490.31, 1080.69, 4628.3, 5269.62, 5082.7, 5596.91, 283.666, 287.963, 1006.16, 821.261, 915.974, 5643.42, 6813.99, 16909.5, 72558.1
711, 10790.9, 13423.4, 6120.92, 3580.29, 2902.61, 2402.24, 2112.87, 2147.78, 1829.87, 1653.03, 1502.51, 1032.04, 5783.47, 5705.6, 5083.04, 5197.88, 253.253, 243.714, 741.374, 849.199, 932.096, 7433.39, 7090.71, 16581.6, 71940.1
455, 10842.6, 13186.1, 6172.84, 3577.15, 3050.27, 2465.54, 2158.97, 2101.34, 1814.84, 1689.02, 1485.57, 969.144, 4604.44, 4713.65, 5229.15, 5336.66, 282.868, 250.373, 742.787, 948.476, 699.981, 6189.62, 6575.74, 19870.5, 70513.7
379, 11400.8, 13256.5, 6226.11, 3599.97, 3142.77, 2377.74, 2188.12, 2175.67, 1902.35, 1571.12, 1476.93, 1032.81, 4514.72, 5221.56, 4338.67, 4714.6, 244.046, 304.751, 866.841, 1035.83, 674.431, 5797.49, 8402.34, 18949.1, 64944.3
116, 11348.6, 13339.1, 6208.89, 3472.84, 2981.45, 2490.82, 2124.6, 2092.27, 1832.43, 1583.49, 1454.83, 1057.07, 5385.29, 5579.04, 5817.97, 5587.13, 317.405, 267.63, 971.881, 911.325, 842.76, 6988.06, 7336.66, 15875.1, 57177.3
309, 11317.8, 13519, 6531.46, 3889.8, 3268.56, 2625.62, 2152.81, 2272.2, 1964.18, 1702.25, 1481.42, 1066.43, 5720.21, 4427.88, 5617.93, 5001.17, 294.926, 344.536, 960.613, 1218.09, 910.586, 7754.12, 6767.84, 19662.5, 65004.3
412, 11038.1, 12993.4, 6128.15, 3419.5, 2882.96, 2531.94, 2153.46, 2182.12, 1831.13, 1717.77, 1515.6, 1050.71, 5567.43, 5347.58, 5685.44, 5667.93, 218.233, 259.675, 803.889, 875.166, 789.78, 7798.97, 7373.7, 18129.7, 64801.3
1147, 11191.3, 13146.8, 6161.78, 3486.53, 3078.87, 2492.98, 2147.9, 2167.24, 1814.91, 1647.85, 1428.59, 1034.91, 5389.52, 4834.52, 7007.46, 5214.22, 211.011, 250.541, 874.751, 858.164, 703.462, 5212.89, 6563.12, 17470.8, 59639.2
878, 10915.8, 13432.8, 6204.55, 3528.89, 3039.47, 2394.61, 2090.81, 2122.37, 1741.57, 1616.58, 1533.48, 1085.37, 5223.02, 5479.94, 4606.74, 4481.98, 276.156, 283.523, 862.44, 983.832, 821.637, 6739.39, 7596.16, 12237.9, 58873.1
905, 11260.5, 13477, 6214.63, 3544.52, 2987.63, 2514.84, 2057.86, 2225.75, 1858.36, 1662.01, 1576.77, 1118, 4558.72, 5227.9, 5841.43, 5657.86, 264.081, 246.58, 831.864, 721.683, 953.451, 6583.34, 7227.69, 14136.9, 72587
838, 11591.4, 13483.7, 6011.94, 3402.06, 2902.91, 2409.04, 1903.09, 2042.51, 1860.91, 1589.43, 1448.54, 1106.88, 5878.7, 5514.35, 6106.66, 5871.26, 332.538, 253.192, 980.974, 818.4, 702.86, 6988.06, 7387.13, 12416.5, 55353.2
964, 11207.5, 13448.9, 6220.73, 3537.94, 2963.69, 2488.84, 2181.59, 2145.51, 1840.01, 1786.04, 1515.71, 1079.93, 5578.75, 5583.01, 5310.07, 5085.3, 282.491, 315.474, 826.091, 851.169, 1021.75, 7220.1, 7208.58, 17410.1, 68024.6
596, 10912, 12984.5, 6262.65, 3626.92, 2973.92, 2441.02, 2101.07, 2155.25, 1790.58, 1602.33, 1504.08, 1022.76, 5592.41, 5725.37, 6133, 5217.55, 253.26, 266.981, 807.685, 894.565, 802.339, 7279.39, 6202.88, 15342.4, 58171.1
995, 11310.6, 13354.4, 6091.05, 3409.27, 2928.62, 2416.94, 2197.93, 2120.85, 1773.81, 1716.57, 1464.73, 1035.21, 4814.62, 5181.92, 5347.57, 5538.73, 245.803, 235.806, 1037.02, 1096.14, 1032.72, 7425.16, 6269.12, 17593.2, 62543.7
503, 11476.9, 13344.8, 6269.15, 3549.3, 3055.24, 2466.75, 2193.15, 2076.51, 1857.87, 1720.71, 1502.6, 988.846, 4355.43, 5901.28, 5543.02, 5040.94, 291.671, 261.638, 875.981, 1089.7, 600.229, 7007.22, 6915.19, 14283, 63520.5
662, 11292.5, 13035.9, 6086.52, 3471.11, 3095.23, 2466.92, 2033.18, 2141.63, 1912.41, 1689.78, 1464.25, 1009.97, 5428.26, 4073.16, 5939.64, 6019.42, 302.269, 292.102, 812.917, 967.447, 810.293, 6319.8, 7682.89, 12297.6, 53904.1
1126, 10717.3, 12730.3, 6117.7, 3439.93, 2984.73, 2328.6, 2105.27, 2131.13, 1807.51, 1590.1, 1521.08, 1027.14, 5413.19, 3942.24, 4166.3, 4744.38, 303.448, 300.854, 825.753, 755.003, 796.122, 6502.12, 8214.09, 19154.3, 74348.6
737, 11408, 13604.8, 6169.11, 3461.17, 2916.6, 2502.45, 2030.18, 2145.28, 1829.4, 1667.49, 1512.17, 1001.65, 4706.88, 5009.7, 4794.98, 4929.53, 268.88, 250.847, 752.389, 940.247, 881.384, 6580.12, 8120.88, 16908.4, 70619.4
963, 11711.8, 13572.6, 6145.22, 3451.21, 2979.75, 2573.49, 2061.36, 2231.55, 1844.27, 1722.79, 1519.18, 1103.05, 5801.73, 5548.12, 6264.14, 5188.68, 257.805, 265.508, 893.473, 969.416, 823.329, 8187.81, 7806.12, 17712.4, 77063.3
598, 10938.7, 13114.9, 6324.24, 3495.66, 2744.14, 2521.04, 2126.54, 2200.95, 1919.56, 1728.42, 1506.32, 1072.95, 4497.77, 5315.44, 5671, 5489.14, 248.603, 274.013, 787.864, 798.536, 903.359, 6735.34, 6864.21, 15621.7, 66470.8
1041, 11085.8, 13603.1, 6445.34, 3659, 3138.38, 2518.24, 2227.75, 2162.34, 1807.43, 1706.34, 1426.22, 1004.19, 4957.1, 5372.08, 4965.44, 5846.09, 285.472, 224.237, 824.276, 921.277, 898.539, 6167.21, 6939.94, 15981.6, 56148.3
285, 11600.8, 13263.9, 6292.89, 3547.13, 3023.15, 2447.27, 2102.5, 2091.3, 1851.86, 1656.95, 1530.5, 1036.38, 5064.01, 5389.7, 5427.05, 5964.24, 338.61, 238.926, 952.73, 952.875, 890.912, 6107.7, 6973.2, 15618.5, 74632.7
884, 11602, 13303.6, 6210.6, 3509.16, 3007.36, 2458.25, 2089.82, 2167.01, 1830.26, 1561.26, 1463.39, 1021.44, 4941.8, 5945.03, 5338.78, 6152.02, 241.573, 304.628, 943.132, 738.97, 775.421, 5859.57, 7360.09, 14644.3, 67369.5
805, 11159.7, 13427.4, 6246.06, 3524.36, 2942.11, 2429.48, 2144.42, 2138.6, 1827.93, 1674.09, 1443.6, 1062.05, 5434.36, 4983.89, 4878.06, 5657.88, 266.943, 251.12, 824.557, 790.2, 848.693, 5295.56, 7164.58, 14829, 62491.1
693, 11219.4, 13200.3, 6385.37, 3692.82, 3122.58, 2538.11, 2132.65, 2185.74, 1783.26, 1686.31, 1449.43, 1108.03, 5277.36, 5499.14, 5029.49, 5996.14, 323.31, 228.794, 883.477, 927.752, 748.938, 6176, 5915.72, 16119, 57128.6
613, 11166.7, 13270.2, 6167.53, 3592.1, 3057.8, 2428.73, 2036.95, 2140.54, 1852.1, 1583.68, 1441.54, 1058, 5931.27, 5710.72, 6219.91, 4763.7, 263.239, 221.564, 826.178, 1040.71, 748.333, 6961.11, 6694.81, 18002.5, 64858.4
648, 11240.3, 13351.3, 6154.86, 3478.64, 2998.19, 2405.85, 2206.89, 2160.37, 1833.05, 1588.53, 1557.42, 996.297, 4806.31, 5316.8, 5249.97, 4300.01, 283.066, 293.063, 816.818, 1007.7, 950.017, 5929.93, 7648.84, 14006.5, 58888.4
