seed, Total Cost T
304, 2.192e+07
1082, 2.192e+07
168, 2.192e+07
143, 2.192e+07
182, 2.192e+07
482, 2.192e+07
87, 2.192e+07
766, 2.192e+07
774, 2.192e+07
229, 2.192e+07
733, 2.192e+07
814, 2.192e+07
1112, 2.192e+07
547, 2.192e+07
845, 2.192e+07
249, 2.192e+07
711, 2.192e+07
455, 2.192e+07
379, 2.192e+07
116, 2.192e+07
309, 2.192e+07
412, 2.192e+07
1147, 2.192e+07
878, 2.192e+07
905, 2.192e+07
838, 2.192e+07
964, 2.192e+07
596, 2.192e+07
995, 2.192e+07
503, 2.192e+07
662, 2.192e+07
1126, 2.192e+07
737, 2.192e+07
963, 2.192e+07
598, 2.192e+07
1041, 2.192e+07
285, 2.192e+07
884, 2.192e+07
805, 2.192e+07
693, 2.192e+07
613, 2.192e+07
648, 2.192e+07
349, 2.192e+07
265, 2.192e+07
16, 2.192e+07
56, 2.192e+07
671, 2.192e+07
106, 2.192e+07
756, 2.192e+07
644, 2.192e+07
150, 2.192e+07
727, 2.192e+07
1067, 2.192e+07
1209, 2.192e+07
323, 2.192e+07
1235, 2.192e+07
266, 2.192e+07
607, 2.192e+07
1015, 2.192e+07
1106, 2.192e+07
593, 2.192e+07
958, 2.192e+07
698, 2.192e+07
880, 2.192e+07
27, 2.192e+07
1138, 2.192e+07
198, 2.192e+07
972, 2.192e+07
747, 2.192e+07
346, 2.192e+07
225, 2.192e+07
465, 2.192e+07
53, 2.192e+07
792, 2.192e+07
811, 2.192e+07
977, 2.192e+07
1132, 2.192e+07
33, 2.192e+07
870, 2.192e+07
459, 2.192e+07
702, 2.192e+07
427, 2.192e+07
145, 2.192e+07
237, 2.192e+07
446, 2.192e+07
169, 2.192e+07
236, 2.192e+07
796, 2.192e+07
410, 2.192e+07
131, 2.192e+07
219, 2.192e+07
687, 2.192e+07
49, 2.192e+07
591, 2.192e+07
79, 2.192e+07
750, 2.192e+07
63, 2.192e+07
919, 2.192e+07
650, 2.192e+07
1065, 2.192e+07
926, 2.192e+07
90, 2.192e+07
790, 2.192e+07
1046, 2.192e+07
373, 2.192e+07
57, 2.192e+07
1085, 2.192e+07
1170, 2.192e+07
1062, 2.192e+07
826, 2.192e+07
569, 2.192e+07
207, 2.192e+07
798, 2.192e+07
165, 2.192e+07
88, 2.192e+07
6, 2.192e+07
495, 2.192e+07
538, 2.192e+07
959, 2.192e+07
941, 2.192e+07
1146, 2.192e+07
934, 2.192e+07
1119, 2.192e+07
1044, 2.192e+07
655, 2.192e+07
897, 2.192e+07
555, 2.192e+07
257, 2.192e+07
385, 2.192e+07
404, 2.192e+07
848, 2.192e+07
902, 2.192e+07
82, 2.192e+07
1130, 2.192e+07
1108, 2.192e+07
895, 2.192e+07
1011, 2.192e+07
303, 2.192e+07
438, 2.192e+07
968, 2.192e+07
557, 2.192e+07
1070, 2.192e+07
1094, 2.192e+07
911, 2.192e+07
1133, 2.192e+07
36, 2.192e+07
109, 2.192e+07
355, 2.192e+07
661, 2.192e+07
1023, 2.192e+07
122, 2.192e+07
509, 2.192e+07
499, 2.192e+07
378, 2.192e+07
1128, 2.192e+07
562, 2.192e+07
476, 2.192e+07
833, 2.192e+07
1110, 2.192e+07
1022, 2.192e+07
392, 2.192e+07
1031, 2.192e+07
248, 2.192e+07
35, 2.192e+07
570, 2.192e+07
1210, 2.192e+07
525, 2.192e+07
994, 2.192e+07
1071, 2.192e+07
533, 2.192e+07
639, 2.192e+07
595, 2.192e+07
974, 2.192e+07
652, 2.192e+07
0, 2.192e+07
330, 2.192e+07
208, 2.192e+07
667, 2.192e+07
185, 2.192e+07
