seed, Total Cost T
304, 1.10403e+09
1082, 1.18242e+09
168, 1.07013e+09
143, 9.96504e+08
182, 1.08353e+09
482, 1.1077e+09
87, 1.03777e+09
766, 1.12763e+09
774, 1.01309e+09
229, 1.13392e+09
733, 1.11243e+09
814, 1.12755e+09
1112, 1.18472e+09
547, 1.09854e+09
845, 1.16347e+09
249, 1.11398e+09
711, 1.12036e+09
455, 1.1458e+09
379, 1.09559e+09
116, 1.07627e+09
309, 1.14129e+09
412, 1.15463e+09
1147, 1.08174e+09
878, 1.02994e+09
905, 1.10378e+09
838, 1.05053e+09
964, 1.12815e+09
596, 1.08183e+09
995, 1.09474e+09
503, 1.07879e+09
662, 1.05463e+09
1126, 1.15578e+09
737, 1.13879e+09
963, 1.21801e+09
598, 1.08421e+09
1041, 1.06717e+09
285, 1.11891e+09
884, 1.10995e+09
805, 1.08635e+09
693, 1.06015e+09
613, 1.11551e+09
648, 1.05001e+09
349, 1.23082e+09
265, 1.16794e+09
16, 1.14696e+09
56, 1.10758e+09
671, 1.13881e+09
106, 1.01013e+09
756, 1.12349e+09
644, 1.09603e+09
150, 1.07114e+09
727, 1.13188e+09
1067, 1.11938e+09
1209, 1.06807e+09
323, 1.15633e+09
1235, 1.03629e+09
266, 1.03199e+09
607, 1.0979e+09
1015, 1.07803e+09
1106, 1.13601e+09
593, 1.0972e+09
958, 1.0492e+09
698, 1.10018e+09
880, 1.03038e+09
27, 1.07374e+09
1138, 1.06939e+09
198, 1.10859e+09
972, 1.09215e+09
747, 1.07326e+09
346, 1.12877e+09
225, 1.11144e+09
465, 1.13134e+09
53, 1.10406e+09
792, 1.07671e+09
811, 1.0726e+09
977, 1.13316e+09
1132, 1.11171e+09
33, 1.04543e+09
870, 1.10057e+09
459, 1.14939e+09
702, 1.09773e+09
427, 1.19114e+09
145, 1.09376e+09
237, 1.17231e+09
446, 1.06072e+09
169, 1.08023e+09
236, 1.07148e+09
796, 1.11494e+09
410, 1.19211e+09
131, 1.0823e+09
219, 1.04385e+09
687, 1.10409e+09
49, 1.06056e+09
591, 1.11503e+09
79, 1.07309e+09
750, 1.11776e+09
63, 1.07104e+09
919, 1.07697e+09
650, 1.13279e+09
1065, 1.07555e+09
926, 1.12445e+09
90, 1.05467e+09
790, 1.01015e+09
1046, 1.15552e+09
373, 1.13622e+09
57, 1.06818e+09
1085, 1.0576e+09
1170, 1.14212e+09
1062, 1.06762e+09
826, 1.16462e+09
569, 1.18661e+09
207, 1.11071e+09
798, 1.03239e+09
165, 9.95437e+08
88, 1.09685e+09
6, 1.06733e+09
495, 1.05436e+09
538, 1.04554e+09
959, 1.14932e+09
941, 1.104e+09
1146, 1.02195e+09
934, 1.11335e+09
1119, 1.13598e+09
1044, 1.04909e+09
655, 1.14412e+09
897, 1.09228e+09
555, 1.20825e+09
257, 1.18533e+09
385, 1.18386e+09
404, 1.16208e+09
848, 1.05497e+09
902, 1.05386e+09
82, 1.04358e+09
1130, 1.12448e+09
1108, 1.14436e+09
895, 1.11853e+09
1011, 1.11685e+09
303, 1.11362e+09
438, 1.14445e+09
968, 1.06773e+09
557, 1.11511e+09
1070, 1.11662e+09
1094, 1.12484e+09
911, 1.1314e+09
1133, 1.06677e+09
36, 1.08265e+09
109, 1.07914e+09
355, 1.08302e+09
661, 1.13479e+09
1023, 1.11876e+09
122, 1.04194e+09
509, 1.09421e+09
499, 1.07242e+09
378, 1.1322e+09
1128, 1.09535e+09
562, 1.16959e+09
476, 9.93842e+08
833, 1.12118e+09
1110, 1.07659e+09
1022, 1.10676e+09
392, 1.16286e+09
1031, 1.1154e+09
248, 1.15925e+09
35, 1.06869e+09
570, 1.0983e+09
1210, 1.10963e+09
525, 1.04944e+09
994, 1.14377e+09
1071, 1.07236e+09
533, 1.06738e+09
639, 1.12554e+09
595, 1.1579e+09
974, 1.10647e+09
652, 1.13278e+09
0, 1.14747e+09
330, 1.17827e+09
208, 1.09064e+09
667, 1.13027e+09
185, 1.05306e+09
76, 1.07449e+09
948, 1.10314e+09
118, 1.15917e+09
264, 1.16021e+09
548, 1.08076e+09
322, 1.13707e+09
395, 1.08117e+09
551, 1.07465e+09
160, 1.14693e+09
876, 1.02488e+09
1219, 1.08519e+09
297, 1.14153e+09
802, 1.10041e+09
141, 1.0438e+09
231, 1.07755e+09
295, 1.22009e+09
59, 1.0622e+09
7, 1.11264e+09
752, 1.06709e+09
546, 1.09199e+09
1197, 1.07891e+09
255, 1.03219e+09
490, 1.10493e+09
283, 1.1109e+09
12, 1.18429e+09
129, 1.03475e+09
782, 1.11984e+09
581, 1.13357e+09
692, 1.03014e+09
71, 1.08599e+09
821, 1.07881e+09
