seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 2728.81, 2677.97, 1875.11, 1662.34, 1688.67, 1824.57, 226.846, 229.989, 277.438, 295.417, 316.462, 294.236, 3440.51, 3207.1, 3494.74, 3631.57, 46549.1, 42632, 50747.6, 44998.2, 42122.3, 84243.4, 105873, 144430, 207394
1082, 2670.6, 2650.67, 1807.31, 1574.85, 1599.58, 1749.7, 241.808, 229.78, 272.359, 292.303, 266.529, 297.218, 3405.11, 3654.17, 3276.56, 3724.5, 45480.2, 31148.1, 55556.1, 54204.1, 63375.1, 82491.4, 120752, 128460, 219724
168, 2772.88, 2692.2, 1844, 1607.65, 1626.9, 1767.36, 213.391, 233.759, 276.691, 291.225, 301.027, 267.279, 3732.81, 3291.28, 3703.82, 3422.81, 49100.6, 48033.8, 53743.6, 45789.5, 45018.2, 104799, 91968.8, 121829, 201116
143, 2735.76, 2690.35, 1865.73, 1625.53, 1627.42, 1764.85, 220.766, 242.024, 268.189, 266.631, 277.438, 299.009, 3485.62, 3301.41, 3141.94, 3623.07, 34944.8, 34190.1, 53630.7, 51127.3, 53473, 89809, 97478.8, 98633.7, 140342
182, 2745.2, 2691.34, 1846.61, 1615.24, 1639.63, 1777.83, 220.143, 244.393, 286.302, 258.289, 303.925, 280.849, 3383.04, 3668.09, 3395.29, 3411.25, 23663.6, 41656.3, 41104.1, 50084.6, 49535.3, 97637.4, 95019.3, 143514, 157055
482, 2643.57, 2644.66, 1830.95, 1602.05, 1631.36, 1774.8, 232.199, 241.688, 270.345, 295.968, 303.426, 297.523, 3389.26, 3505.04, 3382.63, 3476.89, 42161.1, 40167.5, 54849.9, 57184, 54416.4, 93704.1, 104868, 148076, 189405
87, 2719.98, 2669.43, 1813.99, 1601.81, 1631.96, 1777.92, 236.283, 243.912, 268.107, 274.897, 291.815, 285.864, 3197.99, 3648.32, 3435.88, 3437.47, 45659.2, 50365.3, 48359.7, 47152.7, 46043.6, 97533.1, 91582.3, 137868, 167045
766, 2688.91, 2668.42, 1821.85, 1584.66, 1610.4, 1753.02, 209.634, 225.335, 277.938, 280.725, 289.031, 291.521, 3352.93, 3283.41, 3964.74, 3257.95, 36944.4, 37448.4, 43701.7, 55882.2, 44357.1, 92790.7, 101445, 114385, 184976
774, 2732.44, 2681.51, 1833.05, 1594.21, 1615.4, 1763.43, 229.699, 230.127, 257.255, 272.112, 285.895, 305.82, 3284.97, 3149.8, 3663.22, 3407.12, 42679, 22769, 49328.1, 29043.1, 50151.1, 103131, 102344, 118666, 160843
229, 2693.86, 2659.72, 1791.95, 1541.59, 1566.52, 1717.72, 233.887, 202.491, 264.956, 299.986, 280.939, 296.283, 3257.73, 3731.51, 3377.71, 3570.47, 35605.7, 27806.4, 58955.1, 44173.4, 45044.6, 100678, 105942, 138173, 195978
