seed, <1 mo, 1 mo, 2 mo, 3 mo, 4 mo, 5 mo, 6 mo, 7 mo, 8 mo, 9 mo, 10 mo, 11 mo, 1 yr, 2 yr, 3 yr, 4 yr, 5-9yrs, 10-14 yrs, 15-24 yrs, 25-34 yrs, 35-44 yrs, 44-54 yrs, 55-64yrs, 65-74yrs, 75yrs+
304, 36511, 39865.4, 28460.7, 25130.5, 25471.5, 27567.4, 30243.1, 32709.9, 34509.7, 35476.9, 35673.6, 35291.8, 461384, 375543, 340085, 318536, 1.11704e+06, 1.09377e+06, 1.15377e+06, 1.02929e+06, 1.10929e+06, 893881, 610835, 421392, 472690
1082, 38748.3, 42826.4, 29770.1, 25849.4, 26215.8, 28663.5, 31814.4, 34738.6, 36891.4, 38073, 38352.8, 37954.4, 440674, 360371, 328829, 309838, 1.08674e+06, 1.06346e+06, 798416, 720530, 772709, 630189, 438266, 306015, 343584
168, 35698.4, 38490.1, 26953.5, 23468.9, 23642.1, 25631.5, 28261.8, 30725.9, 32543.6, 33531.5, 33741.1, 33361.4, 430486, 347573, 313351, 292363, 1.06879e+06, 1.04581e+06, 959404, 856936, 928304, 730830, 489158, 333826, 374267
143, 37358.1, 40745.7, 28881.2, 25106.1, 25202.5, 27250.3, 30001.5, 32592.5, 34508.7, 35550.5, 35768.3, 35360, 454306, 367762, 332330, 310787, 1.10409e+06, 1.0809e+06, 872777, 782296, 847165, 667086, 447843, 306337, 343521
182, 36129.1, 39251.4, 27404.9, 23966.8, 24273.1, 26383.6, 29102.5, 31617.7, 33455.3, 34442.6, 34642, 34250.1, 430823, 349772, 316088, 295543, 1.09201e+06, 1.06964e+06, 1.09525e+06, 972533, 1.05251e+06, 842332, 572198, 393064, 440789
482, 36796.6, 40980.4, 28876.9, 25264.8, 25659.8, 27984.3, 30951.9, 33694.8, 35707.7, 36807.2, 37060.5, 36678.1, 453663, 371139, 338136, 318193, 1.07128e+06, 1.0484e+06, 718694, 648906, 696107, 565672, 391860, 273079, 306536
87, 36622.4, 39990.1, 27790.7, 24398, 24816.2, 27049.5, 29882.4, 32490.8, 34391.9, 35410.8, 35613.1, 35201.9, 409916, 331907, 300567, 281823, 1.0366e+06, 1.01541e+06, 1.04843e+06, 935266, 1.01055e+06, 809668, 551510, 379865, 426105
766, 34803.4, 38358.5, 26786.5, 23196.3, 23448.4, 25584.6, 28369, 30963.6, 32876, 33923.4, 34165, 33800, 453011, 370572, 336783, 316166, 1.03371e+06, 1.01188e+06, 745203, 667609, 718434, 583150, 402795, 279792, 314022
774, 38470.3, 41983.6, 29352.5, 25502, 25746.7, 28000.5, 30951.8, 33705.7, 35735.1, 36843.1, 37091.5, 36691.5, 444172, 359626, 325182, 303994, 1.03054e+06, 1.00734e+06, 758556, 680462, 733133, 586642, 398763, 274475, 307928
229, 38451.7, 42256.9, 29038.1, 24975.6, 25247.4, 27661.8, 30831, 33811, 36043.8, 37316.1, 37685.2, 37366, 431876, 352038, 319242, 299397, 1.0709e+06, 1.0493e+06, 1.07171e+06, 956236, 1.03175e+06, 831549, 569572, 393429, 441347
733, 35704, 39357.2, 27781.9, 24281.7, 24605, 26775.7, 29567.7, 32156, 34061.5, 35109.7, 35362.5, 35017.1, 433998, 355167, 322927, 303369, 1.05097e+06, 1.02903e+06, 765329, 686883, 738626, 601460, 417384, 290744, 326355
814, 38488.2, 42221.1, 29776.6, 25802, 25988.3, 28256.4, 31265.6, 34101.3, 36220.5, 37412.7, 37730.6, 37381.5, 445596, 361826, 327815, 307051, 1.09641e+06, 1.07242e+06, 1.04884e+06, 942877, 1.01398e+06, 814293, 555441, 383445, 430236
1112, 35864.9, 39263.1, 27864.6, 24601.7, 25006.5, 27127.5, 29790.9, 32218.1, 33963.2, 34873.8, 35022.2, 34606.8, 452053, 370107, 336944, 316794, 1.12126e+06, 1.09763e+06, 641322, 576756, 619979, 504320, 349943, 243799, 273691
547, 35815.7, 39292.2, 26836.4, 22987, 23212.8, 25458.7, 28419.8, 31200.5, 33268.9, 34422, 34716.3, 34359.5, 462395, 375623, 340975, 319909, 1.04918e+06, 1.02542e+06, 369138, 334036, 359814, 286251, 194526, 134243, 150652
