seed,<1 mo,1 mo,2 mo,3 mo,4 mo,5 mo,6 mo,7 mo,8 mo,9 mo,10 mo,11 mo,1 yr,2 yr,3 yr,4 yr,5-9yrs,10-14 yrs,15-24 yrs,25-34 yrs,35-44 yrs,44-54 yrs,55-64yrs,65-74yrs,75yrs+
272,36966.6,40503.4,28610.6,25411.2,25980.3,28261.4,31060.7,33598.2,35432.1,36414.2,36619.8,36248.6,432496,352956,321308,302189,1.06527e+06,1.04407e+06,1.13905e+06,1.02227e+06,1.09624e+06,896692,622970,433919,487010
1050,38373.5,41840.5,28838,25447.3,26056.2,28479.5,31450.2,34127.7,36030.6,36999.7,37123.4,36627.1,488120,395924,360410,338622,977742,955374,804491,732440,782610,628174,427902,295881,332035
456,37694.2,41634.3,28505.5,24885.6,25446.6,27943.4,31050.4,33885.9,35942.2,37043.7,37270.9,36847.7,433963,352224,320825,301803,1.17012e+06,1.14519e+06,857789,777536,833646,672803,462931,321391,360750
841,38667.7,42204.9,28235.6,24556.5,25182.6,27770.1,30965.4,33875.4,35987.5,37128.2,37383.3,36982.4,452536,365874,332194,311487,1.14969e+06,1.12402e+06,962575,873276,936073,747914,507769,350028,392710
838,38138,41656.6,28013.5,24173,24627.7,27112.6,30269.8,33185.7,35327.8,36503.9,36786.9,36400.1,452630,365307,330764,309476,1.07617e+06,1.05243e+06,838298,752686,809435,649132,441325,303733,340706
757,38012.2,41465.7,28503.5,24927.8,25430.7,27824.4,30813.9,33536.4,35494.4,36515.9,36680.9,36211.1,417722,337902,306493,287343,1.13635e+06,1.11228e+06,904237,808343,870091,704099,483634,334564,375456
78,37533.3,40760.2,28106.5,24817.1,25348.4,27639.1,30477.6,33049.6,34885.2,35823.9,35944.9,35461.3,413616,333645,302324,283258,1.10109e+06,1.07861e+06,1.27603e+06,1.1382e+06,1.22667e+06,982491,665823,456806,512250
262,36869.4,40761.1,27771.8,24177.1,24771.4,27299.2,30434.2,33310.4,35430.8,36621.6,36956.8,36649.9,435575,355700,324630,306034,1.07667e+06,1.05488e+06,1.00716e+06,909054,972622,798090,557484,390014,437900
1124,38385.5,42541.1,28878.6,25110.3,25698.5,28311.6,31565.7,34537.2,36694.5,37853.4,38098.1,37663.4,441908,360219,329273,310619,1.06666e+06,1.0443e+06,850237,769576,823293,672308,467527,326395,366452
378,38389.1,42164.6,28548.4,25020.1,25736.6,28350.4,31525.7,34396.8,36475.1,37601.9,37866.9,37495.5,426345,348232,317779,299396,1.11679e+06,1.09379e+06,972765,878015,940172,769903,537129,375519,421623
